119,150.0,0.7933333333,,,,,
Seat,FinalA,FinalB,Party,ShareToA,ShareToB,SourceYear,
Aston,ALP,LNP,GRN,0.909,0.091,,"2 Ind, 0 ind-oth"
Aston,ALP,LNP,ON,0.265,0.735,,
Aston,ALP,LNP,IND,0.685,0.315,,
Aston,ALP,LNP,OTH,0.324,0.676,,
Deakin,ALP,LNP,GRN,0.905,0.095,,
Deakin,ALP,LNP,ON,0.186,0.814,,
Deakin,ALP,LNP,IND,0.787,0.213,,
Deakin,ALP,LNP,OTH,0.239,0.761,,
Menzies,ALP,LNP,GRN,0.888,0.112,,
Menzies,ALP,LNP,ON,0.221,0.779,,
Menzies,ALP,LNP,IND,0.755,0.245,,
Menzies,ALP,LNP,OTH,0.257,0.743,,
Calwell,ALP,IND,LNP,0.297,0.703,,"2 ind, 2 ind-oth"
Calwell,ALP,IND,GRN,0.677,0.323,,
Calwell,ALP,IND,ON,0.225,0.775,,
Calwell,ALP,IND,OTH,0.394,0.606,,
Calwell,ALP,LNP,GRN,0.867,0.133,,
Calwell,ALP,LNP,ON,0.386,0.614,,
Calwell,ALP,LNP,IND,0.519,0.481,,
Calwell,ALP,LNP,OTH,0.622,0.378,,
Jagajaga,ALP,LNP,GRN,0.939,0.061,,"1 ind, 1 ind-oth"
Jagajaga,ALP,LNP,ON,0.236,0.764,,
Jagajaga,ALP,LNP,IND,0.748,0.252,,
Jagajaga,ALP,LNP,OTH,0.332,0.668,,
Scullin,ALP,LNP,GRN,0.851,0.149,,
Scullin,ALP,LNP,ON,0.283,0.717,,
Scullin,ALP,LNP,IND,,,,
Scullin,ALP,LNP,OTH,0.512,0.488,,
Bruce,ALP,LNP,GRN,0.911,0.089,,
Bruce,ALP,LNP,ON,0.335,0.665,,
Bruce,ALP,LNP,IND,,,,
Bruce,ALP,LNP,OTH,0.486,0.514,,
Dunkley,ALP,LNP,GRN,0.922,0.078,,
Dunkley,ALP,LNP,ON,0.245,0.755,,
Dunkley,ALP,LNP,IND,0.577,0.423,,
Dunkley,ALP,LNP,OTH,0.591,0.409,,
Holt,ALP,LNP,GRN,0.895,0.105,,
Holt,ALP,LNP,ON,0.311,0.689,,
Holt,ALP,LNP,IND,,,,
Holt,ALP,LNP,OTH,0.624,0.376,,
Isaacs,ALP,LNP,GRN,0.889,0.111,,
Isaacs,ALP,LNP,ON,0.233,0.767,,
Isaacs,ALP,LNP,IND,,,,
Isaacs,ALP,LNP,OTH,0.382,0.618,,
Gorton,ALP,LNP,GRN,0.833,0.167,,
Gorton,ALP,LNP,ON,0.303,0.697,,
Gorton,ALP,LNP,IND,,,,
Gorton,ALP,LNP,OTH,0.592,0.408,,
Lalor,ALP,LNP,GRN,0.872,0.128,,
Lalor,ALP,LNP,ON,0.342,0.658,,
Lalor,ALP,LNP,IND,0.646,0.354,,
Lalor,ALP,LNP,OTH,0.426,0.574,,
La Trobe,ALP,LNP,GRN,0.837,0.163,,
La Trobe,ALP,LNP,ON,0.237,0.763,,
La Trobe,ALP,LNP,IND,,,,
La Trobe,ALP,LNP,OTH,0.39,0.61,,
Ballarat,ALP,LNP,GRN,0.913,0.087,,
Ballarat,ALP,LNP,ON,0.271,0.729,,
Ballarat,ALP,LNP,IND,0.568,0.432,,
Ballarat,ALP,LNP,OTH,0.366,0.634,,
Bendigo,ALP,LNP,GRN,0.913,0.087,,
Bendigo,ALP,LNP,ON,0.209,0.791,,
Bendigo,ALP,LNP,IND,0.51,0.49,,
Bendigo,ALP,LNP,OTH,0.519,0.481,,
Corangamite,ALP,LNP,GRN,0.924,0.076,,
Corangamite,ALP,LNP,ON,0.276,0.724,,
Corangamite,ALP,LNP,IND,0.784,0.216,,
Corangamite,ALP,LNP,OTH,0.475,0.525,,
Corio,ALP,LNP,GRN,0.877,0.123,,
Corio,ALP,LNP,ON,0.261,0.739,,
Corio,ALP,LNP,IND,0.489,0.511,,
Corio,ALP,LNP,OTH,0.734,0.266,,
Hawke,ALP,LNP,GRN,0.898,0.102,,
Hawke,ALP,LNP,ON,0.289,0.711,,
Hawke,ALP,LNP,IND,,,,
Hawke,ALP,LNP,OTH,0.618,0.382,,
Casey,ALP,LNP,GRN,0.91,0.09,,
Casey,ALP,LNP,ON,0.209,0.791,,
Casey,ALP,LNP,IND,0.799,0.201,,
Casey,ALP,LNP,OTH,0.411,0.589,,
Flinders,LNP,IND,ALP,0.205,0.795,,"1 ind, 1 ind-oth"
Flinders,LNP,IND,GRN,0.156,0.844,,
Flinders,LNP,IND,ON,0.731,0.269,,
Flinders,LNP,IND,OTH,0.45,0.55,,
Flinders,ALP,LNP,GRN,0.876,0.124,,
Flinders,ALP,LNP,ON,0.177,0.823,,
Flinders,ALP,LNP,IND,0.716,0.284,,
Flinders,ALP,LNP,OTH,0.337,0.663,,
Gippsland,ALP,LNP,GRN,0.791,0.209,,
Gippsland,ALP,LNP,ON,0.142,0.858,,
Gippsland,ALP,LNP,IND,,,,
Gippsland,ALP,LNP,OTH,0.184,0.816,,
Monash,ALP,LNP,GRN,0.895,0.105,,"1 ind, 1 ind-oth"
Monash,ALP,LNP,ON,0.265,0.735,,
Monash,ALP,LNP,IND,0.75,0.25,,
Monash,ALP,LNP,OTH,0.35,0.65,,
Indi,LNP,IND,ALP,0.181,0.819,,"1 ind, 1 ind-oth"
Indi,LNP,IND,GRN,0.101,0.899,,
Indi,LNP,IND,ON,0.646,0.354,,
Indi,LNP,IND,OTH,0.527,0.473,,
Indi,ALP,LNP,GRN,0.802,0.198,,
Indi,ALP,LNP,ON,0.178,0.822,,
Indi,ALP,LNP,IND,0.668,0.332,,
Indi,ALP,LNP,OTH,0.327,0.673,,
McEwen,ALP,LNP,GRN,0.905,0.095,,
McEwen,ALP,LNP,ON,0.262,0.738,,
McEwen,ALP,LNP,IND,,,,
McEwen,ALP,LNP,OTH,0.453,0.547,,
Nicholls,ALP,LNP,GRN,0.76,0.24,,
Nicholls,ALP,LNP,ON,0.203,0.797,,
Nicholls,ALP,LNP,IND,,,,
Nicholls,ALP,LNP,OTH,0.305,0.695,,
Mallee,ALP,LNP,GRN,0.68,0.32,,
Mallee,ALP,LNP,ON,0.197,0.803,,
Mallee,ALP,LNP,IND,,,,
Mallee,ALP,LNP,OTH,0.314,0.686,,
Wannon,LNP,IND,ALP,0.257,0.743,,"1 ind, 1 ind-oth"
Wannon,LNP,IND,GRN,0.146,0.854,,
Wannon,LNP,IND,ON,0.685,0.315,,
Wannon,LNP,IND,OTH,0.507,0.493,,
Wannon,ALP,LNP,GRN,0.819,0.181,,
Wannon,ALP,LNP,ON,0.23,0.77,,
Wannon,ALP,LNP,IND,0.712,0.288,,
Wannon,ALP,LNP,OTH,0.373,0.627,,
Brisbane,ALP,LNP,GRN,0.933,0.067,,
Brisbane,ALP,LNP,ON,0.272,0.728,,
Brisbane,ALP,LNP,IND,,,,
Brisbane,ALP,LNP,OTH,0.382,0.618,,
Lilley,ALP,LNP,GRN,0.925,0.075,,
Lilley,ALP,LNP,ON,0.27,0.73,,
Lilley,ALP,LNP,IND,,,,
Lilley,ALP,LNP,OTH,0.383,0.617,,
Griffith,ALP,GRN,LNP,0.79,0.21,,
Griffith,ALP,GRN,ON,0.705,0.295,,
Griffith,ALP,GRN,IND,,,,
Griffith,ALP,GRN,OTH,0.692,0.308,,
Griffith,ALP,LNP,GRN,0.928,0.072,,
Griffith,ALP,LNP,ON,0.255,0.745,,
Griffith,ALP,LNP,IND,,,,
Griffith,ALP,LNP,OTH,0.298,0.702,,
Moreton,ALP,LNP,GRN,0.922,0.078,,
Moreton,ALP,LNP,ON,0.272,0.727,,
Moreton,ALP,LNP,IND,,,,
Moreton,ALP,LNP,OTH,0.406,0.594,,
Bonner,ALP,LNP,GRN,0.906,0.094,,
Bonner,ALP,LNP,ON,0.228,0.772,,
Bonner,ALP,LNP,IND,,,,
Bonner,ALP,LNP,OTH,0.384,0.616,,
Bowman,ALP,LNP,GRN,0.849,0.151,,
Bowman,ALP,LNP,ON,0.235,0.765,,
Bowman,ALP,LNP,IND,0.624,0.376,,
Bowman,ALP,LNP,OTH,0.338,0.662,,
Dickson,ALP,LNP,GRN,0.939,0.061,,
Dickson,ALP,LNP,ON,0.24,0.76,,
Dickson,ALP,LNP,IND,0.82,0.18,,
Dickson,ALP,LNP,OTH,0.546,0.454,,
Petrie,ALP,LNP,GRN,0.854,0.146,,
Petrie,ALP,LNP,ON,0.277,0.723,,
Petrie,ALP,LNP,IND,,,,
Petrie,ALP,LNP,OTH,0.387,0.613,,
Fadden,ALP,LNP,GRN,0.836,0.164,,
Fadden,ALP,LNP,ON,0.254,0.746,,
Fadden,ALP,LNP,IND,0.669,0.331,,
Fadden,ALP,LNP,OTH,0.35,0.65,,
Forde,ALP,LNP,GRN,0.832,0.168,,
Forde,ALP,LNP,ON,0.276,0.724,,
Forde,ALP,LNP,IND,0.569,0.431,,
Forde,ALP,LNP,OTH,0.336,0.664,,
Oxley,ALP,LNP,GRN,0.87,0.13,,
Oxley,ALP,LNP,ON,0.316,0.684,,
Oxley,ALP,LNP,IND,0.657,0.371,,
Oxley,ALP,LNP,OTH,0.364,0.636,,
Rankin,ALP,LNP,GRN,0.849,0.151,,
Rankin,ALP,LNP,ON,0.306,0.694,,
Rankin,ALP,LNP,IND,,,,
Rankin,ALP,LNP,OTH,0.363,0.637,,
Ryan,LNP,GRN,ALP,0.227,0.773,,
Ryan,LNP,GRN,ON,0.822,0.178,,
Ryan,LNP,GRN,IND,,,,
Ryan,LNP,GRN,OTH,0.654,0.346,,
Ryan,ALP,LNP,GRN,0.928,0.072,,
Ryan,ALP,LNP,ON,0.229,0.771,,
Ryan,ALP,LNP,IND,,,,
Ryan,ALP,LNP,OTH,0.367,0.633,,
Blair,ALP,LNP,GRN,0.881,0.119,,
Blair,ALP,LNP,ON,0.297,0.703,,
Blair,ALP,LNP,IND,,,,
Blair,ALP,LNP,OTH,0.439,0.561,,
Capricornia,ALP,LNP,GRN,0.802,0.198,,
Capricornia,ALP,LNP,ON,0.248,0.752,,
Capricornia,ALP,LNP,IND,,,,
Capricornia,ALP,LNP,OTH,0.352,0.648,,
Herbert,ALP,LNP,GRN,0.835,0.165,,
Herbert,ALP,LNP,ON,0.238,0.762,,
Herbert,ALP,LNP,IND,,,,
Herbert,ALP,LNP,OTH,0.329,0.671,,
Hinkler,ALP,LNP,GRN,0.69,0.31,,
Hinkler,ALP,LNP,ON,0.261,0.739,,
Hinkler,ALP,LNP,IND,0.511,0.489,,
Hinkler,ALP,LNP,OTH,0.35,0.65,,
Longman,ALP,LNP,GRN,0.839,0.161,,
Longman,ALP,LNP,ON,0.282,0.718,,
Longman,ALP,LNP,IND,,,,
Longman,ALP,LNP,OTH,0.386,0.614,,"1 ind, 1 ind-oth"
Groom,LNP,IND,ALP,0.237,0.763,,
Groom,LNP,IND,GRN,0.164,0.836,,
Groom,LNP,IND,ON,0.562,0.438,,
Groom,LNP,IND,OTH,0.441,0.559,,
Groom,ALP,LNP,GRN,0.805,0.194,,
Groom,ALP,LNP,ON,0.183,0.817,,
Groom,ALP,LNP,IND,0.601,0.399,,
Groom,ALP,LNP,OTH,0.343,0.657,,
McPherson,ALP,LNP,GRN,0.864,0.136,,"1 ind, 1 ind-oth"
McPherson,ALP,LNP,ON,0.205,0.795,,
McPherson,ALP,LNP,IND,0.635,0.365,,
McPherson,ALP,LNP,OTH,0.37,0.63,,
Moncrieff,ALP,LNP,GRN,0.81,0.19,,"1 ind, 1 ind-oth"
Moncrieff,ALP,LNP,ON,0.223,0.777,,
