COWAN (WA),RAW,,,,,,,,COWAN (WA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.5566114074,0.2901589945,0.1532295981,0,0,1,,0.6177650381,0.13685440355979062,0.1726504802300699,0.07273007815787928,0.0,0.0,0.6177650381,0.6934658109549823,0.4628094747791734,0.22595967621358415,0.0,0.0,0,0.34673290547749114,0.2314047373895867,0.11297983810679207,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.6219025009,0,0.2474316931,0.130665806,0,0,1,,0.23161157861868087,0.4628599635786724,0.21023458755635083,0.09529387024629601,0.0,0.0,0.8535140795418578,0.4628599635786724,0.4576662806658859,0.22595967621358415,0.0,0.0,0.4267570397709289,0.0,0.22883314033294294,0.11297983810679207,0.0,0.0
GRN,0.8596298245,0.1403701755,0.0,0,0,0,,,GRN,0.8596298245,0.1403701755,0,0,0,0,,GRN,0.8596298245,0.1403701755,0,0,0,0,1,,0.08729656321246948,0.4784797664413016,0.28416135574642837,0.15006231459980054,0.0,0.0,0.9469263876899672,0.6188499419638038,0.28416135574642837,0.15006231459980054,0.0,0.0,0.4734631938449836,0.3094249709819019,0.0,0.07503115729990027,0.0,0.0
ON,0.1447350021,0.6273248497,0.2279401482,0.0,0,0,,,ON,0.1447350021,0.6273248497,0.2279401482,0,0,0,,ON,0.1447350021,0.6273248497,0.2279401482,0,0,0,1,,0.5860790425170874,0.11255715183270901,0.19721621236857728,0.10414759328162622,0.0,0.0,0.7308140446146961,0.7398820015040836,0.42515636059959394,0.10414759328162622,0.0,0.0,0.36540702230734806,0.3699410007520418,0.21257818029979697,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.4217295397,0.3218719347,0.1677903753,0.0886081502,0,0,1,,0.3572352728953781,0.3138783315842545,0.22220729188777671,0.10667910363259071,0.0,0.0,0.7789648126218436,0.6357502663321718,0.3899976672181928,0.19528725382779183,0.0,0.0,0.3894824063109218,0.3178751331660859,0.1949988336090964,0.09764362691389591,0.0,0.0
OTH,0.2608237926,0.197920779,0.2754309778,0.2658244506,0,0.0,,,OTH,0.2608237926,0.197920779,0.2754309778,0.2658244506,0,0,,OTH,0.2608237926,0.197920779,0.2754309778,0.2658244506,0,0,1,,0.3983302129565772,0.35059807647875296,0.18524430754832447,0.06582740301634536,0.0,0.0,0.6591540055608673,0.548518855528628,0.46067528530855606,0.33165185360194877,0.0,0.0,0.32957700278043367,0.274259427764314,0.23033764265427803,0.16582592680097438,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TANGNEY
(WA)",RAW,,,,,,,,"TANGNEY
(WA)",HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,124.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.6301633484,0.2391369314,0.1306997202,0,0,1,,0.6042730182,0.13316572134468252,0.179773281879747,0.08278797862075202,0.0,0.0,0.6042730182,0.7633290697429873,0.418910213322296,0.21348769877989837,0.0,0.0,0,0.38166453487149365,0.209455106661148,0.10674384938994919,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.6282513248,0,0.2403732487,0.1313754264,0,0,1,,0.2094493252458653,0.5297551351171074,0.17868326729406078,0.08211227234296672,0.0,0.0,0.8377006500611197,0.5297551351171074,0.41905651604187477,0.21348769877989837,0.0,0.0,0.41885032503055986,0.0,0.20952825802093739,0.10674384938994919,0.0,0.0
GRN,0.7921341816,0.2078658184,0.0,0,0,0,,,GRN,0.7921341816,0.2078658184,0,0,0,0,,GRN,0.7921341816,0.2078658184,0,0,0,0,1,,0.1305919757886654,0.49917392826276363,0.23939391955100026,0.1308401763975709,0.0,0.0,0.9227261573965313,0.7070397466548979,0.23939391955100026,0.1308401763975709,0.0,0.0,0.46136307869826565,0.35351987332744894,0.0,0.06542008819878545,0.0,0.0
ON,0.1449392713,0.6385425101,0.2165182186,0.0,0,0,,,ON,0.1449392713,0.6385425101,0.2165182186,0,0,0,,ON,0.1449392713,0.6385425101,0.2165182186,0,0,0,1,,0.5726766598471684,0.13634215319947632,0.18814887019493307,0.10283231675842225,0.0,0.0,0.7176159311022292,0.7748846633209338,0.40466708881841484,0.10283231675842225,0.0,0.0,0.3588079655511146,0.3874423316604669,0.20233354440920742,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.384622968,0.387788051,0.1471593751,0.08042960587,0,0,1,,0.3718557364106823,0.32432242376672293,0.20260590496778136,0.10121593485481349,0.0,0.0,0.7564787044423105,0.7121104747593228,0.3497652800729212,0.18164554072544575,0.0,0.0,0.37823935222115523,0.3560552373796614,0.1748826400364606,0.09082277036272288,0.0,0.0
OTH,0.2167954512,0.3169558245,0.2249599067,0.2412888176,0,0.0,,,OTH,0.2167954512,0.3169558245,0.2249599067,0.2412888176,0,0,,OTH,0.2167954512,0.3169558245,0.2249599067,0.2412888176,0,0,1,,0.4122985735962131,0.3374511898379289,0.18027492515741073,0.0699753114084473,0.0,0.0,0.6290940248281711,0.6544070143021365,0.40523483184934833,0.31126412902034406,0.0,0.0,0.31454701241408556,0.3272035071510683,0.20261741592467417,0.15563206451017203,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BULLWINKEL
(WA)",RAW,,,,,,,,"BULLWINKEL
(WA)",HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
