Electorate,division_key,LegacyWinner,LegacyRunnerUp,LegacyFinalTwo,LegacyWinnerShare,LegacyEliminationOrder,DirectWinner,DirectRunnerUp,DirectFinalTwo,DirectWinnerShare,DirectEliminationOrder,CanonicalWinner,CanonicalRunnerUp,CanonicalFinalTwo,CanonicalWinnerShare,CanonicalEliminationOrder,ActualWinner,ActualRunnerUp,ActualFinalTwo,ActualWinnerShare,WinnerChanged,FinalTwoChanged,EliminationOrderChanged,WinnerShareDeltaPP,LegacyWinnerMatchedActual,DirectWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,DirectFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual,LegacyAbsoluteWinnerErrorPP,DirectAbsoluteWinnerErrorPP,CanonicalAbsoluteWinnerErrorPP,AbsoluteErrorChangePP,ReviewPriority
Scullin,SCULLIN,ALP,ON,ALP+ON,0.5693727977201994,LNP>GRN>OTH,ALP,ON,ALP+ON,0.5693727977201994,LNP>GRN>OTH,ALP,ON,ALP+ON,0.5693727977201994,LNP>GRN>OTH,ALP,ON,ALP+ON,56.9373,False,False,False,0.0,True,True,True,True,True,True,2.0227980057629935e-05,2.0227980057629935e-05,2.0227980057629935e-05,0.0,LOW
Holt,HOLT,ALP,ON,ALP+ON,0.5758393834226883,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5702622783585553,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5758393834226883,OTH>GRN>LNP,ALP,ON,ALP+ON,57.0745,False,False,False,0.0,True,True,True,True,True,True,0.5094383422688198,0.048272164144480545,0.5094383422688198,0.0,LOW
Isaacs,ISAACS,ALP,ON,ALP+ON,0.6072149212710017,OTH>GRN>LNP,ALP,ON,ALP+ON,0.6072149212710017,OTH>GRN>LNP,ALP,ON,ALP+ON,0.6072149212710017,OTH>GRN>LNP,ALP,ON,ALP+ON,61.7935,False,False,False,0.0,True,True,True,True,True,True,1.0720078728998272,1.0720078728998272,1.0720078728998272,0.0,LOW
Flinders,FLINDERS,LNP,IND,IND+LNP,0.6249245062694125,OTH>GRN>ALP>ON,LNP,IND,IND+LNP,0.6262132174354185,OTH>GRN>ALP>ON,LNP,IND,IND+LNP,0.6249245062694125,OTH>GRN>ALP>ON,LNP,IND,IND+LNP,62.4925,False,False,False,0.0,True,True,True,True,True,True,4.937305874141984e-05,0.1288217435418515,4.937305874141984e-05,0.0,LOW
Gippsland,GIPPSLAND,LNP,ON,LNP+ON,0.5799572937654724,OTH>GRN>ALP,LNP,ON,LNP+ON,0.5799572937654724,OTH>GRN>ALP,LNP,ON,LNP+ON,0.5799572937654724,OTH>GRN>ALP,LNP,ON,LNP+ON,57.9957,False,False,False,0.0,True,True,True,True,True,True,2.9376547250326013e-05,2.9376547250326013e-05,2.9376547250326013e-05,0.0,LOW
McEwen,MCEWEN,ALP,ON,ALP+ON,0.5185217491129226,OTH>GRN>LNP,ALP,ON,ALP+ON,0.52932476988636,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5185217491129226,OTH>GRN>LNP,ALP,ON,ALP+ON,52.4378,False,False,False,0.0,True,True,True,True,True,True,0.5856250887077419,0.4946769886360003,0.5856250887077419,0.0,LOW
Brisbane,BRISBANE,GRN,LNP,GRN+LNP,0.5491484473221717,OTH>ON>ALP,GRN,LNP,GRN+LNP,0.5468431508983591,OTH>ON>ALP,GRN,LNP,GRN+LNP,0.5491484473221717,OTH>ON>ALP,GRN,LNP,GRN+LNP,54.9148,False,False,False,0.0,True,True,True,True,True,True,4.473221717482545e-05,0.230484910164086,4.473221717482545e-05,0.0,LOW
Lilley,LILLEY,ALP,ON,ALP+ON,0.614372335202539,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6146132319921832,OTH>LNP>GRN,ALP,ON,ALP+ON,0.614372335202539,OTH>LNP>GRN,ALP,ON,ALP+ON,61.4372,False,False,False,0.0,True,True,True,True,True,True,3.3520253905905406e-05,0.02412319921832884,3.3520253905905406e-05,0.0,LOW
Griffith,GRIFFITH,GRN,ALP,ALP+GRN,0.5148986558730513,OTH>LNP>ON,GRN,ALP,ALP+GRN,0.5153501836431189,OTH>LNP>ON,GRN,ALP,ALP+GRN,0.5148986558730513,OTH>LNP>ON,GRN,ALP,ALP+GRN,51.4899,False,False,False,0.0,True,True,True,True,True,True,3.4412694871477356e-05,0.04511836431189131,3.4412694871477356e-05,0.0,LOW
Moreton,MORETON,ALP,ON,ALP+ON,0.6323965340806427,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6264244988416977,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6323965340806427,OTH>LNP>GRN,ALP,ON,ALP+ON,63.2397,False,False,False,0.0,True,True,True,True,True,True,4.6591935731754575e-05,0.5972501158302279,4.6591935731754575e-05,0.0,LOW
Rankin,RANKIN,ALP,ON,ALP+ON,0.6062538110303927,LNP>OTH>GRN,ALP,ON,ALP+ON,0.6062538110303927,LNP>OTH>GRN,ALP,ON,ALP+ON,0.6062538110303927,LNP>OTH>GRN,ALP,ON,ALP+ON,60.6254,False,False,False,0.0,True,True,True,True,True,True,1.8896960729541945e-05,1.8896960729541945e-05,1.8896960729541945e-05,0.0,LOW
Ryan,RYAN,GRN,LNP,GRN+LNP,0.5444557840733005,OTH>ON>ALP,GRN,LNP,GRN+LNP,0.540050578122459,OTH>ON>ALP,GRN,LNP,GRN+LNP,0.5444557840733005,OTH>ON>ALP,GRN,LNP,GRN+LNP,54.4456,False,False,False,0.0,True,True,True,True,True,True,2.159266994095077e-05,0.4405421877540894,2.159266994095077e-05,0.0,LOW
Longman,LONGMAN,ON,ALP,ALP+ON,0.5432183369516016,OTH>GRN>LNP,ON,ALP,ALP+ON,0.5470267910592045,OTH>GRN>LNP,ON,ALP,ALP+ON,0.5432183369516016,OTH>GRN>LNP,ON,ALP,ALP+ON,54.2654,False,False,False,0.0,True,True,True,True,True,True,0.056433695160162944,0.4372791059204517,0.056433695160162944,0.0,LOW
Groom,GROOM,LNP,IND,IND+LNP,0.5219095063107788,OTH>GRN>ALP>ON,LNP,IND,IND+LNP,0.5268789942533753,OTH>GRN>ALP>ON,LNP,IND,IND+LNP,0.5219095063107788,OTH>GRN>ALP>ON,LNP,IND,IND+LNP,53.4071,False,False,False,0.0,True,True,True,True,True,True,1.2161493689221148,0.7192005746624708,1.2161493689221148,0.0,LOW
Kennedy,KENNEDY,OTH,ON,ON+OTH,0.6951069221003443,GRN>LNP>ALP,OTH,ON,ON+OTH,0.6951069221003443,GRN>LNP>ALP,OTH,ON,ON+OTH,0.6951069221003443,GRN>LNP>ALP,OTH,ON,ON+OTH,69.5107,False,False,False,0.0,True,True,True,True,True,True,7.789965572602142e-06,7.789965572602142e-06,7.789965572602142e-06,0.0,LOW
Curtin,CURTIN,IND,LNP,IND+LNP,0.5513729032066135,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.5513729032066135,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.5513729032066135,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,55.1373,False,False,False,0.0,True,True,True,True,True,True,9.679338652812675e-06,9.679338652812675e-06,9.679338652812675e-06,0.0,LOW
Swan,SWAN,ALP,ON,ALP+ON,0.6109954682113711,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6175303374298511,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6109954682113711,OTH>LNP>GRN,ALP,ON,ALP+ON,61.0995,False,False,False,0.0,True,True,True,True,True,True,4.6821137111852096e-05,0.6535337429851129,4.6821137111852096e-05,0.0,LOW
Hasluck,HASLUCK,ALP,ON,ALP+ON,0.6087017537528149,OTH>LNP>GRN,ALP,ON,ALP+ON,0.619492927666294,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6087017537528149,OTH>LNP>GRN,ALP,ON,ALP+ON,60.8702,False,False,False,0.0,True,True,True,True,True,True,2.4624718508725607e-05,1.0790927666294081,2.4624718508725607e-05,0.0,LOW
Pearce,PEARCE,ALP,ON,ALP+ON,0.5373240407276729,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5438358198994816,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5373240407276729,OTH>GRN>LNP,ALP,ON,ALP+ON,53.1457,False,False,False,0.0,True,True,True,True,True,True,0.5867040727672967,1.2378819899481641,0.5867040727672967,0.0,LOW
Brand,BRAND,ALP,ON,ALP+ON,0.602546046934246,OTH>LNP>GRN,ALP,ON,ALP+ON,0.602546046934246,OTH>LNP>GRN,ALP,ON,ALP+ON,0.602546046934246,OTH>LNP>GRN,ALP,ON,ALP+ON,60.2546,False,False,False,0.0,True,True,True,True,True,True,4.69342459341604e-06,4.69342459341604e-06,4.69342459341604e-06,0.0,LOW
Canning,CANNING,LNP,ALP,ALP+LNP,0.5624082077362892,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5616881133710395,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5624082077362892,OTH>GRN>ON,LNP,ALP,ALP+LNP,55.9055,False,False,False,0.0,True,True,True,True,True,True,0.335320773628911,0.26331133710394417,0.335320773628911,0.0,LOW
Adelaide,ADELAIDE,ALP,ON,ALP+ON,0.6488339115438818,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6383859759722516,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6488339115438818,OTH>LNP>GRN,ALP,ON,ALP+ON,64.8834,False,False,False,0.0,True,True,True,True,True,True,8.845611809693565e-06,1.044802402774836,8.845611809693565e-06,0.0,LOW
Makin,MAKIN,ALP,ON,ALP+ON,0.6046182542753366,OTH>LNP>GRN,ALP,ON,ALP+ON,0.5911227451196639,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6046182542753366,OTH>LNP>GRN,ALP,ON,ALP+ON,60.4618,False,False,False,0.0,True,True,True,True,True,True,2.5427533656419143e-05,1.3495254880336094,2.5427533656419143e-05,0.0,LOW
Mayo,MAYO,OTH,ON,ON+OTH,0.6684528360913845,LNP>GRN>ALP,OTH,ON,ON+OTH,0.6684528360913845,LNP>GRN>ALP,OTH,ON,ON+OTH,0.6684528360913845,LNP>GRN>ALP,OTH,ALP,ALP+OTH,65.4185,False,False,False,0.0,True,True,True,False,False,False,1.42678360913846,1.42678360913846,1.42678360913846,0.0,LOW
Bass,BASS,ALP,ON,ALP+ON,0.5630243823364803,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5611773139138165,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5630243823364803,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,52.7818,False,False,False,0.0,True,True,True,True,True,True,3.5206382336480324,3.3359313913816524,3.5206382336480324,0.0,LOW
Braddon,BRADDON,ALP,ON,ALP+ON,0.5255917892814526,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5255917892814526,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5255917892814526,OTH>IND>GRN>LNP,ON,ALP,ALP+ON,50.7991,False,False,False,0.0,False,False,False,True,True,True,1.7600789281452478,1.7600789281452478,1.7600789281452478,0.0,LOW
