Electorate,division_key,LegacyWinner,LegacyRunnerUp,LegacyFinalTwo,LegacyWinnerShare,LegacyEliminationOrder,DirectWinner,DirectRunnerUp,DirectFinalTwo,DirectWinnerShare,DirectEliminationOrder,CanonicalWinner,CanonicalRunnerUp,CanonicalFinalTwo,CanonicalWinnerShare,CanonicalEliminationOrder,ActualWinner,ActualRunnerUp,ActualFinalTwo,ActualWinnerShare,WinnerChanged,FinalTwoChanged,EliminationOrderChanged,WinnerShareDeltaPP,LegacyWinnerMatchedActual,DirectWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,DirectFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual,LegacyAbsoluteWinnerErrorPP,DirectAbsoluteWinnerErrorPP,CanonicalAbsoluteWinnerErrorPP,AbsoluteErrorChangePP,ReviewPriority
Cowper,COWPER,LNP,IND,IND+LNP,0.5124413808090766,ALP>GRN>OTH>ON,LNP,IND,IND+LNP,0.5092085833789592,ALP>GRN>OTH>ON,LNP,IND,IND+LNP,0.5092085833789592,ALP>GRN>OTH>ON,LNP,IND,IND+LNP,51.2441,False,False,False,-0.32327974301173956,True,True,True,True,True,True,3.808090766055372e-05,0.323241662104079,0.323241662104079,0.32320358119641845,LOW
Parramatta,PARRAMATTA,ALP,LNP,ALP+LNP,0.6004320715801604,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.6021983254236657,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.6036205863566747,OTH>GRN>ON,ALP,LNP,ALP+LNP,60.0432,False,False,False,0.3188514776514273,True,True,True,True,True,True,7.158016046560078e-06,0.17663254236657266,0.31885863566747386,0.3188514776514273,LOW
Cowan,COWAN,ALP,ON,ALP+ON,0.5967490638179579,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.6235543013034974,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,0.5999168129549998,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,59.9485,False,False,False,0.31677491370418753,True,True,True,True,True,True,0.27359361820421535,2.406930130349738,0.04318129549997218,-0.23041232270424317,LOW
Forde,FORDE,ON,ALP,ALP+ON,0.5415324594102832,IND>OTH>GRN>LNP,ON,ALP,ALP+ON,0.5411421951952359,IND>OTH>GRN>LNP,ON,ALP,ALP+ON,0.5384138942146128,IND>OTH>GRN>LNP,ON,ALP,ALP+ON,53.9457,False,False,False,-0.3118565195670331,True,True,True,True,True,True,0.2075459410283087,0.16851951952358002,0.10431057853872439,-0.10323536248958431,LOW
Fadden,FADDEN,LNP,ON,LNP+ON,0.5347542738172787,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5264797019092401,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5377599375169408,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,53.4754,False,False,False,0.30056636996621533,True,True,True,True,True,True,2.7381727873976303e-05,0.8274298090759857,0.3005937516940893,0.30056636996621533,LOW
Page,PAGE,LNP,ALP,ALP+LNP,0.6157024074205859,IND>OTH>GRN>ON,LNP,ALP,ALP+LNP,0.6167115139395549,IND>OTH>GRN>ON,LNP,ALP,ALP+LNP,0.6130611290252481,IND>OTH>GRN>ON,LNP,ALP,ALP+LNP,61.5702,False,False,False,-0.2641278395337787,True,True,True,True,True,True,4.074205859350144e-05,0.10095139395549513,0.2640870974751852,0.2640463554165917,LOW
Lingiari,LINGIARI,ALP,ON,ALP+ON,0.5672618789188036,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5676893163746203,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5647950461266601,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,55.7702,False,False,False,-0.24668327921435473,True,True,True,True,True,True,0.955987891880361,0.9987316374620248,0.7093046126660063,-0.24668327921435473,LOW
Clark,CLARK,IND,GRN,GRN+IND,0.694615063614173,LNP>ALP>ON,IND,GRN,GRN+IND,0.697065389116186,LNP>ALP>ON,IND,GRN,GRN+IND,0.697065389116186,LNP>ALP>ON,IND,GRN,GRN+IND,68.8768,False,False,False,0.24503255020129622,True,True,True,True,True,True,0.5847063614172976,0.8297389116185938,0.8297389116185938,0.24503255020129622,LOW
Ballarat,BALLARAT,ALP,ON,ALP+ON,0.5715121457174246,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5720417004933582,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.573956382576287,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,57.424,False,False,False,0.24442368588624142,True,True,True,True,True,True,0.27278542825753815,0.21982995066417432,0.02836174237129674,-0.24442368588624142,LOW
Fremantle,FREMANTLE,IND,ALP,ALP+IND,0.5453175147394377,OTH>LNP>GRN>ON,IND,ALP,ALP+IND,0.5469534587577921,OTH>LNP>GRN>ON,IND,ALP,ALP+IND,0.5477552856029039,OTH>LNP>GRN>ON,IND,ALP,ALP+IND,54.5318,False,False,False,0.24377708634661932,True,True,True,True,True,True,4.852605622884809e-05,0.1635458757792141,0.24372856029039047,0.24368003423416162,LOW
