,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,,,,,,,LNP,,,,,,,GRN,,,,,,,ON,,,,,,,,,,IND,,,,,,,OTH,,,,,,
Division,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 M-Lean,2022 Lean,2025 Primary,2025 Aus Primary,2025 M-Lean,2025 Lean,2025 M-PVI,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI
Lindsay,0.3190707986,,-0.006729201394,0.3209707986,,-0.02462920139,-0.02015420139,0.4641977544,,0.1071977544,0.3973977544,,0.07919775437,0.08619775437,0.07963870356,,-0.04286129644,0.09593870356,,-0.02606129644,-0.03026129644,0.05003244554,,1.00871866,0.0004324455403,0.06863244554,,1.072381962,0.00463244554,1.056466136,0.00358244554,-2.396429809e-06,,-0.05290239643,0.01119760357,,-0.06150239643,-0.0615,0.08706269435,,-0.004937305647,0.1058626944,,0.02936269435,0.02078769435
McMahon,0.485125635,,0.159325635,0.455225635,,0.109625635,0.122050635,0.2810818061,,-0.0759181939,0.2679818061,,-0.0502181939,-0.0566431939,0.06100457914,,-0.06149542086,0.09120457914,,-0.03079542086,-0.03847042086,0.07873070987,,1.587312699,0.02913070987,0.08733070987,,1.364542342,0.02333070987,1.420234931,0.02478070987,-4.273010681e-05,,-0.05294273011,0.09825726989,,0.02555726989,0.0256,0.0941,,0.0021,0,,-0.0765,-0.05685
Hughes,0.2791587975,,-0.0466412025,0.3899587975,,0.0443587975,0.0216087975,0.4040251539,,0.04702515387,0.3645251539,,0.04632515387,0.04650015387,0.06425636604,,-0.05824363396,0.114156366,,-0.007843633959,-0.02044363396,0.01664290656,,0.3355424709,-0.03295709344,0.05354290656,,0.8366079149,-0.01045709344,0.7113415539,-0.01608209344,0,,-0.0529,0,,-0.0727,,0.235916776,,0.143916776,0.07781677603,,0.001316776031,0.03696677603
Hume,0.2414807233,,-0.08431927675,0.2721807233,,-0.07341927675,-0.07614427675,0.4252871364,,0.06828713644,0.4384871364,,0.1202871364,0.1072871364,0.05650306634,,-0.06599693366,0.08500306634,,-0.03699693366,-0.04424693366,0.06119691657,,1.233808802,0.01159691657,0.08009691657,,1.251514321,0.01609691657,1.247087941,0.01497191657,-1.234781385e-05,,-0.05291234781,0.04458765219,,-0.02811234781,-0.0281,0.2155445052,,0.1235445052,0.07964450521,,0.003144505213,0.03324450521
Macarthur,0.4686534725,,0.1428534725,0.4819534725,,0.1363534725,0.1379784725,0.2930522922,,-0.06394770783,0.2308522922,,-0.08734770783,-0.08149770783,0.07832114266,,-0.04417885734,0.1284211427,,0.006421142662,-0.006228857338,0.07772969552,,1.567130958,0.02812969552,0.07842969552,,1.225463992,0.01442969552,1.310880734,0.01785469552,0,,-0.0529,0,,-0.0727,,0.08224339719,,-0.009756602805,0.08034339719,,0.003843397195,0.0004433971947
Werriwa,0.3913392905,,0.06553929052,0.4084392905,,0.06283929052,0.06351429052,0.3090041683,,-0.04799583172,0.3082041683,,-0.009995831716,-0.01949583172,0.06644934371,,-0.05605065629,0.1112493437,,-0.01075065629,-0.02207565629,0.04133653982,,0.8333979803,-0.008263460178,0.03993653982,,0.6240084347,-0.02406346018,0.6763558211,-0.02011346018,-2.461935307e-05,,-0.05292461935,0.02547538065,,-0.04722461935,-0.0472,0.191895277,,0.09989527701,0.106695277,,0.03019527701,0.04762027701
Dobell,0.4289120278,,0.1031120278,0.4280120278,,0.08241202781,0.08758702781,0.3368415172,,-0.02015848279,0.2780415172,,-0.04015848279,-0.03515848279,0.08564217177,,-0.03685782823,0.1029421718,,-0.01905782823,-0.02350782823,0.09730464289,,1.961787155,0.04770464289,0.08740464289,,1.365697545,0.02340464289,1.514719948,0.02947964289,0,,-0.0529,0,,-0.0727,,0.05129964033,,-0.04070035967,0.1035996403,,0.02709964033,0.01014964033
Newcastle,0.4405877653,,0.1147877653,0.4530877653,,0.1074877653,0.1093127653,0.242923095,,-0.114076905,0.190623095,,-0.127576905,-0.124201905,0.200139669,,0.07763966896,0.222239669,,0.100239669,0.09458966896,0.04057015684,,0.8179467104,-0.009029843164,0.05347015684,,0.8354712006,-0.01052984316,0.831090078,-0.01015484316,2.020948405e-06,,-0.05289797905,0.008202020948,,-0.06449797905,-0.0645,0.07577729296,,-0.01622270704,0.07237729296,,-0.004122707036,-0.007147707036
Paterson,0.4005395349,,0.07473953488,0.3706395349,,0.02503953488,0.03746453488,0.375717486,,0.01871748602,0.272317486,,-0.04588251398,-0.02973251398,0.07670899323,,-0.04579100677,0.07560899323,,-0.04639100677,-0.04624100677,0.0676309685,,1.363527591,0.0180309685,0.0759309685,,1.186421383,0.0119309685,1.230697935,0.0134559685,2.471298204e-05,,-0.05287528702,0.0972,,0.0245,0.0482,0.07937830439,,-0.01262169561,0.08457830439,,0.008078304386,0.002903304386
Robertson,0.3763621655,,0.05056216552,0.4475621655,,0.1019621655,0.08911216552,0.3996644629,,0.04266446291,0.3038644629,,-0.01433553709,-8.553709234e-05,0.1001751269,,-0.02232487311,0.08987512689,,-0.03212487311,-0.02967487311,0.07220605245,,1.455767187,0.02260605245,0.06930605245,,1.08290707,0.005306052453,1.176122099,0.009631052453,-2.678710466e-05,,-0.0529267871,0.0332732129,,-0.0394267871,-0.0394,0.05161897933,,-0.04038102067,0.05611897933,,-0.02038102067,-0.02538102067
Shortland,0.4015539461,,0.07575394605,0.4460539461,,0.1004539461,0.09427894605,0.3116620121,,-0.04533798794,0.2620620121,,-0.05613798794,-0.05343798794,0.09907736338,,-0.02342263662,0.1133773634,,-0.008622636623,-0.01232263662,0.05987034077,,1.207063322,0.01027034077,0.09077034077,,1.418286575,0.02677034077,1.365480761,0.02264534077,4.629444629e-05,,-0.05285370555,0.04444629445,,-0.02825370555,-0.0283,0.1277900433,,0.03579004329,0.04329004329,,-0.03320995671,-0.01595995671
Macquarie,0.4180524908,,0.09225249077,0.4263524908,,0.08075249077,0.08362749077,0.3588832369,,0.001883236862,0.3157832369,,-0.002416763138,-0.001341763138,0.0946704389,,-0.0278295611,0.1245704389,,0.002570438904,-0.005029561096,0.06078890661,,1.225582795,0.01118890661,0.08738890661,,1.365451666,0.02338890661,1.330484448,0.02033890661,0,,-0.0529,0,,-0.0727,,0.06760492685,,-0.02439507315,0.04590492685,,-0.03059507315,-0.02904507315
Cowper,0.1400025061,,-0.1857974939,0.1180025061,,-0.2275974939,-0.2171474939,0.3952411658,,0.03824116582,0.3790411658,,0.06084116582,0.05519116582,0.0584518216,,-0.0640481784,0.0422518216,,-0.0797481784,-0.0758231784,0.02803762937,,0.5652747857,-0.02156237063,0.06363762937,,0.9943379589,-0.0003623706316,0.8870721656,-0.005662370632,0.2616403815,,0.2087403815,0.2935,,0.2208,0.2177850954,0.1166264956,,0.02462649557,0.09532649557,,0.01882649557,0.02027649557
Cunningham,0.4120144569,,0.08621445693,0.4469144569,,0.1013144569,0.09753945693,0.2446994562,,-0.1123005438,0.2321994562,,-0.08600054385,-0.09257554385,0.2066364515,,0.0841364515,0.2042364515,,0.0822364515,0.0827114515,0.09400453262,,1.895252674,0.04440453262,0.07590453262,,1.186008322,0.01190453262,1.36331941,0.02002953262,0,,-0.0529,0,,-0.0727,,0.04264510279,,-0.04935489721,0.04074510279,,-0.03575489721,-0.03915489721
