CLARK (TAS),RAW,,,,,,,,CLARK (TAS),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,147.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.4382050765,0.1998452847,0.2454008222,0.1165488165,0,1,,0.4771782205,0.20009531489789725,0.15334991043755034,0.12483187534106671,0.04454467883151879,0.0,0.4771782205,0.6383003914281086,0.3531951951823037,0.3702326975707715,0.16109349532684936,0.0,0,0.3191501957140543,0.17659759759115184,0.18511634878538574,0.08054674766342468,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.5100086987,0,0.1743028409,0.2140358754,0.1016525851,0,1,,0.2212654470209667,0.3980093152086629,0.16905479590359695,0.1522295316359977,0.05944091023077565,0.0,0.7312741456777833,0.3980093152086629,0.343357636759806,0.36626540702689836,0.16109349532684936,0.0,0.36563707283889163,0.0,0.171678818379903,0.18313270351344918,0.08054674766342468,0.0
GRN,0.8180143981,0.1819856019,0.0,0,0,0,,,GRN,0.8180143981,0.1819856019,0,0,0,0,,GRN,0.8180143981,0.1819856019,0,0,0,0,1,,0.09281423998659961,0.3584580619331345,0.1951969277203355,0.23969285350146433,0.11383791685846596,0.0,0.9108286381114951,0.5404436638082392,0.1951969277203355,0.23969285350146433,0.11383791685846596,0.0,0.45541431905574753,0.2702218319041196,0.0,0.11984642675073216,0.05691895842923298,0.0
ON,0.2364106989,0.5652861662,0.1983031349,0.0,0,0,,,ON,0.2364106989,0.5652861662,0.1983031349,0,0,0,,ON,0.2364106989,0.5652861662,0.1983031349,0,0,0,1,,0.45051568154072136,0.13968468375056609,0.14577654810556978,0.17900689932517472,0.08501618727796795,0.0,0.6869263804190647,0.7049708499858264,0.3440796829919661,0.17900689932517472,0.08501618727796795,0.0,0.34346319020953237,0.3524854249929132,0.17203984149598306,0.0,0.042508093638983974,0.0
IND,0.2762629465,0.21454238,0.2428662016,0.2663284718,0.0,0,,,IND,0.2762629465,0.21454238,0.2428662016,0.2663284718,0,0,,IND,0.2762629465,0.21454238,0.2428662016,0.2663284718,0,0,1,,0.37104942996594514,0.3158097782785689,0.14541896440230484,0.11371492035002922,0.05400690700315194,0.0,0.647312376488879,0.5303521583250707,0.38828516605100494,0.38004339213189353,0.05400690700315194,0.0,0.3236561882444395,0.2651760791625353,0.19414258302550247,0.19002169606594677,0.0,0.0
OTH,0.1452476573,0.1442436412,0.06325301205,0.3530789826,0.2941767068,0.0,,,OTH,0.1452476573,0.1442436412,0.06325301205,0.3530789826,0.2941767068,0,,OTH,0.1452476573,0.1442436412,0.06325301205,0.3530789826,0.2941767068,0,1,,0.29004915919578456,0.33786343353667375,0.19563138438507513,0.14486484131105382,0.031591181571412726,0.0,0.43529681649163465,0.48210707476826675,0.2588843964332679,0.4979438239081087,0.32576788839872195,0.0,0.21764840824581733,0.24105353738413338,0.12944219821663394,0.24897191195405435,0.16288394419936097,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDON (TAS),RAW,,,,,,,,BRADDON (TAS),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,148.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.386654243,0.1647036851,0.3717467141,0.07689535776,0,1,,0.5029678659,0.2273911905620941,0.07113328278640604,0.17444791015236671,0.02405975061602324,0.0,0.5029678659,0.6140454336072962,0.235836967887333,0.546194624246281,0.10095510837598029,0.0,0,0.307022716803648,0.11791848394366644,0.27309731212314037,0.050477554187990124,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.503666505,0,0.1332820106,0.3008259921,0.06222549228,0,1,,0.24942120188345024,0.3787549732019338,0.09881587546665037,0.23427833335298104,0.03872961609498516,0.0,0.753087706900395,0.3787549732019338,0.23209788603863557,0.5351043254830563,0.10095510837598029,0.0,0.3765438534501973,0.0,0.11604894301931773,0.26755216274152804,0.050477554187990124,0.0
GRN,0.7145526746,0.07288016819,0.0,0.2125671572,0,0,,,GRN,0.7145526746,0.07288016819,0,0.2125671572,0,0,,GRN,0.7145526746,0.07288016819,0,0.2125671572,0,0,1,,0.13455196983462514,0.39100731048318843,0.12740307405330412,0.28755685773367606,0.05948078789520652,0.0,0.8491046444433614,0.4638874786681919,0.12740307405330412,0.5001240149399363,0.05948078789520652,0.0,0.42455232222168054,0.23194373933409584,0.0,0.25006200746996804,0.029740393947603246,0.0
ON,0.4603000366,0.5396999634,0,0.0,0,0,,,ON,0.4603000366,0.5396999634,0,0,0,0,,ON,0.4603000366,0.5396999634,0,0,0,0,1,,0.27182879432857426,0.1779769622213188,0.14774540850737078,0.3334708030450074,0.06897803189772916,0.0,0.7321288309184023,0.7176769256314908,0.14774540850737078,0.3334708030450074,0.06897803189772916,0.0,0.366064415459201,0.3588384628157452,0.07387270425368536,0.0,0.03448901594886457,0.0
IND,0.2525326677,0.1918954632,0.2548818088,0.3006900602,0.0,0,,,IND,0.2525326677,0.1918954632,0.2548818088,0.3006900602,0,0,,IND,0.2525326677,0.1918954632,0.2548818088,0.3006900602,0,0,1,,0.41718544121478207,0.2785010710719345,0.06716927414347071,0.20578483407217862,0.03135937949763423,0.0,0.6697181089581383,0.4703965342931942,0.32205108298211405,0.5064748942689192,0.03135937949763423,0.0,0.334859054479069,0.235198267146597,0.16102554149105694,0.2532374471344595,0.0,0.0
OTH,0.1071428571,0.1488095238,0.1511904762,0.4032738095,0.1895833333,0.0,,,OTH,0.1071428571,0.1488095238,0.1511904762,0.4032738095,0.1895833333,0,,OTH,0.1071428571,0.1488095238,0.1511904762,0.4032738095,0.1895833333,0,1,,0.4164868661135254,0.3064730694723155,0.08580179885492326,0.17373973135266388,0.017498534206572054,0.0,0.5236297232563826,0.4552825932818393,0.23699227504539944,0.5770135408764734,0.20708186753990537,0.0,0.2618148616281912,0.22764129664091953,0.11849613752269966,0.2885067704382366,0.10354093376995264,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LYONS
(TAS)",RAW,,,,,,,,"LYONS
(TAS)",HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
