,,,,,,,,,,,,,,,,,,,,,,,,,,2028 FEDERAL ELECTION PROJECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEATS PROJECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST PREFERENCE,,,,,,,TWO-PARTY-PREFERRED,,,,,,,THREE-PARTY-PREFERRED,,,,,,,TWO-PARTY-PREFERRED,,,,,SEATS,,,,,,,,,,,,150,OUT OF,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,SEATS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,NATIONAL,,,GRN,ALP,OTH,IND,LNP,ON,,ALP,,SWING,,LNP,,,ALP,,ON,,LNP,,,ALP,,ON,,,ALP,,GRN,,IND,,OTH,,ON,,LNP,,NATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,,GRN,IND,OTH,ON,LNP
,Canberra (ACT),,0.4755839684,-0.007612862573,0.09057294858,-0.09251146874,0.2621562829,0.06405125636,0.04405684186,0.04405684186,0.1114005341,0.002337850062,0.0162294242,-0.01032161697,0.6380423427,0.3619576573,-0.05716669324,,LABOR RETAIN,,,,WA,,,0.139125,0.29835,0.08475,0.054625,0.21035,0.2136,,0.5340884647,,-0.02431153528,,0.4659115353,,,0.4564534484,,0.2742591402,,0.2692874113,,,0.5329310732,,0.4670689268,,,8,-3,0,-,2,+1,0,-,0,-,6,+2,WA,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.019125,-0.05765,-0.02255,-0.007075,-0.10465,0.1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SA,,,0.150375,0.31285,0.09145,0.034175,0.18885,0.2231,,0.5596862638,,-0.03221373625,,0.4403137362,,,0.4826502028,,0.2684723715,,0.2488774257,,,0.5533313917,,0.4466686083,,,7,-,0,-,0,-,1,-,0,-,2,-,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP v IND,,PRIMARY,,,,,,,,,,,,2CP,,ALP v IND,,,,,,,,,0.016375,-0.07015,-0.01195,0.000575,-0.09515,0.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,ALP,IND,SWING,,RESULT,,,,TAS,,,0.131125,0.2821,0.049375,0.16475,0.1531,0.22035,,0.549286755,,-0.08411324499,,0.450713245,,,0.4586030687,,0.3028937893,,0.238503142,,,0.526337961,,0.473662039,,,3,-1,0,-,1,-,0,-,1,+1,0,-,TAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,0.020125,-0.0839,0.011875,-0.01475,-0.0919,0.15935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fremantle (WA),,0.3238436306,-0.06220356415,0.08488911989,-0.1036353098,0.1429092009,0.02734080767,0.2024635829,0.1413160259,0.2172029226,-0.01289597097,0.02869154306,0.01007801129,0.4546824853,0.5453175147,-0.05217152434,,INDEPENDENT GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Franklin (TAS),,0.3084040173,-0.08188135321,0.0906709519,-0.09769712636,0.1332649294,0.02842854005,0.1869121357,0.1373057953,0.2516492368,-0.01525458473,0.02909872893,0.02909872893,0.5589576937,0.4410423063,-0.01883258118,,LABOR RETAIN,,,,ACT,,,0.177875,0.40785,0.085525,0.0466,0.11235,0.1706,,0.6475967755,,-0.07730322446,,0.3524032245,,,0.5758390024,,0.2505538022,,0.1736071955,,,0.687009296,,0.312990704,,,3,-,0,-,0,-,0,-,0,-,0,-,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fowler (NSW),,0.3163964924,-0.05921950965,0.02338861652,-0.09931684304,0.08179830916,0.01414030059,0.1959294969,0.1546654284,0.3279886004,-0.006729168469,0.0544984846,-0.003540207858,0.4360765175,0.5639234825,0.03716370714,,INDEPENDENT RETAIN,,,,,,,0.026875,-0.06715,-0.032475,0.0026,-0.09965,0.1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Watson (NSW),,0.4297681109,-0.05026424292,0.06635053209,-0.08557983467,0.1014935863,0.01217036152,0.1697788976,0.1374974672,0.1556294862,0.008229486217,0.07697938691,-0.009325753489,0.6361778939,0.3638221061,-0.02899582699,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
