,,150,150.0,1,,,ALP,,,,,,,,,,,,,,LNP,,,,,,,,,,,,,,GRN,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,IND,,,,,,,,,,,,,,OTH,,,,,,,,,,,,,,STATUS
,,,,,,,,,,3CP,,,,,,,,,,,,,,3CP,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,
Notes,Division,3CP,,,2CP,,Votes at elim,%,Position,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,%,Position,Votes to ALP,% to ALP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,%,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to ON,% to ON,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,%,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,Candidates,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to OTH,% to OTH,TOTAL,Votes at elim,Candidates,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to IND,% to IND,TOTAL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chifley,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,13891.0,,Third,10990.0,0.7911597437,2901.0,0.2088402563,,0,,0,,0,1,8183.0,,Fourth,1825.0,0.2230233411,4629.0,0.5656849566,1729.0,0.2112917023,,0,,0,1,1519.0,,Sixth,301.0,0.198156682,151.0,0.09940750494,214.0,0.1408821593,151.0,0.09940750494,702.0,0.4621461488,1,9844.0,,Fifth,2246.0,0.2281592848,1680.0,0.1706623324,3224.0,0.3275091426,2694.0,0.2736692401,,0,1,Y
,Fowler,IND,ALP,LIB,IND,ALP,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,13728.0,,Third,4183.0,0.304705711,,0,,0,9545.0,0.695294289,,0,1,7497.0,,Third,3760.0,0.5015339469,642.0,0.0856342537,,0,3095.0,0.4128317994,,0,1,4024.0,,Sixth,489.0,0.1215208748,895.0,0.222415507,405.0,0.1006461233,1165.0,0.2895129225,1070.0,0.2659045726,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,6414.0,,Fifth,664.0,0.1035235423,829.0,0.1292485189,823.0,0.1283130652,,0,4098.0,0.6389148737,1,Y
,Greenway,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,14001.0,,Third,10609.0,0.7577315906,3392.0,0.2422684094,,0,,0,,0,1,7605.0,,Fourth,1884.0,0.2477317554,4294.0,0.5646285339,1427.0,0.1876397107,,0,,0,1,3471.0,,Fifth,696.0,0.2005185825,586.0,0.1688274273,1280.0,0.368769807,909.0,0.2618841832,,0,1,4294.0,,Sixth,527.0,0.1227293898,735.0,0.1711690731,276.0,0.06427573358,1996.0,0.464834653,760.0,0.1769911504,1,Y
,Lindsay,LIB,ALP,ON,LIB,ALP,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,11453.0,,Fourth,8585.0,0.7495852615,1401.0,0.1223260281,1467.0,0.1280887104,,0,,0,1,12992.0,,Third,4323.0,0.3327432266,8669.0,0.6672567734,,0,,0,,0,1,1099.0,,Sixth,153.0,0.1392174704,127.0,0.1155595996,123.0,0.1119199272,115.0,0.1046405823,581.0,0.5286624204,1,11094.0,,Fifth,1779.0,0.1603569497,2604.0,0.2347214711,2037.0,0.1836127637,4674.0,0.4213088156,,0,1,Y
,McMahon,ALP,LIB,IND,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,9574.0,,Fourth,5867.0,0.6128055149,787.0,0.08220179653,,0,2920.0,0.3049926885,,0,1,8544.0,,Fifth,1271.0,0.1487593633,3646.0,0.4267322097,651.0,0.07619382022,2976.0,0.3483146067,,0,1,15509.0,,Third,6067.0,0.391192211,9442.0,0.608807789,,0,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,Y
,Hughes,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,13768.0,,Third,11361.0,0.8251743173,2407.0,0.1748256827,,0,,0,,0,1,8852.0,,Fourth,1325.0,0.1496836873,6047.0,0.6831224582,1480.0,0.1671938545,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,7659.0,,Fifth,1135.0,0.1481916699,1858.0,0.2425904165,1067.0,0.1393132263,3599.0,0.4699046873,,0,1,Y
,Hume,LIB,ALP,ON,LIB,ALP,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,10419.0,,Fourth,7358.0,0.706209809,1491.0,0.1431039447,1570.0,0.1506862463,,0,,0,1,14508.0,,Third,4652.0,0.3206506755,9856.0,0.6793493245,,0,,0,,0,1,5615.0,,Fifth,1885.0,0.3357079252,1065.0,0.1896705254,1222.0,0.2176313446,1443.0,0.2569902048,,0,1,7922.0,,Sixth,752.0,0.09492552386,1720.0,0.2171168897,742.0,0.09366321636,3528.0,0.4453420853,1180.0,0.1489522848,1,Y
,Macarthur,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,15522.0,,Third,12721.0,0.8195464502,2801.0,0.1804535498,,0,,0,,0,1,10399.0,,Fourth,2168.0,0.2084815848,6314.0,0.6071737667,1917.0,0.1843446485,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,7515.0,,Fifth,1396.0,0.1857618097,1463.0,0.194677312,1593.0,0.2119760479,3063.0,0.4075848303,,0,1,Y
,Werriwa,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,13775.0,,Third,10012.0,0.7268239564,3763.0,0.2731760436,,0,,0,,0,1,7026.0,,Fourth,1349.0,0.1920011386,4132.0,0.5881013379,1545.0,0.2198975235,,0,,0,1,2592.0,,Sixth,617.0,0.2380401235,538.0,0.2075617284,690.0,0.2662037037,157.0,0.06057098765,590.0,0.2276234568,1,9857.0,,Fifth,2065.0,0.2094957898,2511.0,0.2547428224,1889.0,0.1916404586,3392.0,0.3441209293,,0,1,Y
,Dobell,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,15959.0,,Third,11856.0,0.7429036907,4103.0,0.2570963093,,0,,0,,0,1,12936.0,,Fourth,2603.0,0.2012213976,7761.0,0.5999536178,2572.0,0.1988249845,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,10715.0,,Fifth,2738.0,0.2555296314,1341.0,0.1251516566,2740.0,0.2557162856,3896.0,0.3636024265,,0,1,Y
