Division,State,ALP,LNP,GRN,ON,IND,OTH
Spence,SA,1.322212,0.426550,1.082690,1.267628,0.300208,1.136483
Sturt,SA,0.996454,1.210322,1.260131,0.815255,0.970354,0.504703
Swan,WA,1.281282,0.809511,1.343125,0.931726,0.000000,0.977660
Sydney,NSW,1.741729,0.329572,1.729289,0.799745,0.000000,0.253198
Tangney,WA,1.272085,1.180390,1.060430,0.852985,0.000000,0.734605
Wannon,VIC,0.240647,1.565301,0.401181,0.891158,4.089368,0.773070
Warringah,NSW,0.293244,1.061952,0.776976,0.654569,5.639583,0.479159
Watson,NSW,1.510300,0.314743,0.719275,0.792686,2.163016,0.994638
Wentworth,NSW,0.311304,1.268019,0.903654,0.694713,5.111869,0.000000
Werriwa,NSW,1.222060,0.938822,0.846009,0.900225,0.320792,1.538491
Whitlam,NSW,1.152514,0.806679,0.950952,1.097375,1.127755,0.667003
Wide Bay,QLD,0.643925,1.341307,0.738218,1.342298,0.623516,1.259529
Wills,VIC,1.072288,0.117105,2.656698,0.827955,0.000000,1.524369
Wright,QLD,0.639782,1.178507,0.828987,1.536086,0.000000,1.596080
