Seat,State,DivisionID,Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Method,VoteBasis,CandidateCount,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,EffectiveEvidenceMultiplier,OverrideApplied,Source
Berowra,NSW,106,ON,ALP+GRN+IND+LNP,GRN,265.5156197514276,4705.0,0.056432650319113216,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Gerald Mattinson,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,ON,ALP+GRN+IND+LNP,IND,1081.0278804165266,4705.0,0.22976150487067515,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Gerald Mattinson,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,ON,ALP+GRN+IND+LNP,LNP,2944.378569029224,4705.0,0.6257977830030232,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Gerald Mattinson,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,OTH,ALP+GRN+IND+LNP+ON,ALP,524.0,4517.0,0.11600619880451622,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3,Stephen Bastian,OTH_CYA,RIGHT,0.4868275404029223,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,OTH,ALP+GRN+IND+LNP+ON,GRN,509.0,4517.0,0.11268541067079922,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3,Stephen Bastian,OTH_CYA,RIGHT,0.4868275404029223,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,OTH,ALP+GRN+IND+LNP+ON,IND,1344.0,4517.0,0.29754261678104943,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3,Stephen Bastian,OTH_CYA,RIGHT,0.4868275404029223,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,OTH,ALP+GRN+IND+LNP+ON,LNP,891.0,4517.0,0.19725481514279394,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3,Stephen Bastian,OTH_CYA,RIGHT,0.4868275404029223,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,OTH,ALP+GRN+IND+LNP+ON,ON,1249.0,4517.0,0.27651095860084124,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3,Stephen Bastian,OTH_CYA,RIGHT,0.4868275404029223,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Blaxland,NSW,107,GRN,ALP+IND+LNP,ALP,3303.9422287001457,6854.0,0.4820458460315357,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Omar Sakr,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Blaxland,NSW,107,GRN,ALP+IND+LNP,IND,3016.050616138863,6854.0,0.4400424009540215,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Omar Sakr,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Blaxland,NSW,107,GRN,ALP+IND+LNP,LNP,534.0071551609911,6854.0,0.0779117530144428,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Omar Sakr,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Blaxland,NSW,107,IND,ALP+LNP,ALP,13707.285014970772,16302.0,0.840834561095005,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Ahmed Ouf,IND_PROMINENT,LEFT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Blaxland,NSW,107,IND,ALP+LNP,LNP,2594.714985029229,16302.0,0.159165438904995,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Ahmed Ouf,IND_PROMINENT,LEFT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Blaxland,NSW,107,ON,ALP+GRN+IND+LNP,ALP,451.3850746268658,3086.0,0.14626865671641792,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Mitchell Klievens,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
