,,,,,ScenarioKey,ScenarioTotal,ScenarioShare,Share
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04150345005,0.04150345005
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04196710943,0.04196710943
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03851032284,0.03851032284
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03540332053,0.03540332053
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03741528935,0.03741528935
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04591866056,0.04591866056
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03172384625,0.03172384625
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04652264863,0.04652264863
,,,,,ALP|GRN|IND|LNP → LNP | OTH,1.155770225,0.1273404762,0.1273404762
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03772496083,0.03772496083
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04652954704,0.04652954704
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03978483943,0.03978483943
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04049340991,0.04049340991
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01111873366,0.01111873366
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01340315054,0.01340315054
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.009113853572,0.009113853572
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01386684218,0.01386684218
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.0234214622,0.0234214622
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01225923657,0.01225923657
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01263164968,0.01263164968
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02156613431,0.02156613431
