(NSW)",FULL DISTRIBUTION,,,,,,,,GRAYNDLER (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"GRAYNDLER
(NSW)",FULL DISTRIBUTION,,,,,,,,PARRAMATTA (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,PARRAMATTA (NSW),FULL DISTRIBUTION,,,,,,,,REID (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,REID (NSW),FULL DISTRIBUTION,,,,,,,,WATSON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,WATSON (NSW),FULL DISTRIBUTION,,,,,
,NSW,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Eliminated,0.02901521182,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06496175338,-0.09344557766,0.02792757853,0.1627165855,-0.02273824508,0.001152443491,,,Eliminated,0.03767355718,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06661927625,-0.08382913431,0.02354899231,0.1296529376,0.01559892927,0.008483402176,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0763107435,-0.0928181462,0.01552426624,0.155759786,0,-0.002155162532,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05196830739,-0.09898791243,0.009435296616,0.1626962077,-0.01698839108,-0.004186893465,,,Eliminated,0.02310545955,,LNP,ALP+GRN+ON+IND+OTH,2,,,,,,,,,,,,,SWING,-0.05921950965,-0.09931684304,0.01414030059,0.1546654284,-0.006729168469,-0.003540207858,,,Eliminated,0.0237,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.07119445299,-0.0964209013,0.01114026203,0.1543348498,-0.002488284664,0.004628527076,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0589512974,-0.09368037357,0.01471800332,0.1634267998,-0.01119760357,-0.01431552862,,,Eliminated,0.01315,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06491791609,-0.1142502151,0.007359569218,0.1644921535,-0.005449512165,0.01276592065,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.08214779984,-0.09764758293,0.007858524151,0.1405872233,0,0.03134963529,,,Eliminated,0.0419,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0710130483,-0.1204496888,0.009487396907,0.1629768726,-0.003240146969,0.02223861455,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06663903404,-0.09820089227,0.004497394183,0.1706915112,0,-0.01034897912,,,Eliminated,0.0228,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06069228065,-0.1102910339,0.008128041882,0.1528754207,-0.002394443278,0.01237429523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1160061988,0.1972548151427939,0.11268541067079921,0.27651095860084124,0.2975426167810494,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.02954265531,,,,,Weights,0.06716646267,0.2119033047735618,0.08216034271725826,0.4265605875152999,0.21220930232558138,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.04010695936,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.198156682,0.09940750493745885,0.14088215931533904,0.09940750493745885,0.0,0.4621461487820935,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1847278373,0.0,0.026250000000000006,0.28875000000000006,0.4215221627331002,0.07875000000000001,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.02338861652,,,,,Weights,0.1794641314,0.1511005473926822,0.33004897723998844,0.2343863439930856,0.0,0.105,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.02389485971,,,,,Weights,0.1392174704,0.11555959963603275,0.11191992720655142,0.10464058234758872,0.0,0.5286624203821656,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1606752372,0.21582797979773466,0.16019226615343918,0.3388781966492975,0.12442632022192397,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.01276592065,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.3004585931,0.16975512021371325,0.194780053428317,0.23000623330365094,0.0,0.105,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.04134750522,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2380401235,0.20756172839506173,0.2662037037037037,0.060570987654320986,0.0,0.22762345679012347,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.02308093737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.003365944431,0.005723390245,0.00326959106,0.008023024035,0.008633262052,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.002530399572,0.007983151269,0.003095272369,0.01607005468,0.007994679285,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004268221572,,0.0006065183133,0.006671701446,0.009739463282,0.00181955494,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004253299914,0.003581082973,0.007822160761,0.005554956353,,0.0024885,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.002112879369,0.002838137934,0.0021065283,0.004456248286,0.001636206111,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01258921505,0.007112739537,0.008161284239,0.009637261175,,0.0043995,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005427314815,0.004732407407,0.006069444444,0.001381018519,,0.005189814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.2048849289,0.3236553887216294,0.14781540304949162,0.20781963432711462,0.09797101990921984,0.0,5,0.9821463749,,True,True,True,True,True,False,IND,,ROUND 2,0.2086093623,0.3295388518,0.1505024168,0.2115974152,0.09975195389,,,,Round 2,0.05332205871,0.2622084612909116,0.08281117713210835,0.16158184463265068,0.3794036419755622,0.0,1,0.9393271837,,True,True,True,True,True,False,ALP,,ROUND 2,0.05676622548,0.2791449729,0.0881600986,0.1720187038,0.4039099991,,,,Round 2,0.2525227598,0.3655941240769308,0.15082166166147892,0.19585021428762645,0.0,0.021967405274159545,6,0.9867561651,,True,True,True,True,False,True,OTH,,ROUND 2,0.2559120163,0.3705009779,0.1528459279,0.1984788352,,0.02226224274,,,Round 2,0.4667421002,0.09638257543561414,0.10524361341624355,0.21873744528019695,0.0,0.09644349654416537,2,0.9835492309,,True,True,True,True,False,True,LNP,,ROUND 2,0.4745487928,0.09799466301,0.10700391,0.222396031,,0.09805660308,,,Round 2,0.3168342236,0.0,0.08141452687813383,0.2002291555075838,0.33375723211714725,0.055658247401493485,6,0.9878933855,,True,False,True,True,True,True,OTH,,ROUND 2,0.320717021,,0.08241226034,0.20268296,0.3378474206,0.05634033815,,,Round 2,0.4336594857,0.1804372396079202,0.12522308650629355,0.20399808761248225,0.0,0.04852722074351614,6,0.9918451202,,True,True,True,True,False,True,OTH,,ROUND 2,0.4372250031,0.1819207817,0.1262526618,0.2056753453,,0.04892620809,,,Round 2,0.2598457986,0.3011977543659446,0.10973870356407803,0.23013409177359667,0.0,0.09078769435331041,6,0.9917040427,,True,True,True,True,False,True,OTH,,ROUND 2,0.2620195012,0.3037173808,0.1106567069,0.2320592454,,0.09154716573,,,Round 2,0.4041635144,0.16119494403645093,0.10363610743826292,0.2638555305326766,0.09723620611091831,0.0,5,1.030086302,,True,True,True,True,True,False,IND,,ROUND 2,0.3923588862,0.1564868338,0.1006091501,0.2561489556,0.09439617426,,,,Round 2,0.3016087975,0.261500153873544,0.11955636604099905,0.19021852850029095,0.0,0.10696677603133424,6,0.9798506219,,True,True,True,True,False,True,OTH,,ROUND 2,0.3078109977,0.2668775709,0.1220148902,0.1941301299,,0.1091664113,,,Round 2,0.2164449383,0.3293998759741649,0.10391435058225795,0.25595905771073263,0.0,0.10764400521278417,3,1.013362228,,True,True,True,True,False,True,GRN,,ROUND 2,0.2135908882,0.3250563983,0.1025441325,0.2525839731,,0.1062246078,,,Round 2,0.4179784725,0.13350229216558335,0.13377114266164902,0.25071919448518587,0.0,0.07044339719466303,6,1.006414499,,True,True,True,True,False,True,OTH,,ROUND 2,0.4153144384,0.1326513999,0.1329185368,0.2491212068,,0.06999441807,,,Round 2,0.3489416053,0.20023657569101508,0.12399378815663657,0.19184610363611757,0.0,0.12281009182533822,6,0.9878281646,,True,True,True,True,False,True,OTH,,ROUND 2,0.3532411991,0.2027038536,0.1255216166,0.1942099957,,0.124323335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.09797101991,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05332205871,,ALP,LNP+GRN+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.02196740527,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09638257544,,LNP,ALP+GRN+ON+OTH,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0556582474,,OTH,ALP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.04852722074,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09078769435,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09723620611,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.106966776,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1039143506,,GRN,ALP+LNP+ON+OTH,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07044339719,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1228100918,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.5204529624,0.18639804731500154,0.14987780709326784,0.1432711831434581,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.09975195389,,,,,Weights,0,0.1285567879415768,0.4083333333333334,0.0175,0.4456098787250899,0.0,,Calibrate,,,,,,,,,,ELIMINATED,LABOR,,,0.05676622548,,,,,Weights,0.1353271028,0.2553271028037383,0.10130841121495326,0.5080373831775701,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.02226224274,,,,,Weights,0.1176470588,0.0,0.058823529411764705,0.6470588235294118,0.0,0.1764705882352941,,Calibrate,,,,,,,,,,ELIMINATED,LIBERAL,,,0.09799466301,,,,,Weights,0.08951708884,0.0,0.11095265680130599,0.2470588235294118,0.5524714308283744,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05634033815,,,,,Weights,0.1548275003,0.20869759231978863,0.10345498195934097,0.5330199254390428,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.04892620809,,,,,Weights,0.1603569497,0.23472147106544078,0.1836127636560303,0.42130881557598704,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.09154716573,,,,,Weights,0.2765146093,0.4303364004245815,0.14987780709326787,0.14327118314345813,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.09439617426,,,,,Weights,0.1481916699,0.24259041650345997,0.13931322626974801,0.46990468729599166,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.1091664113,,,,,Weights,0.6320577791,0.12807803052116323,0.0,0.13486419042134562,0.0,0.105,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.1025441325,,,,,Weights,0.1857618097,0.1946773120425815,0.2119760479041916,0.40758483033932136,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.06999441807,,,,,Weights,0.2094957898,0.2547428223597443,0.19164045855737039,0.34412092928883026,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.124323335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.05098930755,0.0182616068,0.01468368162,0.01403642394,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,,0.006854912595,0.02177317397,0.0009331360275,0.02376083612,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.002972785312,0.005608873945,0.002225482927,0.01116026309,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01133912652,,0.005669563261,0.06236519587,,0.01700868978,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.004982364277,,0.006175430422,0.01375086112,0.03074959158,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.007513348283,0.01012751413,0.005020382747,0.02586597558,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01455843774,0.02130982117,0.01666977947,0.03824965598,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.02688723155,0.04184427893,0.01457354934,0.01393114629,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01585158517,0.02594911475,0.01490188667,0.05026418944,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.06567987364,0.01330914537,,0.01401432476,,0.01091100681,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01308569295,0.01371373122,0.01493231294,0.02871166009,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.02572819718,0.03128498941,0.02353538231,0.04226152292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.2558742365,0.3419169955261671,0.16249908467217639,0.22185605826327984,0.0,0.0,3,0.9821463749,,True,True,True,True,False,False,GRN,,ROUND 3,0.2605255622,0.3481324212,0.1654530209,0.2258889957,,,,,Round 3,0,0.26906337388554763,0.10458435110677587,0.16251498066013645,0.40316447809224437,0.0,3,0.9393271837,,False,True,True,True,True,False,GRN,,ROUND 3,,0.2864426566,0.1113396407,0.1730121128,0.42920559,,,,Round 3,0.2554955451,0.37120299802169754,0.153047144588319,0.2070104773783116,0.0,0.0,3,0.9867561651,,True,True,True,True,False,False,GRN,,ROUND 3,0.2589247011,0.3761851318,0.1551012803,0.2097888868,,,,,Round 3,0.4780812268,0.0,0.11091317667716204,0.2811026411503002,0.0,0.1134521863269208,3,0.9835492309,,True,False,True,True,False,True,GRN,,ROUND 3,0.4860775767,,0.112768302,0.2858043424,,0.1153497789,,,Round 3,0.3218165879,0.0,0.08758995730023392,0.21398001663030572,0.36450682369645,0.0,3,0.9878933855,,True,False,True,True,True,False,GRN,,ROUND 3,0.325760444,,0.08866337054,0.2166023376,0.3689738478,,,,Round 3,0.441172834,0.19056475373906293,0.13024346925285096,0.2298640631949552,0.0,0.0,3,0.9918451202,,True,True,True,True,False,False,GRN,,ROUND 3,0.4448001256,0.1921315635,0.1313143218,0.2317539891,,,,,Round 3,0.2744042363,0.32250757553919324,0.12640848303024832,0.2683837477504646,0.0,0.0,3,0.9917040427,,True,True,True,True,False,False,GRN,,ROUND 3,0.2766997255,0.3252054662,0.127465935,0.2706288733,,,,,Round 3,0.4310507459,0.20303922296516622,0.11820965678023637,0.277786676826569,0.0,0.0,3,1.030086302,,True,True,True,True,False,False,GRN,,ROUND 3,0.4184608075,0.1971089437,0.1147570417,0.2696732071,,,,,Round 3,0.3174603827,0.2874492686230177,0.13445825271359776,0.24048271794235543,0.0,0.0,3,0.9798506219,,True,True,True,True,False,False,GRN,,ROUND 3,0.3239885505,0.2933602961,0.1372232152,0.2454279383,,,,,Round 3,0.2821248119,0.3427090213396262,0.0,0.2699733824751687,0.0,0.11855501202392126,6,1.013362228,,True,True,False,True,False,True,OTH,,ROUND 3,0.2784047049,0.3381900489,,0.2664135045,,0.1169917417,,,Round 3,0.4310641654,0.14721602338258827,0.1487034555999189,0.279430854579298,0.0,0.0,2,1.006414499,,True,True,True,True,False,False,LNP,,ROUND 3,0.4283167282,0.1462777251,0.147755677,0.2776498698,,,,,Round 3,0.3746698025,0.23152156509686111,0.14752917046951716,0.23410762656109954,0.0,0.0,3,0.9878281646,,True,True,True,True,False,False,GRN,,ROUND 3,0.3792864143,0.2343743309,0.1493469975,0.2369922573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1624990847,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1045843511,,GRN,LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1530471446,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1109131767,,GRN,ALP+ON+OTH,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0875899573,,GRN,ALP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1302434693,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.126408483,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1182096568,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1344582527,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.118555012,,OTH,ALP+LNP+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1472160234,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1475291705,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.786928992,0.10807100804998197,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1654530209,,,,,Weights,0,0.20775478488467203,0.0,0.10500000000000002,0.687245215115328,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1113396407,,,,,Weights,0.70999597,0.18500403000806004,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1551012803,,,,,Weights,0.895,0.0,0.0,0.041999999999999996,0.0,0.063,,,,,,,,,,,,ELIMINATED,GREENS,,,0.112768302,,,,,Weights,0.4909117433,0.0,0.0,0.10500000000000002,0.40408825674690013,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.08866337054,,,,,Weights,0.6781697736,0.21683022641239913,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1313143218,,,,,Weights,0.7495852615,0.1223260281149044,0.0,0.12808871038155942,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.127465935,,,,,Weights,0.7891441238,0.10585587616471297,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1147570417,,,,,Weights,0.7385310139,0.1564689860546194,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1372232152,,,,,Weights,0.1464670711,0.2677766122867873,0.0,0.5857563166430733,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.1169917417,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1462777251,,,,,Weights,0.650507441,0.24449255898366606,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1493469975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1278752409,0.01756143989,,0.01706240389,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.02172789937,,0.01098135687,0.07187509487,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1086628559,0.02831433853,,0.01606995018,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09926729313,,,0.00465835342,,0.006987530131,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.04299893863,,,0.009196945517,0.03539407315,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.08832718405,0.02824072093,,0.01367556427,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09475393581,0.01546304765,,0.01619149957,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09328445603,0.01251318679,,0.01241201396,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09930158971,0.02103854647,,0.01411811653,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01736440537,0.03174625949,,0.06944434716,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02103086048,,0.01051543024,0.1156697327,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09596882316,0.03606978441,,0.0154905629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.3837494774,0.3594784354138886,0.0,0.23891846215385837,0.0,0.0,4,0.9821463749,,True,True,False,True,False,False,ON,,3CP,0.3907253411,0.366013096,,0.2432615629,,,,,Round 4 (3CP),0,0.29079127325203885,0.0,0.1734963375263479,0.47503957296631755,0.0,4,0.9393271837,,False,True,False,True,True,False,ON,,3CP,,0.3095739997,,0.1847027751,0.5057232253,,,,Round 4 (3CP),0.3641584009,0.3995173365517628,0.0,0.2230804275600851,0.0,0.0,4,0.9867561651,,True,True,False,True,False,False,ON,,3CP,0.3690459851,0.4048794937,,0.2260745212,,,,,Round 4 (3CP),0.5773485199,0.0,0.0,0.285760994570741,0.0,0.12043971645758202,6,0.9835492309,,True,False,False,True,False,True,OTH,,3CP,0.587005207,,,0.2905406111,,0.1224541819,,,Round 4 (3CP),0.3648155265,0.0,0.0,0.22317696214683028,0.39990089685043695,0.0,4,0.9878933855,,True,False,False,True,True,False,ON,,3CP,0.3692863338,,,0.2259119915,0.4048016747,,,,Round 4 (3CP),0.5295000181,0.21880547466589495,0.0,0.24353962746650454,0.0,0.0,2,0.9918451202,,True,True,False,True,False,False,LNP,,3CP,0.5338535294,0.2206044777,,0.2455419929,,,,,Round 4 (3CP),0.3691581722,0.33797062318831383,0.0,0.28457524732309836,0.0,0.0,4,0.9917040427,,True,True,False,True,False,False,ON,,3CP,0.3722463117,0.3407978678,,0.2869558206,,,,,Round 4 (3CP),0.5243352019,0.21555240975476814,0.0,0.2901986907884938,0.0,0.0,2,1.030086302,,True,True,False,True,False,False,LNP,,3CP,0.5090206526,0.2092566509,,0.2817226965,,,,,Round 4 (3CP),0.4167619724,0.3084878150917901,0.0,0.2546008344772832,0.0,0.0,4,0.9798506219,,True,True,False,True,False,False,ON,,3CP,0.4253321507,0.3148314735,,0.2598363758,,,,,Round 4 (3CP),0.2994892173,0.3744552808290112,0.0,0.3394177296378761,0.0,0.0,1,1.013362228,,True,True,False,True,False,False,ALP,,3CP,0.2955401426,0.3695177011,,0.3349421563,,,,,Round 4 (3CP),0.4520950259,0.0,0.15921888584153235,0.39510058723704594,0.0,0.0,3,1.006414499,,True,False,True,True,False,False,GRN,,3CP,0.4492135461,,0.1582040859,0.392582368,,,,,Round 4 (3CP),0.4706386257,0.2675913495096909,0.0,0.24959818946039886,0.0,0.0,4,0.9878281646,,True,True,False,True,False,False,ON,,3CP,0.4764377475,0.2708885605,,0.252673692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
