Division,Classification,ALP primary,LNP primary,GRN primary,ON primary,IND primary,OTH primary
Petrie,OuterMetro,0.2875359213,0.2797330281,0.1350348268,0.2295880997,0,0.0681081241
Fadden,OuterMetro,0.1987191999,0.3030183917,0.1132981428,0.2525695292,0.03346392288,0.09893081352
Forde,OuterMetro,0.2630927847,0.2071985512,0.1265448978,0.2696469662,0.03200112872,0.1015156714
Oxley,OuterMetro,0.4559111824,0.1189151466,0.1564078208,0.2214351938,0,0.04733065635
Rankin,OuterMetro,0.4185982674,0.1075013034,0.1264486056,0.2374247841,0,0.1100270394
Ryan,OuterMetro,0.2156602123,0.2531000128,0.3237100619,0.1545661359,0,0.05296357721
Blair,Provincial,0.3017367187,0.164011766,0.1264877037,0.2724470139,0,0.1353167976
Capricornia,Provincial,0.2464968072,0.2577051653,0.07829112967,0.325234037,0,0.09227286075
Herbert,Provincial,0.1671043281,0.3724678006,0.1093242658,0.2134176867,0,0.1376859187
Hinkler,Provincial,0.2285999596,0.27399191,0.08546454113,0.2938446951,0.02389963339,0.09419926072
Longman,Provincial,0.2811992289,0.2504235386,0.1088368056,0.2681775103,0,0.09136291672
Groom,Provincial,0.1095725151,0.2999648614,0.07345617668,0.2684377555,0.1938842403,0.054684451
McPherson,Provincial,0.1659087223,0.2586624004,0.1164853435,0.2024644987,0.1436237345,0.1128553005
Moncrieff,Provincial,0.1716206875,0.3102347625,0.1171406201,0.2229848392,0.08565204296,0.09236704775
Dawson,Rural,0.1950537817,0.3045459576,0.08792545041,0.2853593078,0,0.1271155024
Kennedy,Rural,0.1123848326,0.1492211479,0.08592963615,0.1636418406,0,0.4888225427
Leichhardt,Rural,0.2838435416,0.1844877972,0.1133427199,0.2528960915,0,0.1654298498
Flynn,Rural,0.2084456458,0.2567294758,0.07060217573,0.3099304644,0.04931102929,0.104981209
Fairfax,Rural,0.1743544078,0.2739075381,0.1237622303,0.23386848,0.1270549742,0.06705236963
Fisher,Rural,0.1585095733,0.266323526,0.1198345917,0.2272609603,0.1541144753,0.07395687336
Maranoa,Rural,0.09668037542,0.4216863758,0.06784274343,0.2963083236,0,0.1174821817
Wide Bay,Rural,0.1832342119,0.28276073,0.1041668639,0.2874956823,0.04486242,0.09748009191
Wright,Rural,0.1820550061,0.2484409202,0.1169752473,0.3290021311,0,0.1235266952
Cowan,InnerMetro,0.4062760825,0.1467685067,0.1246125295,0.199600079,0.03303363064,0.08970917168
Curtin,InnerMetro,0.08859972766,0.3050905418,0.1067331347,0.1516072025,0.3318254729,0.0161439204
Perth,InnerMetro,0.3636985149,0.1523054289,0.2594133805,0.2122858551,0,0.01229682067
Fremantle,InnerMetro,0.3238436306,0.08488911989,0.1429092009,0.2024635829,0.2172029226,0.02869154306
Swan,InnerMetro,0.3645994241,0.1706531055,0.1895231622,0.1995593674,0,0.07566494087
Tangney,InnerMetro,0.3619819124,0.24883759,0.1496326067,0.1826943899,0,0.05685350101
Bullwinkel,OuterMetro,0.2695908945,0.2502401777,0.1299155239,0.242901646,0,0.1073517578
Hasluck,OuterMetro,0.4123882585,0.1290610676,0.1403738562,0.2277535391,0,0.09042327869
Pearce,OuterMetro,0.3445808325,0.1756843841,0.1344692636,0.2500350967,0,0.09523042309
Moore,OuterMetro,0.2569620172,0.2223034511,0.1334297269,0.1890305391,0.1563789755,0.04189529022
Brand,OuterMetro,0.4078224485,0.08884372589,0.1445600929,0.2788255249,0,0.07994820784
Burt,OuterMetro,0.4112690329,0.09189789764,0.1269117126,0.2552275731,0.01896152174,0.09573226195
Canning,OuterMetro,0.2500738891,0.3086535024,0.1050644868,0.2662132508,0,0.06999487084
Durack,Rural,0.1851298054,0.2202522225,0.1020902704,0.2656878476,0,0.226839854
O'Connor,Rural,0.1626673423,0.2544335189,0.1190493515,0.2725711383,0,0.191278649
Forrest,Rural,0.1693273508,0.2182498588,0.1056062411,0.2376773523,0.1722110104,0.0969281865
Adelaide,InnerMetro,0.3955481541,0.1512462945,0.2145201078,0.1880367928,0,0.05064865081
Hindmarsh,InnerMetro,0.4150080179,0.1455609951,0.157679537,0.2076314438,0,0.07412000626
Sturt,InnerMetro,0.2835486724,0.2551484735,0.1778115796,0.174613217,0.06981734461,0.03906071286
Boothby,OuterMetro,0.326462937,0.2168328164,0.1767681726,0.1554786976,0.08808949074,0.03636788568
