3CP SD,2CP SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3CP,,,,,,2CP,,,,,,ALP,,,LNP,,,GRN,,,ON,,,IND,,,OTH,,
Division,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob
Cunningham (NSW),0.3991167455,,0.2422704431,0.3586128114,,,0.6159487921,,,0.3840512079,,,0.1568463024,1,0.9999999966,-0.2422704431,0,0,0,0.5,0,0.1163423683,,,-0.2422704431,,,-0.2422704431,,
Whitlam (NSW),0.4508141551,0.2394912556,,0.3096945893,,,0.5188296717,,,0.4811703283,,,0.2113228995,1,0.8267714507,-0.07020333376,0.0002239129327,0,-0.2394912556,0,0,0.07020333376,,,-0.2394912556,,,-0.2394912556,,
Calare (NSW),,0.2834400243,,0.2841347028,0.432425273,,,,,0.506837579,0.493162421,,-0.2834400243,0,0,-0.0006946784742,0.486145955,0,-0.2834400243,0,0,0.0006946784742,,,0.1489852487,,,-0.2834400243,,
Eden-Monaro (NSW),0.4693517267,0.245814987,,0.2848332863,,,0.539163183,,,0.460836817,,,0.2235367398,1,0.9748943297,-0.03901829933,0.02553358099,0,-0.245814987,0,0,0.03901829933,,,-0.245814987,,,-0.245814987,,
Gilmore (NSW),0.4620341113,0.2920933876,,0.2458725011,,,0.5282701596,0.4717298404,,,,,0.2161616102,1,0.9212467913,0.04622088648,0.9895847966,0.07875320871,-0.2458725011,0,0,0,,,-0.2458725011,,,-0.2458725011,,
Hunter (NSW),0.4520089015,,,0.4006690277,,0.1473220708,0.5089829267,,,0.4910170733,,,0.3046868308,1,0.6733369508,-0.1473220708,0,0,-0.1473220708,0,0,0.2533469569,,,-0.1473220708,,,0,,
Lyne (NSW),,0.3768429007,,0.2947787253,0.328378374,,,0.5538357561,,,0.4461642439,,-0.2947787253,0,0,0.08206417534,0.999979627,0.9964464926,-0.2947787253,0,0,0,,,0.03359964863,,,-0.2947787253,,
New England (NSW),0.2346348024,0.4423003999,,0.3230647977,,,,0.5805235373,,0.4194764627,,,-0.08842999531,4.90090854e-06,0,0.2076655975,1,0.9999716545,-0.2346348024,0,0,0.08842999531,,,-0.2346348024,,,-0.2346348024,,
Page (NSW),0.3109044122,0.4131033337,,0.2759922541,,,0.3842975926,0.6157024074,,,,,0.03491215814,0.9595604463,3.623020883e-09,0.1371110796,1,0.9999999964,-0.2759922541,0,0,0,,,-0.2759922541,,,-0.2759922541,,
Parkes (NSW),,0.3814294948,,0.3471428567,,0.2714276485,,0.4814992093,,0.5185007907,,,-0.2714276485,0,0,0.1100018462,0.999999981,0.1774726713,-0.2714276485,0,0,0.07571520817,,,-0.2714276485,,,0,,
