Division,State,ALP_primary,LNP_primary,GRN_primary,ON_primary,IND_primary,OTH_primary,ALP_3CP,LNP_3CP,GRN_3CP,ON_3CP,IND_3CP,OTH_3CP,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP,ALP_2PP,LNP_2PP,GRN_2PP,ON_2PP,IND_2PP,OTH_2PP
Macnamara,VIC,36.11%,32.50%,25.47%,2.79%,1.83%,1.29%,,,,,,,61.80%,38.20%,,,,,61.80%,38.20%,,,,
Cooper,VIC,41.97%,15.13%,25.21%,5.28%,0.00%,12.41%,,,,,,,59.72%,,40.28%,,,,78.53%,21.47%,,,,
Melbourne,VIC,31.34%,19.77%,39.46%,2.50%,4.95%,1.98%,,,,,,,53.02%,,46.98%,,,,73.97%,26.03%,,,,
Wills,VIC,35.59%,12.86%,35.37%,3.50%,0.00%,12.68%,,,,,,,51.43%,,48.57%,,,,80.86%,19.14%,,,,
Fraser,VIC,42.60%,16.87%,25.28%,4.78%,0.00%,10.47%,,,,,,,59.23%,,40.77%,,,,72.02%,27.98%,,,,
Gellibrand,VIC,46.62%,26.18%,17.05%,5.98%,0.00%,4.18%,,,,,,,65.10%,34.90%,,,,,65.10%,34.90%,,,,
Maribyrnong,VIC,41.43%,30.46%,21.22%,6.89%,0.00%,0.00%,,,,,,,62.65%,37.35%,,,,,62.65%,37.35%,,,,
Aston,VIC,37.26%,37.67%,11.53%,3.40%,4.14%,6.00%,,,,,,,53.43%,46.57%,,,,,53.43%,46.57%,,,,
Deakin,VIC,34.78%,38.73%,11.91%,2.63%,7.15%,4.80%,,,,,,,52.82%,47.18%,,,,,52.82%,47.18%,,,,
Menzies,VIC,34.74%,40.64%,10.96%,1.97%,6.37%,5.33%,,,,,,,51.08%,48.92%,,,,,51.08%,48.92%,,,,
Calwell,VIC,30.53%,15.70%,8.28%,3.76%,30.08%,11.66%,,,,,,,54.24%,,,,45.76%,,64.71%,35.29%,,,,
Jagajaga,VIC,42.56%,29.45%,15.60%,3.87%,6.02%,2.50%,,,,,,,62.88%,37.12%,,,,,62.88%,37.12%,,,,
Scullin,VIC,44.90%,20.52%,9.42%,6.63%,0.00%,18.54%,,,,,,,64.29%,35.71%,,,,,64.29%,35.71%,,,,
Bruce,VIC,45.31%,22.98%,12.07%,8.16%,0.00%,11.49%,,,,,,,64.62%,35.38%,,,,,64.62%,35.38%,,,,
Dunkley,VIC,38.28%,32.32%,11.59%,6.86%,2.96%,7.99%,,,,,,,57.08%,42.92%,,,,,57.08%,42.92%,,,,
Holt,VIC,45.03%,25.03%,11.21%,8.72%,0.00%,10.01%,,,,,,,64.03%,35.97%,,,,,64.03%,35.97%,,,,
Isaacs,VIC,49.41%,28.34%,14.05%,4.61%,0.00%,3.58%,,,,,,,64.34%,35.66%,,,,,64.34%,35.66%,,,,
Gorton,VIC,43.05%,29.17%,10.79%,6.29%,0.00%,10.69%,,,,,,,60.28%,39.72%,,,,,60.28%,39.72%,,,,
Lalor,VIC,43.60%,26.06%,15.29%,7.04%,2.12%,5.91%,,,,,,,63.21%,36.79%,,,,,63.21%,36.79%,,,,
La Trobe,VIC,32.13%,39.13%,12.92%,7.68%,0.00%,8.15%,,,,,,,47.94%,52.06%,,,,,47.94%,52.06%,,,,
Ballarat,VIC,42.35%,28.59%,14.33%,7.68%,2.81%,4.24%,,,,,,,60.66%,39.34%,,,,,60.66%,39.34%,,,,
Bendigo,VIC,33.55%,40.22%,11.33%,4.94%,1.05%,8.91%,,,,,,,51.40%,48.60%,,,,,51.40%,48.60%,,,,
Corangamite,VIC,37.31%,34.12%,14.35%,3.21%,4.39%,6.62%,,,,,,,58.05%,41.95%,,,,,58.05%,41.95%,,,,
Corio,VIC,42.84%,24.88%,15.87%,9.94%,3.57%,2.91%,,,,,,,63.23%,36.77%,,,,,63.23%,36.77%,,,,
Hawke,VIC,39.13%,30.23%,9.80%,9.67%,0.00%,11.18%,,,,,,,57.63%,42.37%,,,,,57.63%,42.37%,,,,
Casey,VIC,24.26%,40.88%,10.95%,5.07%,10.48%,8.37%,,,,,,,47.03%,52.97%,,,,,47.03%,52.97%,,,,
Flinders,VIC,22.29%,41.22%,6.36%,5.30%,22.09%,2.74%,,,,,,,,52.29%,,,47.71%,,45.22%,54.47%,,,,
Gippsland,VIC,21.28%,52.54%,8.49%,14.43%,0.00%,3.26%,,,,,,,30.64%,69.36%,,,,,30.64%,69.36%,,,,
Monash,VIC,20.29%,31.78%,4.94%,7.97%,27.29%,7.74%,,,,,,,45.96%,54.04%,,,,,45.96%,54.04%,,,,
Indi,VIC,8.34%,30.71%,3.63%,7.20%,43.72%,6.40%,,,,,,,,41.46%,,,58.54%,,43.33%,56.65%,,,,
McEwen,VIC,37.35%,32.52%,11.10%,6.57%,0.00%,12.46%,,,,,,,54.65%,45.35%,,,,,54.65%,45.35%,,,,
Nicholls,VIC,24.24%,46.24%,7.81%,11.47%,0.00%,10.24%,,,,,,,35.82%,64.18%,,,,,35.82%,64.18%,,,,
Mallee,VIC,19.13%,49.71%,9.14%,11.01%,0.00%,11.02%,,,,,,,30.72%,69.28%,,,,,30.72%,69.28%,,,,
Wannon,VIC,10.55%,43.64%,3.16%,4.18%,32.11%,6.36%,,,,,,,,53.39%,,,46.61%,,39.08%,60.91%,,,,
Brisbane,QLD,32.15%,34.27%,25.88%,2.53%,0.00%,5.17%,,,,,,,58.96%,41.04%,,,,,58.96%,41.04%,,,,
Lilley,QLD,46.08%,27.70%,16.40%,4.25%,0.00%,5.57%,,,,,,,64.52%,35.48%,,,,,64.52%,35.48%,,,,
Griffith,QLD,34.51%,26.58%,31.65%,2.46%,0.00%,4.80%,,,,,,,,60.58%,39.42%,,,,65.94%,34.06%,,,,
Moreton,QLD,42.31%,25.72%,21.67%,2.86%,0.00%,7.44%,,,,,,,66.09%,33.91%,,,,,66.09%,33.91%,,,,
Bonner,QLD,39.51%,35.47%,12.43%,3.82%,0.00%,8.78%,,,,,,,55.00%,45.00%,,,,,55.00%,45.00%,,,,
Bowman,QLD,31.71%,39.61%,11.75%,7.08%,3.13%,6.71%,,,,,,,47.57%,52.43%,,,,,47.57%,52.43%,,,,
Dickson,QLD,33.63%,34.69%,7.64%,4.19%,12.19%,7.66%,,,,,,,56.06%,43.94%,,,,,56.06%,43.94%,,,,
Petrie,QLD,36.42%,37.84%,11.82%,6.72%,0.00%,7.20%,,,,,,,51.12%,48.88%,,,,,51.12%,48.88%,,,,
Fadden,QLD,27.40%,40.96%,9.30%,7.99%,2.80%,11.55%,,,,,,,43.16%,56.84%,,,,,43.16%,56.84%,,,,
Forde,QLD,34.24%,30.71%,11.42%,10.28%,2.96%,10.39%,,,,,,,51.80%,48.20%,,,,,51.80%,48.20%,,,,
Oxley,QLD,52.75%,21.12%,13.43%,5.51%,0.00%,7.19%,,,,,,,69.32%,30.68%,,,,,69.32%,30.68%,,,,
Rankin,QLD,49.42%,19.75%,10.94%,6.57%,0.00%,13.32%,,,,,,,65.55%,34.45%,,,,,65.55%,34.45%,,,,
Ryan,QLD,28.24%,34.61%,28.98%,2.25%,0.00%,5.92%,,,,,,,,46.73%,53.27%,,,,57.82%,42.18%,,,,
Blair,QLD,36.62%,27.19%,10.35%,9.70%,0.00%,16.15%,,,,,,,55.55%,44.45%,,,,,55.55%,44.45%,,,,
Capricornia,QLD,31.91%,36.56%,6.18%,15.56%,0.00%,9.78%,,,,,,,44.03%,55.97%,,,,,44.03%,55.97%,,,,
Herbert,QLD,23.02%,48.74%,9.38%,5.18%,0.00%,13.67%,,,,,,,36.63%,63.37%,,,,,36.63%,63.37%,,,,
Hinkler,QLD,31.18%,38.01%,7.31%,13.26%,2.93%,7.31%,,,,,,,43.70%,56.30%,,,,,43.70%,56.30%,,,,
Longman,QLD,35.46%,36.05%,9.85%,9.89%,0.00%,8.74%,,,,,,,49.89%,50.11%,,,,,49.89%,50.11%,,,,
Groom,QLD,16.64%,40.98%,5.58%,9.55%,20.73%,6.52%,,,,,,,,55.83%,,,44.17%,,36.65%,63.35%,,,,
McPherson,QLD,23.43%,35.92%,8.41%,4.35%,15.00%,12.89%,,,,,,,45.61%,54.39%,,,,,45.61%,54.39%,,,,
Moncrieff,QLD,24.46%,41.91%,9.53%,5.87%,9.00%,9.23%,,,,,,,41.25%,58.75%,,,,,41.25%,58.75%,,,,
Dawson,QLD,26.21%,41.68%,7.05%,10.42%,0.00%,14.64%,,,,,,,38.16%,61.84%,,,,,38.16%,61.84%,,,,
Kennedy,QLD,16.38%,23.81%,5.93%,7.76%,1.67%,44.44%,,,,,,,,35.28%,,,,64.72%,40.67%,59.32%,,,,
Leichhardt,QLD,36.50%,27.25%,9.29%,8.01%,1.76%,17.19%,,,,,,,56.13%,43.87%,,,,,56.13%,43.87%,,,,
Flynn,QLD,25.06%,37.42%,5.69%,14.22%,4.99%,12.62%,,,,,,,39.74%,60.26%,,,,,39.74%,60.26%,,,,
Fairfax,QLD,24.86%,37.89%,10.22%,7.41%,13.42%,6.19%,,,,,,,46.72%,53.28%,,,,,46.72%,53.28%,,,,
Fisher,QLD,22.27%,37.22%,9.62%,6.08%,16.29%,8.53%,,,,,,,43.97%,56.03%,,,,,43.97%,56.03%,,,,
Maranoa,QLD,16.05%,53.18%,5.15%,12.30%,0.00%,13.32%,,,,,,,,70.10%,,29.90%,,,26.04%,73.96%,,,,
Wide Bay,QLD,25.96%,39.08%,8.64%,12.04%,4.84%,9.44%,,,,,,,42.59%,57.41%,,,,,42.59%,57.41%,,,,
Wright,QLD,25.42%,34.06%,9.52%,16.25%,0.00%,14.75%,,,,,,,42.03%,57.97%,,,,,42.03%,57.97%,,,,
Cowan,WA,46.63%,24.17%,10.78%,5.06%,3.55%,9.81%,,,,,,,63.63%,36.37%,,,,,63.63%,36.37%,,,,
Curtin,WA,14.83%,40.28%,7.82%,2.59%,32.23%,2.25%,,,,,,,,46.73%,,,53.27%,,47.84%,52.16%,,,,
Perth,WA,43.05%,26.09%,24.53%,6.33%,0.00%,0.00%,,,,,,,66.51%,33.49%,,,,,66.51%,33.49%,,,,
Stirling,WA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,
Fremantle,WA,38.60%,18.85%,11.56%,6.11%,23.01%,1.86%,,,,,,,50.69%,,,,49.31%,,68.68%,31.32%,,,,
Swan,WA,42.63%,26.93%,17.49%,5.22%,0.00%,7.73%,,,,,,,63.99%,36.01%,,,,,63.99%,36.01%,,,,
Tangney,WA,42.50%,34.26%,12.98%,4.07%,0.00%,6.18%,,,,,,,56.99%,43.01%,,,,,56.99%,43.01%,,,,
Bullwinkel,WA,31.95%,40.07%,11.21%,8.61%,0.00%,8.17%,,,,,,,50.51%,49.49%,,,,,50.51%,49.49%,,,,
Hasluck,WA,48.35%,22.16%,12.47%,7.38%,0.00%,9.64%,,,,,,,65.97%,34.03%,,,,,65.97%,34.03%,,,,
Pearce,WA,40.07%,28.52%,11.87%,9.27%,0.00%,10.28%,,,,,,,56.44%,43.56%,,,,,56.44%,43.56%,,,,
Moore,WA,32.51%,31.45%,11.12%,4.53%,6.33%,14.07%,,,,,,,52.89%,47.11%,,,,,52.89%,47.11%,,,,
Brand,WA,45.86%,19.69%,13.23%,12.75%,0.00%,8.46%,,,,,,,66.92%,33.08%,,,,,66.92%,33.08%,,,,
Burt,WA,46.73%,19.13%,11.49%,9.92%,2.18%,10.55%,,,,,,,65.71%,34.29%,,,,,65.71%,34.29%,,,,
Canning,WA,29.90%,42.52%,8.91%,11.41%,0.00%,7.25%,,,,,,,43.45%,56.55%,,,,,43.45%,56.55%,,,,
Durack,WA,23.40%,46.49%,8.18%,10.08%,0.00%,11.85%,,,,,,,39.85%,60.15%,,,,,39.85%,60.15%,,,,
O'Connor,WA,21.06%,47.25%,10.00%,11.04%,0.00%,10.66%,,,,,,,36.74%,63.26%,,,,,36.74%,63.26%,,,,
Forrest,WA,22.55%,35.98%,7.88%,8.72%,18.31%,6.57%,,,,,,,47.76%,52.24%,,,,,47.76%,52.24%,,,,
Adelaide,SA,46.49%,24.17%,18.97%,4.02%,0.00%,6.36%,,,,,,,69.07%,30.93%,,,,,69.07%,30.93%,,,,
