LABOR 2PP,,,,,,,,,COALITION 2PP,,,,,,,,,LABOR PRIMARY,,,,,,,,,COALITION PRIMARY,,,,,,,,NON-MAJOR PRIMARY,,,,,,,,GREENS PRIMARY,,,,,,,,ONE NATION PRIMARY,,,,,,,,INDEPENDENT PRIMARY,,,,,,,,OTHER PRIMARY,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLD,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,QLD,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing
Overall,,0.4590394687,0.4180751946,0.4594883684,0.4942290872,0.03518961852,-0.02027194597,,Overall,,,,,,,,,Overall,,0.3090812098,0.2645691726,0.2741925615,0.3099263765,0.0008451666993,0.002245166699,,Overall,0.4319118908,0.4371286907,0.396401047,0.349229624,-0.08268226682,0.02181102383,,Overall,0.2590068994,0.2983021368,0.3294063915,0.3408439996,0.08183710012,-0.02655473805,,Overall,0.08830651048,0.103612856,0.1294443898,0.1176185132,0.02931200268,0.009581341586,,Overall,,0.122700262,0.07492798409,0.0784791417,,,,Overall,0.01885910236,0.01267878217,0.02094098533,0.03693689059,,,,Overall,0.09663151432,0.1901119891,0.1040930323,0.1078094541,,
Inner metro,,0.5120429282,0.5004436489,0.5871404649,0.6377323926,0.1256894644,0.07022789986,,Inner metro,,,,,,,,,Inner metro,,0.3489821976,0.3140365361,0.3355980633,0.3854054853,0.0364232877,0.0378232877,,Inner metro,0.4201779963,0.4269213854,0.3295637014,0.2869860171,-0.1331919792,-0.02869868857,,Inner metro,0.230839806,0.2590420785,0.3348382353,0.3276084976,0.09676869151,-0.01162314666,,Inner metro,0.1522905658,0.1931402882,0.2522382958,0.2405814525,0.08829088673,0.06856022563,,Inner metro,,0.051100635,0.03276112632,0.03018181124,,,,Inner metro,0.003983000781,0,0,0,,,,Inner metro,0.07456623951,0.01480115529,0.04983881319,0.05684523384,,
Outer metro,,0.4821143417,0.4456548031,0.4897246715,0.5493923571,0.06727801542,0.01181645093,,Outer metro,,,,,,,,,Outer metro,,0.3555420753,0.3091283773,0.3115648346,0.3674561733,0.01191409798,0.01331409798,,Outer metro,0.4338832269,0.446008243,0.3919987908,0.3306134682,-0.1032697587,0.001223531918,,Outer metro,0.2105746978,0.2448633796,0.2964363746,0.3019303585,0.09135566075,-0.01703617742,,Outer metro,0.09472834576,0.1126733441,0.1444817555,0.1303371901,0.03560884435,0.01587818326,,Outer metro,,0.09969587732,0.06281378977,0.06093736149,,,,Outer metro,0.01352105448,0.002703051795,0.01265592905,0.02176243885,,,,Outer metro,0.08025813941,0.02979110647,0.0764849003,0.08889336806,,
Provincial,,0.4476388836,0.3943216274,0.4255955517,0.4450132841,-0.002625599463,-0.05808716395,,Provincial,,,,,,,,,Provincial,,0.3056623918,0.2516727626,0.2529265026,0.2825993053,-0.02306308648,-0.02166308648,,Provincial,0.4424142009,0.4300366291,0.4094425014,0.3794341978,-0.06298000308,0.04151328757,,Provincial,0.2519234073,0.3182906083,0.337630996,0.3379664968,0.08604308956,-0.02234874862,,Provincial,0.06494081769,0.07500070158,0.09118018573,0.08394960917,0.01900879148,-0.0007218696136,,Provincial,,0.1610181836,0.08810420012,0.09272480902,,,,Provincial,0.02276428305,0.01933816465,0.04443104422,0.05706424298,,,,Provincial,0.09251663593,0.06293355855,0.1139155659,0.1042278357,,
Rural,,0.4214318706,0.3732685081,0.400178999,0.418612346,-0.002819524585,-0.05828108907,,Rural,,,,,,,,,Rural,,0.2468936226,0.2081363941,0.2270459469,0.2426126448,-0.004280977751,-0.002880977751,,Rural,0.4260506459,0.4391634462,0.4201276935,0.3686681147,-0.05738253118,0.04711075947,,Rural,0.3270557315,0.3527001597,0.3528263596,0.3887192405,0.06166350893,-0.04672832925,,Rural,0.07299422151,0.07854297638,0.09167597765,0.08009990341,0.007105681895,-0.0126249792,,Rural,,0.1449698135,0.09488997834,0.1049839632,,,,Rural,0.02764362132,0.02270188124,0.01792840041,0.0506593518,,,,Rural,0.1269397601,0.1064854885,0.1483320032,0.1529760221,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing,,WA,2016.0,2019.0,2022.0,2025.0,Swing,Diff from nat swing
Overall,,0.4534283966,0.4444714718,0.549953707,0.5584474326,0.105019036,0.04955747152,,Overall,,,,,,,,,Overall,,0.3245206551,0.2987515283,0.3683533529,0.3559027365,0.03138208139,0.03278208139,,Overall,0.478054481,0.437150557,0.3416004627,0.2866430356,-0.1914114454,-0.08691815478,,Overall,0.1974248638,0.2640979146,0.2900461844,0.3574542279,0.160029364,0.05163752586,,Overall,0.1206295574,0.1161844788,0.1249599518,0.1197332186,-0.000896338872,-0.02062699996,,Overall,,0.05312745653,0.03952963025,0.07609251893,,,,Overall,0.01298701299,0.01096746213,0.02441448144,0.06169055004,,,,Overall,0.06380829343,0.08381851721,0.101142121,0.09993794035,,
