State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,CategoryPrimaryVotes,LastSurvivorCandidateID,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryVotes,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,CategorySubtypeMix,CategoryIdeologyMix,Method,VoteBasis,EvidenceVotes,RecipientModelCategory,AllocatedVotes,Share,IsApproximation
ACT,102,Fenner,GRN,3,2,ALP>LNP,1,0,15492,41398,Dani Hunterford,GRN,,15492,1.0,1.0,GRN:15492,UNSPECIFIED:15492,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,15492,LNP,1663.4965333333334,0.10737777777777778,True
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,1,0,7426,41713,Elizabeth Kikkert,OTH_FFPA,RIGHT,7426,1.0,1.0,OTH_FFPA:7426,RIGHT:7426,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,7426,ALP,2206.0,0.2970643684352276,False
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,1,0,7426,41713,Elizabeth Kikkert,OTH_FFPA,RIGHT,7426,1.0,1.0,OTH_FFPA:7426,RIGHT:7426,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,7426,GRN,1383.0,0.18623754376514948,False
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,1,0,7426,41713,Elizabeth Kikkert,OTH_FFPA,RIGHT,7426,1.0,1.0,OTH_FFPA:7426,RIGHT:7426,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,7426,LNP,3837.0,0.5166980877996229,False
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,1,0,7426,41713,Elizabeth Kikkert,OTH_FFPA,RIGHT,7426,1.0,1.0,OTH_FFPA:7426,RIGHT:7426,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,7426,ALP,2206.0,0.2970643684352276,True
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,1,0,7426,41713,Elizabeth Kikkert,OTH_FFPA,RIGHT,7426,1.0,1.0,OTH_FFPA:7426,RIGHT:7426,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,7426,GRN,1383.0,0.18623754376514948,True
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,1,0,7426,41713,Elizabeth Kikkert,OTH_FFPA,RIGHT,7426,1.0,1.0,OTH_FFPA:7426,RIGHT:7426,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,7426,LNP,3836.9999999999995,0.5166980877996229,True
NSW,103,Banks,GRN,3,6,ALP>LNP,1,0,11756,41486,Natalie Hanna,GRN,,11756,1.0,1.0,GRN:11756,UNSPECIFIED:11756,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,15625,ALP,13380.0,0.85632,False
NSW,103,Banks,GRN,3,6,ALP>LNP,1,0,11756,41486,Natalie Hanna,GRN,,11756,1.0,1.0,GRN:11756,UNSPECIFIED:11756,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,15625,LNP,2245.0,0.14368,False
NSW,103,Banks,GRN,3,6,ALP>LNP,1,0,11756,41486,Natalie Hanna,GRN,,11756,1.0,1.0,GRN:11756,UNSPECIFIED:11756,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,11756,ALP,10066.89792,0.85632,True
