State,DivisionID,Electorate,CountNumber,EliminatedCandidateID,EliminatedCandidate,EliminatedModelCategory,EliminatedCandidateSubtype,EliminatedIdeologyFamily,EliminatedTally,InternalCategoryExclusion,CategoryExitThisCount,RecipientCandidateID,RecipientCandidate,RecipientModelCategory,RecipientCandidateSubtype,RecipientIdeologyFamily,TransferVotes,TransferShare,SameCategoryTransfer,AliveModelCategoriesAfter
VIC,205,Chisholm,1,41379,Christine Mcshane,OTH,OTH_CYA,RIGHT,1729,True,False,40754,Katie Allen,LNP,LIB,,434,0.25101214574898784,False,ALP>LNP>GRN>ON>IND>OTH
VIC,205,Chisholm,1,41379,Christine Mcshane,OTH,OTH_CYA,RIGHT,1729,True,False,40845,Carina Garland,ALP,ALP,,146,0.08444187391555813,False,ALP>LNP>GRN>ON>IND>OTH
VIC,205,Chisholm,1,41379,Christine Mcshane,OTH,OTH_CYA,RIGHT,1729,True,False,41086,Tim Randall,GRN,GRN,,88,0.05089647194910353,False,ALP>LNP>GRN>ON>IND>OTH
VIC,205,Chisholm,1,41379,Christine Mcshane,OTH,OTH_CYA,RIGHT,1729,True,False,41144,Kath Davies,IND,IND_PROMINENT,LEFT,186,0.10757663389242336,False,ALP>LNP>GRN>ON>IND>OTH
VIC,205,Chisholm,1,41379,Christine Mcshane,OTH,OTH_CYA,RIGHT,1729,True,False,41519,Guy Livori,ON,ON,,582,0.3366107576633892,False,ALP>LNP>GRN>ON>IND>OTH
VIC,205,Chisholm,1,41379,Christine Mcshane,OTH,OTH_CYA,RIGHT,1729,True,False,41551,Gary Ong,OTH,OTH_FFPA,RIGHT,293,0.16946211683053788,True,ALP>LNP>GRN>ON>IND>OTH
VIC,205,Chisholm,2,41551,Gary Ong,OTH,OTH_FFPA,RIGHT,2712,False,True,40754,Katie Allen,LNP,LIB,,689,0.25405604719764013,False,ALP>LNP>GRN>ON>IND
VIC,205,Chisholm,2,41551,Gary Ong,OTH,OTH_FFPA,RIGHT,2712,False,True,40845,Carina Garland,ALP,ALP,,309,0.11393805309734513,False,ALP>LNP>GRN>ON>IND
VIC,205,Chisholm,2,41551,Gary Ong,OTH,OTH_FFPA,RIGHT,2712,False,True,41086,Tim Randall,GRN,GRN,,340,0.12536873156342182,False,ALP>LNP>GRN>ON>IND
VIC,205,Chisholm,2,41551,Gary Ong,OTH,OTH_FFPA,RIGHT,2712,False,True,41144,Kath Davies,IND,IND_PROMINENT,LEFT,369,0.13606194690265486,False,ALP>LNP>GRN>ON>IND
VIC,205,Chisholm,2,41551,Gary Ong,OTH,OTH_FFPA,RIGHT,2712,False,True,41519,Guy Livori,ON,ON,,1005,0.37057522123893805,False,ALP>LNP>GRN>ON>IND
VIC,205,Chisholm,3,41519,Guy Livori,ON,ON,,3743,False,True,40754,Katie Allen,LNP,LIB,,2241,0.5987176061982367,False,ALP>LNP>GRN>IND
VIC,205,Chisholm,3,41519,Guy Livori,ON,ON,,3743,False,True,40845,Carina Garland,ALP,ALP,,268,0.07160032059845044,False,ALP>LNP>GRN>IND
VIC,205,Chisholm,3,41519,Guy Livori,ON,ON,,3743,False,True,41086,Tim Randall,GRN,GRN,,264,0.07053165909698103,False,ALP>LNP>GRN>IND
VIC,205,Chisholm,3,41519,Guy Livori,ON,ON,,3743,False,True,41144,Kath Davies,IND,IND_PROMINENT,LEFT,970,0.25915041410633183,False,ALP>LNP>GRN>IND
VIC,205,Chisholm,4,41144,Kath Davies,IND,IND_PROMINENT,LEFT,8210,False,True,40754,Katie Allen,LNP,LIB,,1899,0.23130328867235078,False,ALP>LNP>GRN
VIC,205,Chisholm,4,41144,Kath Davies,IND,IND_PROMINENT,LEFT,8210,False,True,40845,Carina Garland,ALP,ALP,,2978,0.36272838002436053,False,ALP>LNP>GRN
VIC,205,Chisholm,4,41144,Kath Davies,IND,IND_PROMINENT,LEFT,8210,False,True,41086,Tim Randall,GRN,GRN,,3333,0.4059683313032887,False,ALP>LNP>GRN
VIC,205,Chisholm,5,41086,Tim Randall,GRN,GRN,,18111,False,True,40754,Katie Allen,LNP,LIB,,2694,0.14874937883054498,False,ALP>LNP
VIC,205,Chisholm,5,41086,Tim Randall,GRN,GRN,,18111,False,True,40845,Carina Garland,ALP,ALP,,15417,0.851250621169455,False,ALP>LNP
VIC,320,Cooper,1,41206,Donna Stolzenberg,OTH,OTH_HMP,CENTRE_LEFT,4336,True,False,40767,Stewart Todhunter,LNP,LIB,,450,0.10378228782287822,False,ALP>LNP>GRN>ON>OTH
VIC,320,Cooper,1,41206,Donna Stolzenberg,OTH,OTH_HMP,CENTRE_LEFT,4336,True,False,40856,Ged Kearney,ALP,ALP,,1135,0.2617619926199262,False,ALP>LNP>GRN>ON>OTH
VIC,320,Cooper,1,41206,Donna Stolzenberg,OTH,OTH_HMP,CENTRE_LEFT,4336,True,False,41002,Kath Larkin,OTH,OTH_VNS,LEFT,1032,0.23800738007380073,True,ALP>LNP>GRN>ON>OTH
VIC,320,Cooper,1,41206,Donna Stolzenberg,OTH,OTH_HMP,CENTRE_LEFT,4336,True,False,41089,Tara Burnett,GRN,GRN,,1222,0.28182656826568264,False,ALP>LNP>GRN>ON>OTH
VIC,320,Cooper,1,41206,Donna Stolzenberg,OTH,OTH_HMP,CENTRE_LEFT,4336,True,False,41564,William Turner,ON,ON,,497,0.11462177121771218,False,ALP>LNP>GRN>ON>OTH
VIC,320,Cooper,2,41564,William Turner,ON,ON,,6181,False,True,40767,Stewart Todhunter,LNP,LIB,,3308,0.5351884808283449,False,ALP>LNP>GRN>OTH
VIC,320,Cooper,2,41564,William Turner,ON,ON,,6181,False,True,40856,Ged Kearney,ALP,ALP,,1369,0.2214851965701343,False,ALP>LNP>GRN>OTH
VIC,320,Cooper,2,41564,William Turner,ON,ON,,6181,False,True,41002,Kath Larkin,OTH,OTH_VNS,LEFT,1060,0.17149328587607182,False,ALP>LNP>GRN>OTH
VIC,320,Cooper,2,41564,William Turner,ON,ON,,6181,False,True,41089,Tara Burnett,GRN,GRN,,444,0.07183303672544895,False,ALP>LNP>GRN>OTH
VIC,320,Cooper,3,41002,Kath Larkin,OTH,OTH_VNS,LEFT,11104,False,True,40767,Stewart Todhunter,LNP,LIB,,968,0.08717579250720461,False,ALP>LNP>GRN
