State,DivisionID,Electorate,ModelCategory,CandidateCount,PrimaryVotes,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,LastSurvivingCandidate,LastSurvivingSubtype,LastSurvivingIdeologyFamily,InternalCandidateExclusions,PrimaryShare
NSW,120,Gilmore,IND,1,8371,3,6,42070,Kate Dezarnaulds,IND_PROMINENT,LEFT,0,0.07537842291518464
NSW,120,Gilmore,GRN,1,7932,4,5,41616,Debbie Killian,GRN,,0,0.07142535546090606
NSW,120,Gilmore,ON,1,5557,5,4,41969,John Hawke,ON,,0,0.05003917048616426
NSW,120,Gilmore,OTH,3,8604,6,3,41939,Adrian Richard Carle,OTH_HMP,CENTRE_LEFT,2,0.0774765202200751
NSW,121,Grayndler,ALP,1,59364,1,,41373,Anthony Albanese,ALP,,0,0.5353992676635582
NSW,121,Grayndler,GRN,1,27847,2,,41565,Hannah Thomas,GRN,,0,0.2511499125164595
NSW,121,Grayndler,LNP,1,15867,3,4,41472,David Smallbone,LIB,,0,0.14310323057775212
NSW,121,Grayndler,ON,1,3505,4,3,41960,Rodney Smith,ON,,0,0.03161132055051498
NSW,121,Grayndler,OTH,2,4295,5,2,40978,David Bradbury,IND_MINOR,CENTRE_LEFT,1,0.03873626869171522
NSW,122,Greenway,ALP,1,51802,1,,41399,Michelle Rowland,ALP,,0,0.5041311858303732
NSW,122,Greenway,LNP,1,28230,2,,41474,Rattan Virk,LIB,,0,0.27473115663471365
NSW,122,Greenway,GRN,1,11018,3,5,41572,Palaniappan Subramanian,GRN,,0,0.1072259257457058
NSW,122,Greenway,ON,1,4700,4,4,41934,Edwin Swann,ON,,0,0.04573986667315459
NSW,122,Greenway,OTH,3,7005,5,3,41729,Robert Stuckey,IND_MINOR,CENTRE,2,0.06817186511605275
NSW,124,Hughes,ALP,1,38331,1,,41400,David Moncrieff,ALP,,0,0.3899587974973295
NSW,124,Hughes,LNP,1,35831,2,,41467,Jenny Ware,LIB,,0,0.36452515387354395
NSW,124,Hughes,GRN,1,11221,3,6,41579,Catherine Elizabeth Dyson,GRN,,0,0.11415636604099903
NSW,124,Hughes,ON,1,5253,4,5,41962,Deborah Swinbourn,ON,,0,0.05344117198229818
NSW,124,Hughes,OTH,4,7659,5,4,41826,Nathaniel David Marsh,OTH_FFPA,RIGHT,3,0.0779185106058294
NSW,125,Hume,LNP,1,43615,1,,41471,Angus Taylor,LIB,,0,0.4384871364372103
NSW,125,Hume,ALP,1,27073,2,,41405,Thomas Huang,ALP,,0,0.27218072325494885
NSW,125,Hume,ON,1,7967,3,6,41966,Helen Ducker,ON,,0,0.08009691656529301
NSW,125,Hume,GRN,1,8455,4,5,41584,Steve Bruce,GRN,,0,0.08500306634361145
NSW,125,Hume,OTH,4,12357,5,4,41183,Peter Mclean,IND_MINOR,CENTRE_LEFT,3,0.12423215739893632
NSW,126,Hunter,ALP,1,48582,1,,41407,Dan Repacholi,ALP,,0,0.43504190844616375
NSW,126,Hunter,ON,1,18011,2,,41965,Stuart Bonds,ON,,0,0.1612848341571746
NSW,126,Hunter,LNP,1,20290,3,7,41944,Sue Gilroy,NAT,,0,0.18169281467153808
NSW,126,Hunter,GRN,1,8286,4,6,41634,Louise Stokes,GRN,,0,0.07419944122071781
NSW,126,Hunter,OTH,5,16503,5,5,41948,Andrew David Fenwick,OTH_HMP,CENTRE_LEFT,4,0.14778100150440576
NSW,127,Kingsford Smith,ALP,1,50346,1,,41386,Matt Thistlethwaite,ALP,,0,0.507868296816366
NSW,127,Kingsford Smith,LNP,1,25924,2,,41477,Brad Cole,LIB,,0,0.2615099059839406
NSW,127,Kingsford Smith,GRN,1,13440,3,3,41587,Keiron Brown,GRN,,0,0.13557680668199976
NSW,127,Kingsford Smith,ON,1,5865,4,2,42027,Mark Jelic,ON,,0,0.05916353952306016
NSW,127,Kingsford Smith,OTH,1,3557,5,1,41978,Elsa Parker,IND_MINOR,CENTRE_LEFT,0,0.03588145099463342
NSW,128,Lindsay,LNP,1,39003,1,,41480,Melissa Mcintosh,LIB,,0,0.3973977543659446
NSW,128,Lindsay,ALP,1,31502,2,,41383,Hollie Mclean,ALP,,0,0.3209707986061582
NSW,128,Lindsay,ON,1,6736,3,8,41961,Christopher Buckley,ON,,0,0.06863244554031749
NSW,128,Lindsay,GRN,1,9416,4,7,41594,Aaron David Mcallister,GRN,,0,0.095938703564078
NSW,128,Lindsay,OTH,6,11489,5,6,41952,Antony Victor Emmanuel,OTH_FFPA,RIGHT,5,0.11706029792350173
NSW,130,Lyne,LNP,1,39629,1,,41951,Alison Penfold,NAT,,0,0.3624051211705533
NSW,130,Lyne,ALP,1,21667,2,,41408,Digby Wilson,ALP,,0,0.19814357567443988
NSW,130,Lyne,IND,1,16943,3,8,41973,Jeremy Miller,IND_PROMINENT,CENTRE_LEFT,0,0.15494284407864656
NSW,130,Lyne,ON,1,9174,4,7,41878,Colin Hughes,ON,,0,0.0838957475994513
NSW,130,Lyne,GRN,1,6977,5,6,41601,Tom Ferrier,GRN,,0,0.06380429812528578
NSW,130,Lyne,OTH,5,14960,6,5,41928,Keys Manley,OTH_HMP,CENTRE_LEFT,4,0.13680841335162322
NSW,131,Macarthur,ALP,1,45080,1,,41396,Mike Freelander,ALP,,0,0.4819534724598016
NSW,131,Macarthur,LNP,1,21593,2,,41476,Binod Paudel,LIB,,0,0.2308522921655833
NSW,131,Macarthur,GRN,1,12012,3,5,41482,Frankie Scott,GRN,,0,0.128421142661649
NSW,131,Macarthur,ON,1,7336,4,4,41875,Gregory Grogan,ON,,0,0.07842969551830312
NSW,131,Macarthur,OTH,3,7515,5,3,41800,Graham Ernest Charlesworth,OTH_FFPA,RIGHT,2,0.08034339719466302
NSW,132,Mackellar,IND,1,42482,1,,37450,Sophie Scamps,IND_PROMINENT,CENTRE_LEFT,0,0.3798224360063301
NSW,132,Mackellar,LNP,1,39647,2,,41830,James Brown,LIB,,0,0.3544753100217261
NSW,132,Mackellar,ALP,1,13499,3,7,41402,Jeffrey Quinn,ALP,,0,0.12069165914150581
NSW,132,Mackellar,GRN,1,6858,4,6,41629,Ethan Hrnjak,GRN,,0,0.061315904762756265
NSW,132,Mackellar,ON,1,2825,5,5,42046,Brad Hayman,ON,,0,0.025257718132806424
NSW,132,Mackellar,OTH,4,6536,6,4,41968,Lisa Cotton,IND_MINOR,CENTRE_RIGHT,3,0.05843697193487532
NSW,133,Macquarie,ALP,1,46773,1,,41425,Susan Templeman,ALP,,0,0.42635249077070325
NSW,133,Macquarie,LNP,1,34643,2,,41490,Mike Creed,LIB,,0,0.3157832368624949
NSW,133,Macquarie,GRN,1,13666,3,4,41602,Terry Morgan,GRN,,0,0.12457043890433435
NSW,133,Macquarie,ON,1,9587,4,3,41882,Matthew Jacobson,ON,,0,0.08738890661318992
NSW,133,Macquarie,OTH,2,5036,5,2,41801,Roger Gerard Bowen,OTH_FFPA,RIGHT,1,0.045904926849277605
NSW,315,McMahon,ALP,1,44537,1,,41416,Chris Bowen,ALP,,0,0.4552256349977002
NSW,315,McMahon,LNP,1,26218,2,,41484,Carmen Lazar,LIB,,0,0.2679818061021107
NSW,315,McMahon,IND,1,9613,3,3,42062,Matthew Camenzuli,IND_PROMINENT,CENTRE_RIGHT,0,0.0982572698931875
NSW,315,McMahon,GRN,1,8923,4,2,41608,Ben Hammond,GRN,,0,0.09120457913834518
NSW,315,McMahon,ON,1,8544,5,1,41884,Melissa Janicska,ON,,0,0.08733070986865642
NSW,134,Mitchell,LNP,1,50758,1,,41487,Alex Hawke,LIB,,0,0.4633191240769308
NSW,134,Mitchell,ALP,1,36396,2,,41420,Dilvan Bircan,ALP,,0,0.3322227597601161
NSW,134,Mitchell,GRN,1,15044,3,3,41609,Ben Speechly,GRN,,0,0.1373216616614789
NSW,134,Mitchell,ON,1,4680,4,2,41886,Brendan Mccreanor,ON,,0,0.042719049227314634
NSW,134,Mitchell,OTH,1,2675,5,1,41699,Mark Crocker,OTH_CYA,RIGHT,0,0.02441740527415954
