State,DivisionID,Electorate,CountNumber,CandidateID,BallotPosition,CandidateName,OfficialPartyCode,OfficialPartyName,ModelCategory,CandidateSubtype,IdeologyFamily,PrimaryVotes,PreferenceCountBefore,TransferCount,PreferenceCountAfter,IsExcludedThisCount,InternalCategoryExclusion,CategoryExitThisCount,SameCategoryCandidatesAliveAfter,IsContinuingBefore,IsContinuingAfter,AliveCandidateCountBefore,AliveCandidateCountAfter,AliveCategoryCountBefore,AliveCategoryCountAfter,AliveCandidateIDsBefore,AliveCandidateIDsAfter,AliveModelCategoriesBefore,AliveModelCategoriesAfter,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,AEC_Elected,AEC_HistoricElected
ACT,101,Canberra,2,41706,6,Teresa Mctaggart,AJP,AJP,OTH,OTH_AJP,CENTRE_LEFT,1258,1356,-1356,0,True,False,True,0,True,False,5,4,5,4,40677>41077>41390>41696>41706,40677>41077>41390>41696,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND,5,2,41706,N,N
ACT,101,Canberra,3,41390,1,Isabel Mudford,GRN,Australian Greens,GRN,GRN,,18504,19111,3933,23044,False,False,False,0,True,True,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,2,,41390,N,N
ACT,101,Canberra,3,41742,2,Mary-Jane Liddicoat,IMO,HEART Party,OTH,OTH_IMO,CENTRE_RIGHT,1222,0,0,0,False,False,False,0,False,False,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,5,2,41706,N,N
ACT,101,Canberra,3,41696,3,Claire Miles,IND,Independent,IND,IND_PROMINENT,LEFT,10187,11136,-11136,0,True,False,True,0,True,False,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,4,3,41696,N,N
ACT,101,Canberra,3,41077,4,Will Roche,LP,Liberal,LNP,LIB,,17101,17610,2715,20325,False,False,False,0,True,True,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,3,4,41077,N,N
ACT,101,Canberra,3,40677,5,Alicia Payne,ALP,Australian Labor Party,ALP,ALP,,45133,45548,4488,50036,False,False,False,0,True,True,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,1,,40677,Y,Y
ACT,101,Canberra,3,41706,6,Teresa Mctaggart,AJP,AJP,OTH,OTH_AJP,CENTRE_LEFT,1258,0,0,0,False,False,False,0,False,False,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,5,2,41706,N,N
ACT,101,Canberra,4,41390,1,Isabel Mudford,GRN,Australian Greens,GRN,GRN,,18504,23044,5425,28469,False,False,False,0,True,True,3,2,3,2,40677>41077>41390,40677>41390,ALP>LNP>GRN,ALP>GRN,2,,41390,N,N
ACT,101,Canberra,4,41742,2,Mary-Jane Liddicoat,IMO,HEART Party,OTH,OTH_IMO,CENTRE_RIGHT,1222,0,0,0,False,False,False,0,False,False,3,2,3,2,40677>41077>41390,40677>41390,ALP>LNP>GRN,ALP>GRN,5,2,41706,N,N
ACT,101,Canberra,4,41696,3,Claire Miles,IND,Independent,IND,IND_PROMINENT,LEFT,10187,0,0,0,False,False,False,0,False,False,3,2,3,2,40677>41077>41390,40677>41390,ALP>LNP>GRN,ALP>GRN,4,3,41696,N,N
