,,,,,,,,ELECTION CALCULATOR,,,,,,,,,,
,GRN v ALP CONTESTS,,,,,,,,,,,,,,IND v LNP CONTESTS,,,
,GRN,ALP,,,,,,ALP (78),,,LNP (57),,,,IND,LNP,,
,,,,,,,Oxley (QLD),0.6368,0.3632,-0.0208,ALP RETAIN,,,,,,,
,,,,,,,McMahon (NSW),0.6378,0.3622,-0.0328,ALP RETAIN,,,,,,,
,,,,,,,Macarthur (NSW),0.6398,0.3602,-0.0418,ALP RETAIN,,,,,,,
,,,,,,,La Trobe (VIC),0.4648,0.5352,-0.0488,LNP RETAIN,,,,,,,
,,,,,,,Capricornia (QLD),0.4598,0.5402,-0.0258,LNP RETAIN,,,,,,,
,,,,,,,Makin (SA),0.6458,0.3542,-0.0378,ALP RETAIN,,,,,,,
,,,,,,,Barton (NSW),0.6458,0.3542,-0.0258,ALP RETAIN,,,,,,,
,,,,,,,Hotham (VIC),0.6468,0.3532,-0.0308,ALP RETAIN,,,,,,,
,,,,,,,Hume (NSW),0.4578,0.5422,-0.0268,LNP RETAIN,,,,,,,
,,,,,,,Jagajaga (VIC),0.6498,0.3502,-0.0268,ALP RETAIN,,,,,,,
,,,,,,,Adelaide (SA),0.6508,0.3492,-0.0318,ALP RETAIN,,,,,,,
,,,,,,,Burt (WA),0.6508,0.3492,-0.0178,ALP RETAIN,,,,,,,
,,,,,,,Bendigo (VIC),0.6528,0.3472,-0.0328,ALP RETAIN,,,,,,,
,,,,,,,O'Connor (WA),0.4528,0.5472,-0.0198,LNP RETAIN,,,,,,,
,,,,,,,Gorton (VIC),0.6548,0.3452,-0.0548,ALP RETAIN,,,,,,,
,,,,,,,Perth (WA),0.6548,0.3452,-0.0108,ALP RETAIN,,,,,,,
,,,,,,,Bean (ACT),0.6568,0.3432,-0.0278,ALP RETAIN,,,,,,,
,,,,,,,Mitchell (NSW),0.4478,0.5522,-0.0528,LNP RETAIN,,,,,,,
,,,,,,,Corio (VIC),0.6598,0.3402,-0.0348,ALP RETAIN,,,,,,,
,,,,,,,Fisher (QLD),0.4438,0.5562,-0.0308,LNP RETAIN,,,,,,,
,,,,,,,Kingsford-Smith (NSW),0.6598,0.3402,-0.0268,ALP RETAIN,,,,,,,
