,,,VOICE (2023),,,2022.0,,,,,,,2025.0,,,,,,
,,,YES %,,NO %,ALP %,,,,,,LNP %,ALP %,,,,,,LNP %
La Trobe,103703,39916.0,0.3849068976,63787.0,0.6150931024,0.4130923292,,,,,,0.5869076708,0.4793954718,,,,,,0.5206045282
Lalor,102632,48124.0,0.4688985891,54508.0,0.5311014109,0.6282393077,,,,,,0.3717606923,0.6321360944,,,,,,0.3678639056
Macnamara,98417,63584.0,0.6460672445,34833.0,0.3539327555,0.6224914276,,,,,,0.3775085724,0.6179513245,,,,,,0.3820486755
Mallee,110174,23901.0,0.2169386607,86273.0,0.7830613393,0.3101468272,,,,,,0.6898531728,0.3072216082,,,,,,0.6927783918
Maribyrnong,100744,51674.0,0.5129238466,49070.0,0.4870761534,0.624457262,,,,,,0.375542738,0.6264557497,,,,,,0.3735442503
McEwen,105907,42268.0,0.399104875,63639.0,0.600895125,0.5327886835,,,,,,0.4672113165,0.5465450826,,,,,,0.4534549174
Melbourne,100690,77741.0,0.7720826299,22949.0,0.2279173701,0.7791329037,,,,,,0.2208670963,0.7397073311,,,,,,0.2602926689
Menzies,103711,46820.0,0.4514468089,56891.0,0.5485531911,0.4931844504,,,,,,0.5068155496,0.5107740108,,,,,,0.4892259892
Monash,104469,35844.0,0.3431065675,68625.0,0.6568934325,0.4710480602,,,,,,0.5289519398,0.4595538388,,,,,,0.5404461612
Nicholls,104243,25806.0,0.2475561908,78437.0,0.7524438092,0.3285289576,,,,,,0.6714710424,0.3582286283,,,,,,0.6417713717
Scullin,98382,37486.0,0.3810249842,60896.0,0.6189750158,0.6558350343,,,,,,0.3441649657,0.6429333471,,,,,,0.3570666529
Wannon,108117,35015.0,0.3238621123,73102.0,0.6761378877,0.4092837855,,,,,,0.5907162145,0.390763356,,,,,,0.6091167355
Wills,98290,63773.0,0.6488249059,34517.0,0.3511750941,0.7577359153,,,,,,0.2422640847,0.8086098687,,,,,,0.1913901313
Blair,0,,#DIV/0!,,#DIV/0!,0.5522940708,,,,,,0.4477059292,0.5554769281,,,,,,0.4445230719
Bonner,0,,#DIV/0!,,#DIV/0!,0.4659244194,,,,,,0.5340755806,0.5499767925,,,,,,0.4500232075
Bowman,0,,#DIV/0!,,#DIV/0!,0.4449219211,,,,,,0.5550780789,0.4757239297,,,,,,0.5242760703
Brisbane,0,,#DIV/0!,,#DIV/0!,0.5439989706,,,,,,0.4560010294,0.5895977245,,,,,,0.4104022755
Capricornia,0,,#DIV/0!,,#DIV/0!,0.4341026891,,,,,,0.5658973109,0.4403332219,,,,,,0.5596667781
Dawson,0,,#DIV/0!,,#DIV/0!,0.3958281572,,,,,,0.6041718428,0.3815960515,,,,,,0.6184039485
Dickson,0,,#DIV/0!,,#DIV/0!,0.4830201254,,,,,,0.5169798746,0.5605891267,,,,,,0.4394108733
Fadden,0,,#DIV/0!,,#DIV/0!,0.3937279595,,,,,,0.6062720405,0.4315670416,,,,,,0.5684329584
Fairfax,0,,#DIV/0!,,#DIV/0!,0.4104901649,,,,,,0.5895098351,0.4671943664,,,,,,0.5328056336
Fisher,0,,#DIV/0!,,#DIV/0!,0.4132763102,,,,,,0.5867236898,0.4396566277,,,,,,0.5603433723
Flynn,0,,#DIV/0!,,#DIV/0!,0.4617976189,,,,,,0.5382023811,0.3973653186,,,,,,0.6026346814
Forde,0,,#DIV/0!,,#DIV/0!,0.4576692174,,,,,,0.5423307826,0.5180042779,,,,,,0.4819957221
Griffith,0,,#DIV/0!,,#DIV/0!,0.6110055498,,,,,,0.3889944502,0.6594176357,,,,,,0.3406006776
Groom,0,,#DIV/0!,,#DIV/0!,0.3580059164,,,,,,0.6419940836,0.3664961538,,,,,,0.6335135345
Herbert,0,,#DIV/0!,,#DIV/0!,0.3822695803,,,,,,0.6177304197,0.3662573195,,,,,,0.6337426805
Hinkler,0,,#DIV/0!,,#DIV/0!,0.3992663156,,,,,,0.6007336844,0.4369817806,,,,,,0.5630182194
Kennedy,0,,#DIV/0!,,#DIV/0!,0.3979958121,,,,,,0.6020041879,0.4066908836,,,,,,0.5931547588
Leichhardt,0,,#DIV/0!,,#DIV/0!,0.4655805991,,,,,,0.5344194009,0.5613030874,,,,,,0.4386969126
Lilley,0,,#DIV/0!,,#DIV/0!,0.6054218389,,,,,,0.3945781611,0.6452010622,,,,,,0.3547989378
Longman,0,,#DIV/0!,,#DIV/0!,0.4692176005,,,,,,0.5307823995,0.498896899,,,,,,0.501103101
Maranoa,0,,#DIV/0!,,#DIV/0!,0.2788165172,,,,,,0.7211834828,0.2603621772,,,,,,0.7396378228
McPherson,0,,#DIV/0!,,#DIV/0!,0.4066417395,,,,,,0.5933582605,0.4561435992,,,,,,0.5438564008
Moncrieff,0,,#DIV/0!,,#DIV/0!,0.388050276,,,,,,0.611949724,0.4125152004,,,,,,0.5874847996
Moreton,0,,#DIV/0!,,#DIV/0!,0.590885518,,,,,,0.409114482,0.660911639,,,,,,0.339088361
Oxley,0,,#DIV/0!,,#DIV/0!,0.6159392948,,,,,,0.3840607052,0.6932323747,,,,,,0.3067676253
Petrie,0,,#DIV/0!,,#DIV/0!,0.455643912,,,,,,0.544356088,0.5111737105,,,,,,0.4888262895
Rankin,0,,#DIV/0!,,#DIV/0!,0.5908770012,,,,,,0.4091229988,0.6555324046,,,,,,0.3444675954
Ryan,0,,#DIV/0!,,#DIV/0!,0.5240041887,,,,,,0.4759958113,0.5782026251,,,,,,0.4217973749
Wide Bay,0,,#DIV/0!,,#DIV/0!,0.3865669147,,,,,,0.6134330853,0.4259035514,,,,,,0.5740964486
Wright,0,,#DIV/0!,,#DIV/0!,0.3910679392,,,,,,0.6089320608,0.4202736116,,,,,,0.5797263884
Brand,0,,#DIV/0!,,#DIV/0!,0.6671021415,,,,,,0.3328978585,0.6691970616,,,,,,0.3308029384
Bullwinkel,0,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,0.5050924864,,,,,,0.4949075136
Burt,0,,#DIV/0!,,#DIV/0!,0.6521463681,,,,,,0.3478536319,0.6570507949,,,,,,0.3429492051
Canning,0,,#DIV/0!,,#DIV/0!,0.4641326487,,,,,,0.5358673513,0.4344888571,,,,,,0.5655111429
Cowan,0,,#DIV/0!,,#DIV/0!,0.608171823,,,,,,0.391828177,0.6363466159,,,,,,0.3636533841
Curtin,0,,#DIV/0!,,#DIV/0!,0.4439959252,,,,,,0.5560040748,0.4784049056,,,,,,0.5215950944
Durack,0,,#DIV/0!,,#DIV/0!,0.4573126459,,,,,,0.5426873541,0.3984675201,,,,,,0.6015324799
Forrest,0,,#DIV/0!,,#DIV/0!,0.4570932801,,,,,,0.5429067199,0.4776436048,,,,,,0.5223563952
Fremantle,0,,#DIV/0!,,#DIV/0!,0.6688729565,,,,,,0.3311270435,0.6868207187,,,,,,0.3131792813
Hasluck,0,,#DIV/0!,,#DIV/0!,0.5599870068,,,,,,0.4400129932,0.6597419179,,,,,,0.3402580821
Moore,0,,#DIV/0!,,#DIV/0!,0.4933703243,,,,,,0.5066296757,0.5288617239,,,,,,0.4711382761
O'Connor,0,,#DIV/0!,,#DIV/0!,0.4302611717,,,,,,0.5697388283,0.3673654878,,,,,,0.6326345122
Pearce,0,,#DIV/0!,,#DIV/0!,0.5904167896,,,,,,0.4095832104,0.5643623908,,,,,,0.4356376092
Perth,0,,#DIV/0!,,#DIV/0!,0.6480246079,,,,,,0.3519753921,0.6651228999,,,,,,0.3348771001
Stirling,0,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!
Swan,0,,#DIV/0!,,#DIV/0!,0.5877484106,,,,,,0.4122515894,0.6398860399,,,,,,0.3601139601
Tangney,0,,#DIV/0!,,#DIV/0!,0.5237754305,,,,,,0.4762245695,0.5698930544,,,,,,0.4301069456
Adelaide,0,,#DIV/0!,,#DIV/0!,0.6191337661,,,,,,0.3808662339,0.6906537878,,,,,,0.3093462122
Barker,0,,#DIV/0!,,#DIV/0!,0.333802777,,,,,,0.666197223,0.3698235738,,,,,,0.6301764262
Boothby,0,,#DIV/0!,,#DIV/0!,0.5327640339,,,,,,0.4672359661,0.6110329899,,,,,,0.3889670101
Grey,0,,#DIV/0!,,#DIV/0!,0.3993483194,,,,,,0.6006516806,0.4535792143,,,,,,0.5464207857
