Election,Seat,Geography,Eliminated,AliveSet,Recipient,PrefVotes,PrefShare,SourceBank,Notes,,,,ALP ,,,,,LNP,,,,,GRN,,,,,ON,,,,,IND,,,,,OTH,,,,
,,,,,,,,,,,65,Calwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,66,Jagajaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,67,Scullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,68,Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,69,Dunkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,70,Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,71,Isaacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,72,Gorton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,73,Lalor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,74,La Trobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,75,Ballarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,76,Bendigo**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,77,Corangamite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,78,Corio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,79,Hawke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,80,Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,81,Flinders*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,82,Gippsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,83,Monash*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,84,Indi*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,85,McEwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,86,Nicholls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,87,Mallee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,88,Wannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,89,Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,90,Lilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,91,Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,92,Moreton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,93,Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,94,Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,95,Dickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,96,Petrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,97,Fadden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,98,Forde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,99,Oxley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,Rankin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,101,Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,102,Blair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,103,Capricornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,104,Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,105,Hinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,106,Longman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,107,Groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,108,McPherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,109,Moncrieff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,110,Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,111,Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,112,Leichhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,113,Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,114,Fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,115,Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,116,Maranoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,117,Wide Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,118,Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,119,Cowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,120,Curtin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,121,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,122,Fremantle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,123,Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,124,Tangney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,125,Bullwinkel**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,126,Hasluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,127,Pearce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,128,Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,129,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,130,Burt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,131,Canning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,132,Durack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,133,O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,134,Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,135,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,136,Hindmarsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,137,Sturt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,138,Boothby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,139,Kingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,140,Makin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
