ADELAIDE (SA),RAW,,,,,,,,ADELAIDE (SA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.433099729,0.2290012271,0.1561294548,0.181769589,0,1,,0.4734518336,0.16363675670319552,0.18055466334866213,0.062225536615589,0.12013120969132764,0.0,0.4734518336,0.5967364857327726,0.4095558904889891,0.2183549914056752,0.3019007987313376,0.0,0,0.2983682428663862,0.20477794524449447,0.10917749570283755,0.15095039936566876,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.4783219547,0,0.2107335605,0.1436748454,0.1672696394,0,1,,0.2450484359616887,0.3577443909756985,0.1916998914482211,0.07468014599532509,0.13082713561906684,0.0,0.7233703906225275,0.3577443909756985,0.4024334519567288,0.21835499140567516,0.2980967750393704,0.0,0.3616851953112636,0.0,0.20121672597836432,0.10917749570283754,0.14904838751968513,0.0
GRN,0.8559470997,0.1440529003,0.0,0,0,0,,,GRN,0.8559470997,0.1440529003,0,0,0,0,,GRN,0.8559470997,0.1440529003,0,0,0,0,1,,0.06890366485069922,0.3707104569395208,0.22636971678012266,0.15433533218671078,0.17968082924294673,0.0,0.924850764540998,0.5147633572492221,0.22636971678012266,0.15433533218671078,0.17968082924294673,0.0,0.4624253822704988,0.2573816786246109,0.0,0.07716766609335536,0.08984041462147332,0.0
ON,0.08420528151,0.5180202624,0.09234346454,0.0,0.3054309915,0,,,ON,0.08420528151,0.5180202624,0.09234346454,0,0.3054309915,0,,ON,0.08420528151,0.5180202624,0.09234346454,0,0.3054309915,0,1,,0.4228196916761438,0.1334015428460229,0.2542503377401374,0.08757340581522266,0.1019550219224733,0.0,0.5070249731908424,0.6514218052609041,0.34659380228091136,0.08757340581522266,0.40738601345211956,0.0,0.2535124865954211,0.3257109026304519,0.1732969011404556,0.0,0.2036930067260597,0.0
IND,0.3143037518,0.2738095238,0.4118867244,0,0.0,0,,,IND,0.3143037518,0.2738095238,0.4118867244,0,0,0,,IND,0.3143037518,0.2738095238,0.4118867244,0,0,0,1,,0.48352235377307917,0.19545834698615455,0.12967680071138787,0.08841161441281326,0.10293088411656534,0.0,0.797826105576831,0.4692678707956784,0.5415635250981123,0.08841161441281326,0.10293088411656534,0.0,0.3989130527884153,0.23463393539783908,0.27078176254905606,0.04420580720640661,0.0,0.0
OTH,0.113594041,0.2040140699,0.098489551,0.4109248914,0.1729774467,0.0,,,OTH,0.113594041,0.2040140699,0.098489551,0.4109248914,0.1729774467,0,,OTH,0.113594041,0.2040140699,0.098489551,0.4109248914,0.1729774467,0,1,,0.2708557608823292,0.32361554621257427,0.1781991281867798,0.04704706564336075,0.180282499074956,0.0,0.38444980185067185,0.527629616148432,0.27668867919029727,0.4579719570151795,0.35325994579541947,0.0,0.19222490092533584,0.26381480807421587,0.13834433959514858,0.22898597850758964,0.17662997289770965,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOTHBY (SA),RAW,,,,,,,,BOOTHBY (SA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,138.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
