,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Party 1,,,,,,Party 2,,,,,,Party 3,,,,,,3CP Estimate,,,,,,,,Rescaled 3CP Estimate,,
,3CP,,,2CP,,Parties,,,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,Parties,Total,To ALP,To LNP,To GRN
Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moreton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fadden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rankin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capricornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McPherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moncrieff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leichhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maranoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wide Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremantle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullwinkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
