,,,,,,,,
,,,,,,,,
Division,2022 Margin,2022 Aus 2PP,2022 Lean,2025 Margin,2025 2PP,2025 Aus 2PP,2025 Lean,New PVI
Brisbane,0.0439977245,,0.0226977245,0.0895977245,0.5895977245,,0.0367977245,0.0332727245
Lilley,0.1052010622,,0.08390106222,0.1452010622,0.6452010622,,0.09240106222,0.09027606222
Griffith,0.1107176357,,0.08941763575,0.1594176357,0.6594176357,,0.1066176357,0.1023176357
Moreton,0.09091163901,,0.06961163901,0.160911639,0.660911639,,0.108111639,0.09848663901
Bonner,-0.03402320747,,-0.05532320747,0.04997679253,0.5499767925,,-0.002823207475,-0.01594820747
Bowman,-0.05527607027,,-0.07657607027,-0.02427607027,0.4757239297,,-0.07707607027,-0.07695107027
Dickson,-0.01741087327,,-0.03871087327,0.06058912673,0.5605891267,,0.007789126729,-0.003835873271
Petrie,-0.04482628947,,-0.06612628947,0.01117371053,0.5111737105,,-0.04162628947,-0.04775128947
Fadden,-0.1064329584,,-0.1277329584,-0.06843295841,0.4315670416,,-0.1212329584,-0.1228579584
Forde,-0.04199572212,,-0.06329572212,0.01800427788,0.5180042779,,-0.03479572212,-0.04192072212
Oxley,0.1162323747,,0.09493237467,0.1932323747,0.6932323747,,0.1404323747,0.1290573747
Rankin,0.09053240463,,0.06923240463,0.1555324046,0.6555324046,,0.1027324046,0.09435740463
Ryan,0.02420262512,,0.002902625118,0.07820262512,0.5782026251,,0.02540262512,0.01977762512
Blair,0.05247692812,,0.03117692812,0.05547692812,0.5554769281,,0.002676928122,0.009801928122
Capricornia,-0.06566677815,,-0.08696677815,-0.05966677815,0.4403332219,,-0.1124667781,-0.1060917781
Herbert,-0.1177426805,,-0.1390426805,-0.1337426805,0.3662573195,,-0.1865426805,-0.1746676805
Hinkler,-0.1010182194,,-0.1223182194,-0.06301821938,0.4369817806,,-0.1158182194,-0.1174432194
Longman,-0.03110310098,,-0.05240310098,-0.001103100985,0.498896899,,-0.05390310098,-0.05352810098
Groom,-0.1417038462,,-0.1630038462,-0.1335038462,0.3664961538,,-0.1863038462,-0.1804788462
McPherson,-0.09385640076,,-0.1151564008,-0.04385640076,0.4561435992,,-0.09665640076,-0.1012814008
Moncrieff,-0.1114847996,,-0.1327847996,-0.08748479955,0.4125152004,,-0.1402847996,-0.1384097996
Dawson,-0.1044039485,,-0.1257039485,-0.1184039485,0.3815960515,,-0.1712039485,-0.1598289485
Kennedy,-0.1017091164,,-0.1230091164,-0.09330911635,0.4066908836,,-0.1461091164,-0.1403341164
Leichhardt,-0.03469691263,,-0.05599691263,0.06130308737,0.5613030874,,0.008503087373,-0.007621912627
Flynn,-0.03863468143,,-0.05993468143,-0.1026346814,0.3973653186,,-0.1554346814,-0.1315596814
Fairfax,-0.0898056336,,-0.1111056336,-0.0328056336,0.4671943664,,-0.0856056336,-0.0919806336
Fisher,-0.08674337227,,-0.1080433723,-0.06034337227,0.4396566277,,-0.1131433723,-0.1118683723
Maranoa,-0.2212378228,,-0.2425378228,-0.2396378228,0.2603621772,,-0.2924378228,-0.2799628228
Wide Bay,-0.03509644858,,-0.05639644858,-0.07409644858,0.4259035514,,-0.1268964486,-0.1092714486
Wright,-0.1087263884,,-0.1300263884,-0.07972638838,0.4202736116,,-0.1325263884,-0.1319013884
Cowan,0.09944661591,,0.07814661591,0.1363466159,0.6363466159,,0.08354661591,0.08219661591
Curtin,-0.05639509435,,-0.07769509435,-0.02159509435,0.4784049056,,-0.07439509435,-0.07522009435
Perth,0.1442228999,,0.1229228999,0.1651228999,0.6651228999,,0.1123228999,0.1149728999
Stirling,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
Fremantle,0.1693207187,,0.1480207187,0.1868207187,0.6868207187,,0.1340207187,0.1375207187
Swan,0.09428603989,,0.07298603989,0.1398860399,0.6398860399,,0.08708603989,0.08356103989
Tangney,0.02849305439,,0.007193054392,0.06989305439,0.5698930544,,0.01709305439,0.01461805439
Bullwinkel,0.03349248643,,0.01219248643,0.005092486433,0.5050924864,,-0.04770751357,-0.03273251357
Hasluck,0.1004419179,,0.07914191793,0.1597419179,0.6597419179,,0.1069419179,0.09999191793
Pearce,0.08836239079,,0.06706239079,0.06436239079,0.5643623908,,0.01156239079,0.02543739079
Moore,-0.009138276065,,-0.03043827607,0.02886172393,0.5288617239,,-0.02393827607,-0.02556327607
Brand,0.1706970616,,0.1493970616,0.1691970616,0.6691970616,,0.1163970616,0.1246470616
Burt,0.1328507949,,0.1115507949,0.1570507949,0.6570507949,,0.1042507949,0.1060757949
Canning,-0.01201114291,,-0.03331114291,-0.06551114291,0.4344888571,,-0.1183111429,-0.09706114291
Durack,-0.04663247993,,-0.06793247993,-0.1015324799,0.3984675201,,-0.1543324799,-0.1327324799
O'Connor,-0.06693451224,,-0.08823451224,-0.1326345122,0.3673654878,,-0.1854345122,-0.1611345122
Forrest,-0.04185639523,,-0.06315639523,-0.02235639523,0.4776436048,,-0.07515639523,-0.07215639523
Adelaide,0.1190537878,,0.09775378783,0.1906537878,0.6906537878,,0.1378537878,0.1278287878
Hindmarsh,0.08948658765,,0.06818658765,0.1634865877,0.6634865877,,0.1106865877,0.1000615877
Port Adelaide,-0.5,,-0.5213,-0.5,0,,-0.5528,-0.544925
Sturt,-0.004474127731,,-0.02577412773,0.06622587227,0.5662258723,,0.01342587227,0.003625872269
Boothby,0.03283298988,,0.01153298988,0.1110329899,0.6110329899,,0.05823298988,0.04655798988
Kingston,0.1635049425,,0.1422049425,0.2074049425,0.7074049425,,0.1546049425,0.1515049425
Makin,0.1079783623,,0.08667836229,0.1465783623,0.6465783623,,0.09377836229,0.09200336229
Spence,0.1289818482,,0.1076818482,0.1533818482,0.6533818482,,0.1005818482,0.1023568482
Barker,-0.1651764262,,-0.1864764262,-0.1301764262,0.3698235738,,-0.1829764262,-0.1838514262
Grey,-0.1007207857,,-0.1220207857,-0.04642078573,0.4535792143,,-0.09922078573,-0.1049207857
Mayo,0.0158595501,,-0.005440449905,0.0497595501,0.5497595501,,-0.003040449905,-0.003640449905
Clark,0.1723744428,,0.1510744428,0.2088744428,0.7088744428,,0.1560744428,0.1548244428
Franklin,0.1370102953,,0.1157102953,0.1944102953,0.6944102953,,0.1416102953,0.1351352953
Bass,-0.01429552197,,-0.03559552197,0.08010447803,0.580104478,,0.02730447803,0.01157947803
Braddon,-0.08029305184,,-0.1015930518,0.07200694816,0.5720069482,,0.01920694816,-0.01099305184
Lyons,0.009237151187,,-0.01206284881,0.1158371512,0.6158371512,,0.06303715119,0.04426215119
Bean,0.1295016553,,0.1082016553,0.1929016553,0.6929016553,,0.1401016553,0.1321266553
Canberra,0.2245775066,,0.2032775066,0.2641775066,0.7641775066,,0.2113775066,0.2093525066
Fenner,0.1569130426,,0.1356130426,0.2208130426,0.7208130426,,0.1680130426,0.1599130426
Solomon,0.0840049393,,0.0627049393,0.0131049393,0.5131049393,,-0.0396950607,-0.0140950607
Lingiari,0.01595876578,,-0.005341234222,0.08125876578,0.5812587658,,0.02845876578,0.02000876578
,,,,,,,,
