INNER METRO,CLARK (TAS),RAW,,,,,,,,,AliveMask,,,,,,,,"CLARK
(TAS)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAS,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.04796034095,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.08898696868,-0.09274262802,0.01303654709,0.1593077232,0.001234074512,0.006102509397,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1452476573,0.14424364123159303,0.06325301204819277,0.3530789825970549,0.29417670682730923,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.04783785035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.006966127166,0.006917974213,0.003033636024,0.01693378839,0.01410881516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.315098222,0.22916876408404804,0.1453410863689695,0.24161126996774956,0.06928720650473504,0.0,5,1.000506549,,True,True,True,True,True,False,IND,,ROUND 2,0.3142934619,0.2285834676,0.1449698856,0.2409941953,0.06911024713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.0692872065,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.2762629465,0.2145423800465018,0.24286620164870007,0.2663284717818643,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.06911024713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01914148783,0.01486504219,0.01682752067,0.01845315582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.3342397099,0.24403380627434737,0.1621686070356236,0.26006442579019007,0.0,0.0,3,1.000506549,,True,True,True,True,False,False,GRN,,ROUND 3,0.3333860624,0.2434105445,0.1617544288,0.2594002218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.162168607,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.7269188523,0.1680811477219934,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1617544288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1178834177,0.0272574856,,0.01702770374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.4521231276,0.2712912918693719,0.0,0.27709212952893053,0.0,0.0,2,1.000506549,,True,True,False,True,False,False,LNP,,3CP,0.4509684061,0.2705984145,,0.2763844369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
