16,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,STATUS
,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,
Division,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,
,Votes,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,
Dunkley,18618.0,0.1705397954,,0,,0,0,10776.0,0.09870753222,,0,,0,0,3772.0,,,0,,0,#REF!,8897.0,,,0,,0,0,
Holt,17309.0,0.174426104,,0,,0,0,11627.0,0.1171675031,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,9930.0,,,0,,0,0,
Isaacs,17118.0,0.1582348102,,0,,0,0,6434.0,0.05947439939,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,3878.0,,,0,,0,0,
Gorton,17182.0,0.1514766817,,0,,0,0,10102.0,0.08905933175,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,11027.0,,,0,,0,0,
Lalor,19136.0,0.1927400185,,0,,0,0,9350.0,0.0941742879,,0,,0,0,2370.0,,,0,,0,#REF!,6334.0,,,0,,0,0,
La Trobe,16686.0,0.1610337972,,0,,0,0,11654.0,0.1124708062,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,8440.0,,,0,,0,0,
Ballarat,18017.0,0.1723455137,,0,,0,0,10772.0,0.1030418978,,0,,0,0,3329.0,,,0,,0,#REF!,5567.0,,,0,,0,0,
Bendigo**,17845.0,0.1673748089,,0,,0,0,7890.0,0.07400320774,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,22907.0,,,0,,0,0,
Corangamite,20236.0,0.1945395116,,0,,0,0,5460.0,0.05248990579,,0,,0,0,7584.0,,,0,,0,#REF!,6884.0,,,0,,0,0,
Corio,24146.0,0.2190570368,,0,,0,0,12880.0,0.1168497736,,0,,0,0,4460.0,,,0,,0,#REF!,3209.0,,,0,,0,0,
Hawke,17275.0,0.1663985667,,0,,0,0,13055.0,0.125750118,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,11602.0,,,0,,0,0,
Casey,14517.0,0.1312793337,,0,,0,0,9612.0,0.08692270824,,0,,0,0,22820.0,,,0,,0,#REF!,9249.0,,,0,,0,0,
Flinders*,7971.0,0.06935948418,,0,,0,0,7439.0,0.06473029768,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,4124.0,,,0,,0,0,
Gippsland,9212.0,0.08793600489,,0,,0,0,17197.0,0.1641593005,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,3416.0,,,0,,0,0,
Monash*,6197.0,0.06044733171,,0,,0,0,10662.0,0.1040002341,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,21606.0,,,0,,0,0,
Indi*,5010.0,0.0473646892,,0,,0,0,12657.0,0.1196596549,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,8289.0,,,0,,0,0,
McEwen,18242.0,0.1743660329,,0,,0,0,11349.0,0.1084793393,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,13034.0,,,0,,0,0,
Nicholls,9229.0,0.08751600209,,0,,0,0,18134.0,0.1719596036,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,10798.0,,,0,,0,0,
Mallee,10918.0,0.09810317097,,0,,0,0,17509.0,0.1573262887,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,11424.0,,,0,,0,0,
Wannon,4332.0,0.03995720189,,0,,0,0,7399.0,0.0682463843,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,7094.0,,,0,,0,0,
Brisbane,30520.0,,,0,,0,0,5359.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,,,#REF!,,#REF!,#REF!,
Lilley,19411.0,,,0,,0,0,7478.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,,,#REF!,,#REF!,#REF!,
