BRISBANE (QLD),RAW,,,,,,,,BRISBANE (QLD),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,1,2,3,4,5,6,93.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.5976031996,0.1957161059,0.2066806945,0,0,1,,0.565062369,0.16966494132452645,0.1465274387114315,0.11874525101221,0.0,0.0,0.565062369,0.7672681409361589,0.3422435446251579,0.32542594548685155,0.0,0.0,0,0.3836340704680793,0.17112177231257886,0.1627129727434257,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.6131363344,0,0.1881611635,0.1987025021,0,0,1,,0.19098193328141733,0.5295278491372437,0.15276677417175194,0.12672344340958752,0.0,0.0,0.804118267720896,0.5295278491372437,0.3409279376550095,0.32542594548685155,0.0,0.0,0.40205913386044784,0.0,0.17046396882750467,0.1627129727434257,0.0,0.0
GRN,0.8433893834,0.1566106166,0.0,0,0,0,,,GRN,0.8433893834,0.1566106166,0,0,0,0,,GRN,0.8433893834,0.1566106166,0,0,0,0,1,,0.09602365936655205,0.5040121940674434,0.19453292172168132,0.2054312248443236,0.0,0.0,0.9394130428152827,0.6606228106187128,0.19453292172168132,0.2054312248443236,0.0,0.0,0.46970652140764113,0.3303114053093562,0.0,0.10271561242216176,0.0,0.0
ON,0.1624982337,0.6726013848,0.1649003815,0.0,0,0,,,ON,0.1624982337,0.6726013848,0.1649003815,0,0,0,,ON,0.1624982337,0.6726013848,0.1649003815,0,0,0,1,,0.5514715786938797,0.12293461481824342,0.15836098063884294,0.16723282584903412,0.0,0.0,0.7139698124087307,0.7955359995858002,0.32326136215643514,0.16723282584903412,0.0,0.0,0.3569849062043652,0.39776799979289995,0.1616306810782175,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.3894079288,0.3648917754,0.1195027025,0.1261975933,0,0,1,,0.3450226022158757,0.33630749213808664,0.165681895727075,0.1529880099189631,0.0,0.0,0.734430531015172,0.7011992675451209,0.2851845982042735,0.27918560323543434,0.0,0.0,0.3672152655075858,0.35059963377256026,0.1425922991021367,0.13959280161771712,0.0,0.0
OTH,0.1623361692,0.2654633249,0.1936077259,0.3785927799,0,0.0,,,OTH,0.1623361692,0.2654633249,0.1936077259,0.3785927799,0,0,,OTH,0.1623361692,0.2654633249,0.1936077259,0.3785927799,0,0,1,,0.3875725685871951,0.3819756675285729,0.14415178482070068,0.08629997906353143,0.0,0.0,0.5499087378215018,0.6474389924308492,0.3377595107347039,0.4648927590129451,0.0,0.0,0.2749543689107508,0.32371949621542445,0.16887975536735186,0.23244637950647243,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOWMAN (QLD),RAW,,,,,,,,BOWMAN (QLD),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,94.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.4474990895,0.2180630238,0.2773662934,0,0.0570715933,1,,0.4343818749,0.23751444001852945,0.15566742653799717,0.14802776475238738,0.0,0.024408493755209155,0.4343818749,0.6850135294776052,0.37373045033069874,0.42539405819813203,0.0,0.08148008705768708,0,0.34250676473880265,0.1868652251653494,0.21269702909906604,0.0,0.04074004352884355
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.4719660762,0,0.2084063065,0.2650833862,0,0.05454423111,1,,0.21329427912508925,0.4382007242553068,0.16256056154681742,0.15900857912116365,0.0,0.026935855951622834,0.6852603552930264,0.4382007242553068,0.3709668680327428,0.42409196536123683,0.0,0.0814800870576871,0.34263017764651327,0.0,0.18548343401637143,0.21204598268061844,0.0,0.040740043528843556
GRN,0.7700541049,0.2299458951,0.0,0,0,0,,,GRN,0.7700541049,0.2299458951,0,0,0,0,,GRN,0.7700541049,0.2299458951,0,0,0,0,1,,0.10852666183348826,0.34459851078435305,0.2158425012880265,0.27454188935410884,0.0,0.05649043674002337,0.8785807667499785,0.5745444058678628,0.2158425012880265,0.27454188935410884,0.0,0.05649043674002337,0.4392903833749893,0.28727220293393146,0.0,0.13727094467705445,0.0,0.028245218370011687
ON,0.1695119987,0.6306973748,0.1997906265,0.0,0,0,,,ON,0.1695119987,0.6306973748,0.1997906265,0,0,0,,ON,0.1695119987,0.6306973748,0.1997906265,0,0,0,1,,0.45151735729143955,0.12179749951792095,0.16840560939615112,0.21420431057622366,0.0,0.04407522321826472,0.6210293560029874,0.7524948742964682,0.3681962359060561,0.21420431057622366,0.0,0.04407522321826472,0.31051467800149374,0.37624743714823417,0.18409811795302808,0.0,0.0,0.022037611609132365
IND,0.2383778437,0.1196834817,0.2616221563,0.2274975272,0.0,0.1528189911,,,IND,0.2383778437,0.1196834817,0.2616221563,0.2274975272,0,0.1528189911,,IND,0.2383778437,0.1196834817,0.2616221563,0.2274975272,0,0.1528189911,1,,0.3185779880185672,0.3436185771159664,0.14109461420162933,0.17657617382928625,0.0,0.020132646834550898,0.5569558317376572,0.4633020588172522,0.40271677048253934,0.40407370103007756,0.0,0.17295163793247376,0.27847791586882864,0.23165102940862614,0.2013583852412697,0.2020368505150388,0.0,0.08647581896623689
