division,division_key,state,classification,review_priority,priority_reason,override_review_candidate,candidate_k_to_test,winner_changed,final_two_changed,elimination_order_changed,current_winner,unshrunk_winner,actual_winner,current_final_two,unshrunk_final_two,actual_final_two,current_matches_actual_winner,unshrunk_matches_actual_winner,current_matches_actual_final_two,unshrunk_matches_actual_final_two,winner_pct_change_pp,final_distribution_change_pp,seat_flow_scenarios,encountered_scenarios,max_flow_total_variation_pp,max_recipient_shift_pp,max_estimated_round_effect_pp,most_distinctive_scenario,position_conflicts,current_elimination_order,unshrunk_elimination_order
Blaxland,BLAXLAND,NSW,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+IND,ALP+IND,ALP+ON,True,True,False,False,0.01668769753333521,0.016687697533332435,4,1,10.348899478500494,10.348899478500496,0.29610155152922085,IND|ALP+LNP,0,OTH>GRN>LNP>ON,OTH>GRN>LNP>ON
Parkes,PARKES,NSW,Rural,Medium,Material local-flow or elimination-path difference.,False,,False,False,True,ON,ON,ON,LNP+ON,LNP+ON,LNP+ON,True,True,True,True,3.501193871055097,3.5011938710550945,4,2,10.82058818092734,10.820588180927338,0.27670169328338484,IND|ALP+GRN+LNP+ON+OTH,0,IND>GRN>OTH>ALP,IND>GRN>ALP>OTH
Warringah,WARRINGAH,NSW,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,True,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,2.8184626069091667,2.8184626069091667,4,1,6.81512753303741,6.167997107981771,0.2527308790830066,OTH|ALP+GRN+IND+LNP+ON,0,OTH>ALP>ON>GRN,OTH>ALP>GRN>ON
Kooyong,KOOYONG,VIC,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.15883881127718436,0.15883881127718713,4,1,12.257649056763842,9.309853611482898,0.22358694887403774,OTH|ALP+GRN+IND+LNP+ON,0,OTH>ALP>ON>GRN,OTH>ALP>ON>GRN
Mackellar,MACKELLAR,NSW,Outer metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.03399238584510522,0.03399238584510522,4,1,11.896098734916267,11.896098734916272,0.20607457727792222,GRN|ALP+IND+LNP,0,OTH>ALP>GRN>ON,OTH>ALP>GRN>ON
Curtin,CURTIN,WA,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.08932600638122956,0.08932600638122401,4,1,11.323786636636772,9.139664044052099,0.1828103100957602,OTH|ALP+GRN+IND+LNP+ON,0,OTH>ALP>GRN>ON,OTH>ALP>GRN>ON
Werriwa,WERRIWA,NSW,Outer metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,True,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+LNP,True,True,False,False,1.969613555483829,1.969613555483829,4,1,7.678823865127707,4.270910666538104,0.1772344526938675,IND|ALP+GRN+LNP+ON+OTH,0,IND>GRN>OTH>LNP,IND>OTH>GRN>LNP
Hinkler,HINKLER,QLD,Provincial,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,ON,LNP+ON,LNP+ON,LNP+ON,False,False,True,True,0.002939890492326125,0.0029398904923233493,4,1,11.79268141125357,11.79268141125357,0.07326952665931762,OTH|ALP+GRN+LNP+ON,0,IND>GRN>OTH>ALP,IND>GRN>OTH>ALP
Kennedy,KENNEDY,QLD,Rural,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,OTH,OTH,OTH,ON+OTH,ON+OTH,ON+OTH,True,True,True,True,0.02173674607965914,0.021736746079656366,3,1,13.975875551201863,13.975875551201867,0.06922225266489741,ON|ALP+LNP+OTH,0,GRN>LNP>ALP,GRN>LNP>ALP
Corio,CORIO,VIC,Provincial,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.0,0.0,4,0,20.467710509938396,20.167449648691477,0.0,OTH|ALP+GRN+IND+LNP+ON,0,IND>OTH>LNP>GRN,IND>OTH>LNP>GRN
Herbert,HERBERT,QLD,Provincial,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,LNP,LNP+ON,LNP+ON,ALP+LNP,True,True,False,False,0.0,0.0,3,0,19.000811385202798,19.000811385202798,0.0,ON|ALP+GRN+LNP+OTH,0,GRN>OTH>ALP,GRN>OTH>ALP
Fraser,FRASER,VIC,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+GRN,ALP+GRN,ALP+GRN,True,True,True,True,0.0,0.0,3,0,18.391500118511004,18.391500118511004,0.0,OTH|ALP+GRN+LNP+ON,0,LNP>OTH>ON,LNP>OTH>ON
Cowper,COWPER,NSW,Provincial,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,LNP,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.0,0.0,4,0,12.878046903317438,11.230368691186337,0.0,GRN|ALP+IND+LNP+ON+OTH,0,ALP>GRN>OTH>ON,ALP>GRN>OTH>ON
