division,round,eliminated,alive_after,basis,reliability,reliability_reason,pooled_evidence_seats,pooled_mean_variance,class_evidence_seats,nearest_distance,position_conflict,coverage,anchor_weight
Whitlam,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,3,nan,False,1.0,0.0
Whitlam,4,LNP,ALP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Calare,1,ALP,GRN+IND+LNP+ON+OTH,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,2,nan,False,1.0,0.0
Calare,2,GRN,IND+LNP+ON+OTH,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 3 seats.",3,0.0,0,1.0,False,0.0,0.0
Calare,3,OTH,IND+LNP+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,1.0,0.0
Calare,4,LNP,IND+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 2, based on 1 seats.",1,0.0,0,2.0,False,0.0,0.0
Eden-Monaro,1,IND,ALP+GRN+LNP+ON+OTH,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 26 seats.,26,0.005372962514514995,7,nan,False,1.0,0.0
Eden-Monaro,2,OTH,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 73 seats.,73,0.00802382233899586,16,nan,False,0.7079695337087609,0.0
Eden-Monaro,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,11,nan,False,1.0,0.0
Eden-Monaro,4,LNP,ALP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Gilmore,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,16,nan,False,1.0,0.0
Gilmore,2,IND,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 16 seats.,16,0.00456985146000111,3,nan,False,1.0,0.0
Gilmore,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,11,nan,False,0.5508308391,0.0
Gilmore,4,ON,ALP+LNP,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 25 seats.,25,0.006225577806918004,14,nan,False,0.613633815418409,0.0
Hunter,1,LNP,ALP+GRN+ON+OTH,posterior_nearest_field,Low,"Nearest-field evidence at distance 2, based on 1 seats.",1,0.0,0,2.0,False,1.0,0.0
