stage,division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_share,division,winner,runner_up,final_two,winner_pct,elimination_order,winner_match,runner_up_match,final_two_match,absolute_winner_error_pp
1_pass_through_original_fallback,FLYNN,ON,ALP,ALP+ON,0.619371,Flynn,ON,ALP,ALP+ON,0.6219070940337605,IND>GRN>OTH>LNP,True,True,True,0.25360940337605387
1_pass_through_original_fallback,FORDE,ON,ALP,ALP+ON,0.5394570000000001,Forde,ON,ALP,ALP+ON,0.5384138942146128,IND>OTH>GRN>LNP,True,True,True,0.10431057853872439
1_pass_through_original_fallback,FORREST,LNP,IND,IND+LNP,0.504318,Forrest,ON,IND,IND+ON,0.5241684797918948,OTH>GRN>ALP>LNP,False,True,False,1.9850479791894804
1_pass_through_original_fallback,FOWLER,IND,ALP,ALP+IND,0.563923,Fowler,IND,ALP,ALP+IND,0.5639234824776246,LNP>OTH>GRN>ON,True,True,True,4.824776246303841e-05
1_pass_through_original_fallback,FRANKLIN,ALP,IND,ALP+IND,0.5589580000000001,Franklin,IND,ALP,ALP+IND,0.5005982893615215,OTH>LNP>GRN>ON,False,False,True,5.835971063847856
1_pass_through_original_fallback,FRASER,ALP,GRN,ALP+GRN,0.53302,Fraser,ALP,GRN,ALP+GRN,0.5330195128198036,LNP>OTH>ON,True,True,True,4.871801964068112e-05
1_pass_through_original_fallback,FREMANTLE,IND,ALP,ALP+IND,0.545318,Fremantle,IND,ALP,ALP+IND,0.5477552856029039,OTH>LNP>GRN>ON,True,True,True,0.24372856029039047
1_pass_through_original_fallback,GELLIBRAND,ALP,ON,ALP+ON,0.6200209999999999,Gellibrand,ALP,ON,ALP+ON,0.620020745983046,OTH>LNP>GRN,True,True,True,2.540169539155812e-05
1_pass_through_original_fallback,GILMORE,ALP,LNP,ALP+LNP,0.52827,Gilmore,ALP,LNP,ALP+LNP,0.5287437452309269,OTH>IND>GRN>ON,True,True,True,0.04737452309269141
1_pass_through_original_fallback,GIPPSLAND,LNP,ON,LNP+ON,0.579957,Gippsland,LNP,ON,LNP+ON,0.5799572937654724,OTH>GRN>ALP,True,True,True,2.9376547250326013e-05
1_pass_through_original_fallback,GOLDSTEIN,IND,LNP,IND+LNP,0.516357,Goldstein,IND,LNP,IND+LNP,0.5163569281952162,OTH>ALP>GRN>ON,True,True,True,7.180478378554511e-06
1_pass_through_original_fallback,GORTON,ALP,ON,ALP+ON,0.560268,Gorton,ALP,ON,ALP+ON,0.5692002950552915,OTH>GRN>LNP,True,True,True,0.8932295055291473
1_pass_through_original_fallback,GRAYNDLER,ALP,GRN,ALP+GRN,0.6083,Grayndler,ALP,GRN,ALP+GRN,0.6082995522703467,OTH>IND>LNP>ON,True,True,True,4.477296532412467e-05
1_pass_through_original_fallback,GREENWAY,ALP,ON,ALP+ON,0.5965050000000001,Greenway,ALP,ON,ALP+ON,0.6085557913390494,IND>OTH>GRN>LNP,True,True,True,1.2050791339049294
1_pass_through_original_fallback,GREY,LNP,IND,IND+LNP,0.522261,Grey,ON,IND,IND+ON,0.5734991425872176,OTH>GRN>ALP>LNP,False,True,False,5.12381425872176
1_pass_through_original_fallback,GRIFFITH,GRN,ALP,ALP+GRN,0.514899,Griffith,GRN,ALP,ALP+GRN,0.5148986558730513,OTH>LNP>ON,True,True,True,3.4412694871477356e-05
1_pass_through_original_fallback,GROOM,LNP,IND,IND+LNP,0.534071,Groom,LNP,IND,IND+LNP,0.5219095063107788,OTH>GRN>ALP>ON,True,True,True,1.2161493689221148
1_pass_through_original_fallback,HASLUCK,ALP,ON,ALP+ON,0.608702,Hasluck,ALP,ON,ALP+ON,0.6087017537528149,OTH>LNP>GRN,True,True,True,2.4624718508725607e-05
1_pass_through_original_fallback,HAWKE,ON,ALP,ALP+ON,0.500249,Hawke,ALP,ON,ALP+ON,0.5027207409042119,GRN>OTH>LNP,False,False,True,0.2471740904211872
1_pass_through_original_fallback,HERBERT,LNP,ALP,ALP+LNP,0.6442659999999999,Herbert,LNP,ALP,ALP+LNP,0.6426126986848967,GRN>OTH>ON,True,True,True,0.16533013151032172
1_pass_through_original_fallback,HINDMARSH,ALP,ON,ALP+ON,0.623821,Hindmarsh,ALP,ON,ALP+ON,0.6152893788495815,OTH>LNP>GRN,True,True,True,0.85316211504185
1_pass_through_original_fallback,HINKLER,ON,LNP,LNP+ON,0.511697,Hinkler,ON,LNP,LNP+ON,0.5111296040509057,IND>GRN>OTH>ALP,True,True,True,0.05673959490942737
