division,division_key,state,classification,scenario,eliminated,alive_set,historical_votes_at_elimination,position_conflict,current_seat_evidence_weight,flow_total_variation_pp,max_recipient_shift_pp,largest_shift_recipient,largest_shift_direction,largest_shift_signed_pp,encountered_current_path,encountered_unshrunk_path,current_model_transfer_pct,estimated_current_round_effect_pp,local_ALP,local_LNP,local_GRN,local_ON,local_IND,local_OTH,current_ALP,current_LNP,current_GRN,current_ON,current_IND,current_OTH
Rankin,RANKIN,QLD,Outer metro,GRN|ALP+LNP,GRN,ALP+LNP,15334.0,False,0.49623399434240484,4.185783423394546,4.185783423394551,ALP,toward pooled evidence,4.185783423394551,False,False,,0.0,0.7128603104212861,0.2871396895787139,0.0,0.0,0.0,0.0,0.7547181446552316,0.24528185534476848,0.0,0.0,0.0,0.0
Hume,HUME,NSW,Outer metro,IND|ALP+GRN+LNP+ON,IND,ALP+GRN+LNP+ON,5615.0,False,0.49547153734336485,4.178353262826659,4.1783532628266675,GRN,toward pooled evidence,4.1783532628266675,False,False,,0.0,0.3357079252003562,0.1896705253784505,0.2176313446126447,0.2569902048085485,0.0,0.0,0.29594020591675296,0.18931826563064996,0.25941487724091133,0.25532665121168574,0.0,0.0
Werriwa,WERRIWA,NSW,Outer metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,9857.0,False,0.49210290739708495,4.160728271673866,2.806722429914804,ON,toward pooled evidence,2.806722429914804,False,True,,0.0,0.2094957897940549,0.2547428223597443,0.1916404585573703,0.3441209292888302,0.0,0.0,0.19497056880395378,0.22766076063310695,0.20518051697496104,0.3721881535879783,0.0,0.0
Spence,SPENCE,SA,Outer metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,12438.0,False,0.49210290739708495,4.145785586146497,3.884456626514611,LNP,toward pooled evidence,3.884456626514611,False,False,,0.0,0.1757517285737256,0.124939700916546,0.2382215790319987,0.4610869914777295,0.0,0.0,0.1783650181700445,0.16378426718169214,0.22810322179033954,0.4297474928579239,0.0,0.0
Isaacs,ISAACS,VIC,Outer metro,ON|ALP+GRN+LNP,ON,ALP+GRN+LNP,6434.0,False,0.4973863553484676,4.1253136344257495,4.125313634425753,LNP,away from local history,-4.125313634425753,False,False,,0.0,0.1513832763444202,0.6855766241840224,0.1630400994715573,0.0,0.0,0.0,0.1691200945032279,0.644323487839765,0.1865564176570071,0.0,0.0,0.0
Oxley,OXLEY,QLD,Outer metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,6486.0,False,0.49210290739708495,4.115835481603419,4.115835481603419,ON,away from local history,-4.115835481603419,True,True,4.733065635236653,0.19480519478264843,0.156490903484428,0.1884057971014492,0.1746839346284304,0.4804193647856922,0.0,0.0,0.16888671014473444,0.19501611763542603,0.19683616225018144,0.4392610099696581,0.0,0.0
Brisbane,BRISBANE,QLD,Inner metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,5726.0,False,0.49210290739708495,4.110290324603068,3.696248534874902,ON,away from local history,-3.696248534874902,True,True,4.393952798527274,0.18060421674549226,0.1440796367446734,0.2142857142857142,0.1943765281173594,0.4472581208522528,0.0,0.0,0.1637409517613692,0.2101452963884326,0.21581811634669434,0.4102956355035039,0.0,0.0
Durack,DURACK,WA,Rural,GRN|ALP+LNP+ON,GRN,ALP+LNP+ON,9362.0,False,0.4967857809627051,4.099887245221183,4.099887245221182,LNP,away from local history,-4.099887245221182,False,False,,0.0,0.6515701773125401,0.2589190343943602,0.0,0.0895107882930997,0.0,0.0,0.6716710965052631,0.2179201619421484,0.0,0.1104087415525885,0.0,0.0
Wills,WILLS,VIC,Inner metro,ON|ALP+GRN+LNP+OTH,ON,ALP+GRN+LNP+OTH,4740.0,False,0.48628650106215887,4.088068666675036,4.08806866667504,OTH,toward pooled evidence,4.08806866667504,False,False,,0.0,0.1514767932489451,0.5932489451476793,0.1,0.0,0.0,0.1552742616033755,0.1461785783887306,0.5589372883036674,0.09872918503747613,0.0,0.0,0.19615494827012592
Ryan,RYAN,QLD,Outer metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,6126.0,False,0.49210290739708495,4.073974773382825,4.0739747733828215,ON,away from local history,-4.0739747733828215,True,True,5.296357720417401,0.21577227743791857,0.1527913809990205,0.1968658178256611,0.1707476330395037,0.4795951681358145,0.0,0.0,0.16706616437368452,0.19917931843045034,0.19489909679387885,0.4388554204019864,0.0,0.0
