State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,RecipientModelCategory,ObservedExitShare,PassThroughShare,ShareDelta,AbsoluteShareDelta
NSW,107,Blaxland,OTH,6,2,ALP>LNP>GRN>ON>IND,LNP,0.1784741144414169,0.20027624309392264,0.021802128652505748,0.021802128652505748
NSW,107,Blaxland,OTH,6,2,ALP>LNP>GRN>ON>IND,ON,0.5395095367847411,0.4430939226519337,-0.09641561413280741,0.09641561413280741
NSW,108,Bradfield,ALP,3,6,LNP>IND,IND,0.6772073069471354,0.6772073069471354,0.0,0.0
NSW,108,Bradfield,ALP,3,6,LNP>IND,LNP,0.3227926930528647,0.3227926930528647,0.0,0.0
NSW,108,Bradfield,GRN,4,5,ALP>LNP>IND,ALP,0.46295219262533444,0.46295219262533444,0.0,0.0
NSW,108,Bradfield,GRN,4,5,ALP>LNP>IND,IND,0.4685355356519716,0.4685355356519716,0.0,0.0
NSW,108,Bradfield,GRN,4,5,ALP>LNP>IND,LNP,0.06851227172269396,0.06851227172269396,0.0,0.0
NSW,108,Bradfield,ON,6,3,ALP>LNP>GRN>IND>OTH,ALP,0.06183953033268102,0.06183953033268101,-6.938893903907228e-18,6.938893903907228e-18
NSW,108,Bradfield,ON,6,3,ALP>LNP>GRN>IND>OTH,GRN,0.0426614481409002,0.042661448140900206,6.938893903907228e-18,6.938893903907228e-18
NSW,108,Bradfield,ON,6,3,ALP>LNP>GRN>IND>OTH,IND,0.11859099804305284,0.11859099804305284,0.0,0.0
NSW,108,Bradfield,ON,6,3,ALP>LNP>GRN>IND>OTH,LNP,0.5996086105675147,0.5996086105675147,0.0,0.0
NSW,108,Bradfield,ON,6,3,ALP>LNP>GRN>IND>OTH,OTH,0.17729941291585127,0.17729941291585125,-2.7755575615628914e-17,2.7755575615628914e-17
NSW,108,Bradfield,OTH,5,4,ALP>LNP>GRN>IND,ALP,0.3385185185185185,0.27126638826162724,-0.06725213025689125,0.06725213025689125
NSW,108,Bradfield,OTH,5,4,ALP>LNP>GRN>IND,GRN,0.11314814814814815,0.13074077848102017,0.01759263033287202,0.01759263033287202
NSW,108,Bradfield,OTH,5,4,ALP>LNP>GRN>IND,IND,0.2922222222222222,0.26614482773108444,-0.026077394491137773,0.026077394491137773
NSW,108,Bradfield,OTH,5,4,ALP>LNP>GRN>IND,LNP,0.2561111111111111,0.3318480055262682,0.07573689441515707,0.07573689441515707
NSW,109,Calare,ALP,3,7,LNP>IND,IND,0.8529120022672524,0.8529120022672524,0.0,0.0
NSW,109,Calare,ALP,3,7,LNP>IND,LNP,0.14708799773274764,0.14708799773274764,0.0,0.0
NSW,109,Calare,GRN,6,4,ALP>LNP>ON>IND>OTH,ALP,0.27763627101375443,0.27763627101375443,0.0,0.0
NSW,109,Calare,GRN,6,4,ALP>LNP>ON>IND>OTH,IND,0.4431991849210392,0.4431991849210392,0.0,0.0
NSW,109,Calare,GRN,6,4,ALP>LNP>ON>IND>OTH,LNP,0.03769740193581253,0.03769740193581253,0.0,0.0
NSW,109,Calare,GRN,6,4,ALP>LNP>ON>IND>OTH,ON,0.03107488537952114,0.03107488537952114,0.0,0.0
NSW,109,Calare,GRN,6,4,ALP>LNP>ON>IND>OTH,OTH,0.21039225674987264,0.21039225674987264,0.0,0.0
NSW,109,Calare,ON,4,6,ALP>LNP>IND,ALP,0.06026956005764177,0.06026956005764177,0.0,0.0
NSW,109,Calare,ON,4,6,ALP>LNP>IND,IND,0.5139442231075697,0.5139442231075697,0.0,0.0
NSW,109,Calare,ON,4,6,ALP>LNP>IND,LNP,0.4257862168347885,0.4257862168347885,0.0,0.0
NSW,109,Calare,OTH,5,5,ALP>LNP>ON>IND,ALP,0.16187489109600975,0.11798974745771086,-0.04388514363829889,0.04388514363829889
NSW,109,Calare,OTH,5,5,ALP>LNP>ON>IND,IND,0.46454086077713885,0.38669865282303,-0.07784220795410884,0.07784220795410884
NSW,109,Calare,OTH,5,5,ALP>LNP>ON>IND,LNP,0.1134343962362781,0.15848540661981972,0.04505101038354162,0.04505101038354162
NSW,109,Calare,OTH,5,5,ALP>LNP>ON>IND,ON,0.26014985189057327,0.33682619309943934,0.07667634120886607,0.07667634120886607
NSW,111,Chifley,GRN,3,6,ALP>LNP,ALP,0.7911597437189547,0.7911597437189547,0.0,0.0
NSW,111,Chifley,GRN,3,6,ALP>LNP,LNP,0.20884025628104527,0.20884025628104527,0.0,0.0
NSW,111,Chifley,ON,4,5,ALP>LNP>GRN,ALP,0.22302334107295613,0.22302334107295613,0.0,0.0
