State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryCoverage,TotalVariationDistance,MaximumRecipientDelta,ObservedDominantRecipient,PassThroughDominantRecipient,DominantRecipientChanged
NSW,107,Blaxland,OTH,6,2,ALP>LNP>GRN>ON>IND,2,1,Mike Luo,OTH_LTP,RIGHT,0.5232044198895027,0.09641561413280741,0.09641561413280741,ON,ON,False
QLD,160,Fairfax,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,Rhys Sanderson,OTH_FFPA,RIGHT,0.43872154518280065,0.09638643760231543,0.09417067934716017,ON,ON,False
NSW,114,Cunningham,OTH,5,2,ALP>LNP>GRN>ON,2,1,Tim Lavers,OTH_AJP,CENTRE_LEFT,0.6478214665249734,0.09398999772122865,0.09398999772122862,GRN,GRN,False
VIC,320,Cooper,OTH,4,3,ALP>LNP>GRN,2,1,Kath Larkin,OTH_VNS,LEFT,0.6751573269403656,0.09375589867128482,0.09375589867128487,GRN,GRN,False
VIC,223,La Trobe,OTH,5,2,ALP>LNP>GRN>ON,2,1,Gregory Thomas Hardiman,OTH_CYA,RIGHT,0.5600710900473934,0.09362552082587591,0.09017160407210667,ON,ON,False
NSW,108,Bradfield,OTH,5,4,ALP>LNP>GRN>IND,3,2,Andy Yin,IND_MINOR,CENTRE,0.6461731493099122,0.09332952474802905,0.07573689441515707,ALP,LNP,True
VIC,228,Melbourne,OTH,4,4,ALP>LNP>GRN,3,2,Anthony Koutoufides,IND_MINOR,CENTRE,0.47501853224610824,0.09277288171265634,0.09277288171265635,LNP,LNP,False
NSW,115,Dobell,OTH,5,4,ALP>LNP>GRN>ON,4,3,Tim Claydon,OTH_HMP,CENTRE_LEFT,0.45683621091927207,0.09109232777605558,0.07276322086748777,ALP,ON,True
VIC,321,Fraser,OTH,4,3,ALP>LNP>GRN,2,1,Jasmine Duff,OTH_VNS,LEFT,0.596,0.09069656785588637,0.09069656785588642,GRN,GRN,False
TAS,196,Lyons,OTH,5,4,ALP>LNP>GRN>ON,4,3,Carlo Di Falco,OTH_ASP,CENTRE_RIGHT,0.3432969215491559,0.089538359249906,0.0861077034518303,ON,ON,False
QLD,161,Fisher,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,James Pidgeon,OTH_GRPF,RIGHT,0.49222849222849224,0.08839791351002113,0.08839791351002113,ON,ON,False
SA,182,Boothby,OTH,5,2,ALP>LNP>GRN>ON,2,1,Nicole Hussey,OTH_CYA,RIGHT,0.5802535261560435,0.08415046540916918,0.08415046540916915,ON,ON,False
NSW,138,Page,OTH,5,7,ALP>LNP>GRN>ON,7,6,Donna Lee Pike,OTH_CYA,RIGHT,0.21820346803601995,0.08152266417620342,0.08152266417620344,ON,ON,False
SA,190,Sturt,OTH,6,2,ALP>LNP>GRN>ON>IND,2,1,Nicholas Duffield,OTH_CYA,RIGHT,0.5282433271260087,0.07954681368395794,0.05807011931955686,ON,ON,False
NSW,126,Hunter,OTH,5,5,ALP>LNP>GRN>ON,5,4,Andrew David Fenwick,OTH_HMP,CENTRE_LEFT,0.34266497000545354,0.07898674673835789,0.07898674673835787,ON,ON,False
VIC,326,Hawke,OTH,5,3,ALP>LNP>GRN>ON,3,2,Devon Starbuck,OTH_HMP,CENTRE_LEFT,0.4462161696259266,0.07636028700483749,0.06994974213646532,GRN,GRN,False
NSW,111,Chifley,OTH,5,4,ALP>LNP>GRN>ON,4,3,Jamie Green,OTH_FFPA,RIGHT,0.5005158990713817,0.07614570527349694,0.07614570527349696,GRN,GRN,False
QLD,175,Petrie,OTH,5,2,ALP>LNP>GRN>ON,2,1,Ryan Mensink,OTH_CYA,RIGHT,0.5572074215033301,0.07571703466736394,0.0757170346673639,ON,ON,False
NT,306,Lingiari,OTH,5,2,ALP>LNP>GRN>ON,2,1,Chris Tomlins,OTH_IAP,LEFT,0.563061137238136,0.07545118211228298,0.06119895551747778,GRN,ALP,True
SA,180,Barker,OTH,5,6,ALP>LNP>GRN>ON,5,4,Cody Scholes,IND_MINOR,CENTRE_LEFT,0.24418987967694084,0.07343164428394107,0.07142960964979031,ON,ON,False
VIC,203,Calwell,OTH,6,6,ALP>LNP>GRN>ON>IND,6,5,Gianni Del Rosario-Makridis,OTH_HMP,CENTRE_LEFT,0.25906688536540917,0.07292562027905695,0.07292562027905694,IND,IND,False
NSW,251,Watson,OTH,5,5,ALP>LNP>GRN>IND,4,3,Vanessa Hadchiti,OTH_LTP,RIGHT,0.43381277425646025,0.07291325410784578,0.06905904585851166,IND,LNP,True
NSW,104,Barton,OTH,5,2,ALP>LNP>GRN>ON,2,1,Thomas Pambris,OTH_CYA,RIGHT,0.5273054057790681,0.07202998092591864,0.06637979944000216,ON,ON,False
NT,307,Solomon,OTH,6,2,ALP>LNP>GRN>ON>IND,2,1,Janey Davies,IND_MINOR,CENTRE,0.668918918918919,0.07021240641930296,0.07021240641930299,IND,IND,False
NSW,140,Parramatta,OTH,5,4,ALP>LNP>GRN>ON,4,3,Ganesh Loke,OTH_CYA,RIGHT,0.3770820481184454,0.06969401122619329,0.06218066838928915,ON,ON,False
NSW,131,Macarthur,OTH,5,3,ALP>LNP>GRN>ON,3,2,Graham Ernest Charlesworth,OTH_FFPA,RIGHT,0.49101796407185627,0.06934757178100276,0.05899587028393244,ON,ON,False
NSW,139,Parkes,OTH,4,7,ALP>LNP>ON,6,5,Stephen Pope,OTH_ASP,CENTRE_RIGHT,0.31339901022154387,0.06910918275234763,0.06910918275234762,ON,ON,False
QLD,172,Moncrieff,OTH,6,4,ALP>LNP>GRN>ON>IND,4,3,Vic Naicker,OTH_CYA,RIGHT,0.3816901408450704,0.06733583599805026,0.06029101346011687,ON,ON,False
VIC,200,Bendigo,OTH,5,5,ALP>LNP>GRN>ON,5,4,Wayne Taylor,OTH_HMP,CENTRE_LEFT,0.34513274336283184,0.06586180548477943,0.06261417918200879,GRN,GRN,False
NSW,118,Farrer,OTH,6,4,ALP>LNP>GRN>ON>IND,4,3,Peter Sinclair,OTH_ASP,CENTRE_RIGHT,0.3468101609462866,0.06541942849849272,0.06541942849849275,ON,ON,False
VIC,211,Flinders,OTH,6,2,ALP>LNP>GRN>ON>IND,2,1,Jason Smart,OTH_CYA,RIGHT,0.7623666343355965,0.06483811200866614,0.04644161378568196,ON,ON,False
WA,239,Forrest,OTH,6,3,ALP>LNP>GRN>ON>IND,2,1,Aaron Peet,OTH_HMP,CENTRE_LEFT,0.7850367197062423,0.06438266194605055,0.06438266194605058,ON,ON,False
QLD,302,Longman,OTH,5,2,ALP>LNP>GRN>ON,2,1,Benjamin Wood,OTH_CYA,RIGHT,0.5617081182543406,0.06294614633257858,0.06294614633257856,ON,ON,False
VIC,216,Holt,OTH,5,2,ALP>LNP>GRN>ON,2,1,Shane Foreman,OTH_FFPA,RIGHT,0.5221550855991943,0.059973114986947074,0.05735197261138095,ON,GRN,True
NSW,128,Lindsay,OTH,5,6,ALP>LNP>GRN>ON,6,5,Antony Victor Emmanuel,OTH_FFPA,RIGHT,0.21002698233092523,0.05988123377284456,0.059184095199366626,ON,ON,False
TAS,192,Bass,OTH,6,2,ALP>LNP>GRN>ON>IND,2,1,Ray Broomhall,OTH_CYA,RIGHT,0.7653949129852744,0.05389373586299218,0.041982745798006815,ON,ON,False
QLD,163,Griffith,OTH,5,3,ALP>LNP>GRN>ON,3,2,Dion Hunt,OTH_GRPF,RIGHT,0.4817991233085573,0.0523119079457737,0.05231190794577367,ON,ON,False
VIC,201,Bruce,OTH,5,4,ALP>LNP>GRN>ON,4,3,Wendy Birchall,OTH_FFPA,RIGHT,0.3335983463189696,0.05167128894837321,0.04490628783141662,ON,ON,False
NSW,146,Robertson,OTH,5,3,ALP>LNP>GRN>ON,3,2,Tom Lillicrap,OTH_HMP,CENTRE_LEFT,0.38555678059536935,0.05161029533679384,0.04542677576648024,GRN,ON,True
