division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_pct,division,winner,runner_up,final_two,winner_pct,winner_match,runner_up_match,final_two_match,winner_diff_pp
HINKLER,ON,LNP,LNP+ON,51.1697,Hinkler,LNP,ON,LNP+ON,0.5118980330514106,False,False,True,0.020103305141056182
ASTON,ALP,LNP,ALP+LNP,50.6575,Aston,ALP,LNP,ALP+LNP,0.5064343619734358,True,True,True,0.014063802656416158
BARKER,LNP,ON,LNP+ON,58.4741,Barker,LNP,ON,LNP+ON,0.5846348691034542,True,True,True,0.010613089654583518
MARANOA,LNP,ON,LNP+ON,55.6908,Maranoa,LNP,ON,LNP+ON,0.5569967496972485,True,True,True,0.008874969724850246
INDI,IND,ON,IND+ON,55.0648,Indi,IND,ON,IND+ON,0.5507025364756084,True,True,True,0.005453647560841546
FRASER,ALP,GRN,ALP+GRN,53.302,Fraser,ALP,GRN,ALP+GRN,0.5330195128198036,True,True,True,4.871801963446387e-05
FOWLER,IND,ALP,ALP+IND,56.3923,Fowler,IND,ALP,ALP+IND,0.5639234824776246,True,True,True,4.824776245726525e-05
SWAN,ALP,ON,ALP+ON,61.0995,Swan,ALP,ON,ALP+ON,0.6109954682113711,True,True,True,4.6821137111408007e-05
MORETON,ALP,ON,ALP+ON,63.2397,Moreton,ALP,ON,ALP+ON,0.6323965340806427,True,True,True,4.659193573530729e-05
HOTHAM,ALP,ON,ALP+ON,63.3213,Hotham,ALP,ON,ALP+ON,0.633212547718207,True,True,True,4.522817930308065e-05
WILLS,GRN,ALP,ALP+GRN,53.2178,Wills,GRN,ALP,ALP+GRN,0.5321784432806355,True,True,True,4.4328063552256936e-05
GRIFFITH,GRN,ALP,ALP+GRN,51.4899,Griffith,GRN,ALP,ALP+GRN,0.5148986558730513,True,True,True,3.441269487325371e-05
LILLEY,ALP,ON,ALP+ON,61.4372,Lilley,ALP,ON,ALP+ON,0.614372335202539,True,True,True,3.3520253900576336e-05
BARTON,ALP,ON,ALP+ON,60.8743,Barton,ALP,ON,ALP+ON,0.6087426909050562,True,True,True,3.090949437734025e-05
CHIFLEY,ALP,ON,ALP+ON,64.268,Chifley,ALP,ON,ALP+ON,0.6426797196654187,True,True,True,2.8033458136178524e-05
MAKIN,ALP,ON,ALP+ON,60.4618,Makin,ALP,ON,ALP+ON,0.6046182542753366,True,True,True,2.5427533657307322e-05
GELLIBRAND,ALP,ON,ALP+ON,62.0021,Gellibrand,ALP,ON,ALP+ON,0.620020745983046,True,True,True,2.5401695395999013e-05
HASLUCK,ALP,ON,ALP+ON,60.8702,Hasluck,ALP,ON,ALP+ON,0.6087017537528149,True,True,True,2.4624718506061072e-05
COOPER,ALP,GRN,ALP+GRN,58.3818,Cooper,ALP,GRN,ALP+GRN,0.5838182401471897,True,True,True,2.4014718974285643e-05
SYDNEY,ALP,GRN,ALP+GRN,63.56,Sydney,ALP,GRN,ALP+GRN,0.6356002327399555,True,True,True,2.3273995545025628e-05
RYAN,GRN,LNP,GRN+LNP,54.4456,Ryan,GRN,LNP,GRN+LNP,0.5444557840733005,True,True,True,2.1592669945391663e-05
PARKES,ON,LNP,LNP+ON,51.8501,Parkes,ON,LNP,LNP+ON,0.5185007907135473,True,True,True,2.0928645270146262e-05
CUNNINGHAM,ALP,ON,ALP+ON,61.5949,Cunningham,ALP,ON,ALP+ON,0.6159487920202863,True,True,True,2.0797971373553992e-05
MACARTHUR,ALP,ON,ALP+ON,59.0806,Macarthur,ALP,ON,ALP+ON,0.5908062028919843,True,True,True,2.0289198431555633e-05
SCULLIN,ALP,ON,ALP+ON,56.9373,Scullin,ALP,ON,ALP+ON,0.5693727977201994,True,True,True,2.0227980058962203e-05
RANKIN,ALP,ON,ALP+ON,60.6254,Rankin,ALP,ON,ALP+ON,0.6062538110303927,True,True,True,1.889696073220648e-05
CALWELL,ALP,ON,ALP+ON,61.6555,Calwell,ALP,ON,ALP+ON,0.6165551627239251,True,True,True,1.627239250723278e-05
SPENCE,ALP,ON,ALP+ON,58.6643,Spence,ALP,ON,ALP+ON,0.586643162663963,True,True,True,1.6266396301034547e-05
WENTWORTH,IND,LNP,IND+LNP,59.8899,Wentworth,IND,LNP,IND+LNP,0.5988988379481364,True,True,True,1.620518636258339e-05
WATSON,ALP,IND,ALP+IND,63.6178,Watson,ALP,IND,ALP+IND,0.6361778939394057,True,True,True,1.0606059433371229e-05
KOOYONG,IND,LNP,IND+LNP,53.6718,Kooyong,IND,LNP,IND+LNP,0.5367180965697974,True,True,True,9.656979742089788e-06
ADELAIDE,ALP,ON,ALP+ON,64.8834,Adelaide,ALP,ON,ALP+ON,0.6488339115438818,True,True,True,8.845611816354904e-06
KENNEDY,OTH,ON,ON+OTH,69.5107,Kennedy,OTH,ON,ON+OTH,0.6951069221003443,True,True,True,7.789965565052626e-06
HUNTER,ALP,ON,ALP+ON,50.8983,Hunter,ALP,ON,ALP+ON,0.5089829266515445,True,True,True,7.334845541606683e-06
BRAND,ALP,ON,ALP+ON,60.2546,Brand,ALP,ON,ALP+ON,0.602546046934246,True,True,True,4.693424592971951e-06
BURT,ALP,ON,ALP+ON,60.589,Burt,ALP,ON,ALP+ON,0.6058900042576681,True,True,True,4.257668138052395e-07
