Seat,Eliminated,ReportedAliveSet,AliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
Farrer,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+IND+ALP
Farrer,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+IND+ALP
Fenner,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Fenner,OTH,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Fisher,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Fisher,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+IND
Fisher,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+IND
Fisher,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+IND
Flinders*,ALP,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+IND+ALP
Flinders*,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+IND+ALP
Flinders*,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,LNP+IND+ALP
Flinders*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+IND+ALP
Flynn,GRN,ALP+LNP+ON+OTH,ALP+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Flynn,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Flynn,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Flynn,OTH,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
