Seat,Eliminated,AliveSet,Recipient,Votes,Share, ,division_key,ReportedAliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
Gippsland,OTH,ALP+GRN+LNP+ON,ON,1421.0,0.415983606557377,,GIPPSLAND,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Monash*,GRN,ALP+IND+LNP+ON+OTH,ALP,2238.0,0.3611424883007907,,MONASH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+IND
Monash*,GRN,ALP+IND+LNP+ON+OTH,LNP,307.0,0.0495401000484105,,MONASH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+IND
Monash*,GRN,ALP+IND+LNP+ON+OTH,ON,295.0,0.0476036791996127,,MONASH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+IND
Monash*,GRN,ALP+IND+LNP+ON+OTH,IND,2968.0,0.4789414232693239,,MONASH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+IND
Monash*,GRN,ALP+IND+LNP+ON+OTH,OTH,389.0,0.0627723091818621,,MONASH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+IND
Monash*,ON,ALP+IND+LNP+OTH,ALP,1641.0,0.1539110861001688,,MONASH,ALP+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,5,LNP+ALP+IND
Monash*,ON,ALP+IND+LNP+OTH,LNP,3191.0,0.2992871881448133,,MONASH,ALP+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,5,LNP+ALP+IND
Monash*,ON,ALP+IND+LNP+OTH,IND,1390.0,0.1303695366722941,,MONASH,ALP+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,5,LNP+ALP+IND
Monash*,ON,ALP+IND+LNP+OTH,OTH,4440.0,0.4164321890827236,,MONASH,ALP+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,5,LNP+ALP+IND
Monash*,OTH,ALP+GRN+IND+LNP+ON,ALP,3776.0,0.1747662686290845,,MONASH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,True,3,LNP+ALP+IND
Monash*,OTH,ALP+GRN+IND+LNP+ON,LNP,10947.0,0.5066648153290753,,MONASH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,True,3,LNP+ALP+IND
Monash*,OTH,ALP+GRN+IND+LNP+ON,GRN,1135.0,0.0525317041562528,,MONASH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,True,3,LNP+ALP+IND
Monash*,OTH,ALP+GRN+IND+LNP+ON,ON,1421.0,0.0657687679348329,,MONASH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,True,3,LNP+ALP+IND
Monash*,OTH,ALP+GRN+IND+LNP+ON,IND,4327.0,0.2002684439507544,,MONASH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,True,3,LNP+ALP+IND
Indi*,ALP,IND+LNP+ON,LNP,1528.0,0.1427237063328974,,INDI,IND+LNP+ON,positive_recipients_validated_against_3cp,False,4,IND+LNP+ON
Indi*,ALP,IND+LNP+ON,ON,1359.0,0.1269381655146646,,INDI,IND+LNP+ON,positive_recipients_validated_against_3cp,False,4,IND+LNP+ON
Indi*,ALP,IND+LNP+ON,IND,7819.0,0.7303381281524379,,INDI,IND+LNP+ON,positive_recipients_validated_against_3cp,False,4,IND+LNP+ON
Indi*,GRN,ALP+IND+LNP+ON,ALP,1237.0,0.2469061876247505,,INDI,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,IND+LNP+ON
Indi*,GRN,ALP+IND+LNP+ON,LNP,300.0,0.059880239520958,,INDI,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,IND+LNP+ON
Indi*,GRN,ALP+IND+LNP+ON,ON,668.0,0.1333333333333333,,INDI,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,IND+LNP+ON
Indi*,GRN,ALP+IND+LNP+ON,IND,2805.0,0.5598802395209581,,INDI,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,IND+LNP+ON
Indi*,ON,IND+LNP,LNP,8018.0,0.6334834478944458,,INDI,IND+LNP,positive_recipients_validated_against_3cp,False,3,IND+LNP+ON
Indi*,ON,IND+LNP,IND,4639.0,0.3665165521055542,,INDI,IND+LNP,positive_recipients_validated_against_3cp,False,3,IND+LNP+ON
Indi*,OTH,ALP+GRN+IND+LNP+ON,ALP,645.0,0.0778139703221136,,INDI,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ON
Indi*,OTH,ALP+GRN+IND+LNP+ON,LNP,1426.0,0.1720352274098202,,INDI,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ON
Indi*,OTH,ALP+GRN+IND+LNP+ON,GRN,1171.0,0.1412715647243334,,INDI,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ON
Indi*,OTH,ALP+GRN+IND+LNP+ON,ON,3019.0,0.364217637833273,,INDI,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ON
Indi*,OTH,ALP+GRN+IND+LNP+ON,IND,2028.0,0.2446615997104596,,INDI,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ON
McEwen,GRN,ALP+LNP,ALP,13788.0,0.7558381756386361,,MCEWEN,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
McEwen,GRN,ALP+LNP,LNP,4454.0,0.2441618243613638,,MCEWEN,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
McEwen,ON,ALP+GRN+LNP,ALP,2064.0,0.1818662437219138,,MCEWEN,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
McEwen,ON,ALP+GRN+LNP,LNP,6963.0,0.6135342320909332,,MCEWEN,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
McEwen,ON,ALP+GRN+LNP,GRN,2322.0,0.204599524187153,,MCEWEN,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
McEwen,OTH,ALP+GRN+LNP+ON,ALP,2357.0,0.180834739911002,,MCEWEN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
McEwen,OTH,ALP+GRN+LNP+ON,LNP,1888.0,0.1448519257326991,,MCEWEN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
McEwen,OTH,ALP+GRN+LNP+ON,GRN,4309.0,0.330596900414301,,MCEWEN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
McEwen,OTH,ALP+GRN+LNP+ON,ON,4480.0,0.3437164339419978,,MCEWEN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Nicholls,GRN,ALP+LNP+ON,ALP,6303.0,0.6829558998808105,,NICHOLLS,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4,LNP+ALP+ON
Nicholls,GRN,ALP+LNP+ON,LNP,2053.0,0.2224509697692057,,NICHOLLS,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4,LNP+ALP+ON
Nicholls,GRN,ALP+LNP+ON,ON,873.0,0.0945931303499837,,NICHOLLS,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4,LNP+ALP+ON
Nicholls,ON,ALP+LNP,ALP,3885.0,0.2142384471159148,,NICHOLLS,ALP+LNP,positive_recipients_validated_against_3cp,False,3,LNP+ALP+ON
Nicholls,ON,ALP+LNP,LNP,14249.0,0.7857615528840851,,NICHOLLS,ALP+LNP,positive_recipients_validated_against_3cp,False,3,LNP+ALP+ON
Nicholls,OTH,ALP+GRN+LNP+ON,ALP,1815.0,0.168086682719022,,NICHOLLS,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Nicholls,OTH,ALP+GRN+LNP+ON,LNP,2823.0,0.2614373032042971,,NICHOLLS,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Nicholls,OTH,ALP+GRN+LNP+ON,GRN,994.0,0.0920540840896462,,NICHOLLS,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Nicholls,OTH,ALP+GRN+LNP+ON,ON,5166.0,0.4784219299870346,,NICHOLLS,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Mallee,GRN,ALP+LNP+ON,ALP,6473.0,0.5928741527752336,,MALLEE,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4,LNP+ALP+ON
Mallee,GRN,ALP+LNP+ON,LNP,3498.0,0.3203883495145631,,MALLEE,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4,LNP+ALP+ON
Mallee,GRN,ALP+LNP+ON,ON,947.0,0.0867374977102033,,MALLEE,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4,LNP+ALP+ON
Mallee,ON,ALP+LNP,ALP,4200.0,0.2398766348734936,,MALLEE,ALP+LNP,positive_recipients_validated_against_3cp,False,3,LNP+ALP+ON
Mallee,ON,ALP+LNP,LNP,13309.0,0.7601233651265064,,MALLEE,ALP+LNP,positive_recipients_validated_against_3cp,False,3,LNP+ALP+ON
Mallee,OTH,ALP+GRN+LNP+ON,ALP,1598.0,0.1398809523809523,,MALLEE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Mallee,OTH,ALP+GRN+LNP+ON,LNP,3237.0,0.2833508403361344,,MALLEE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Mallee,OTH,ALP+GRN+LNP+ON,GRN,1441.0,0.1261379551820728,,MALLEE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Mallee,OTH,ALP+GRN+LNP+ON,ON,5148.0,0.4506302521008403,,MALLEE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+ON
Wannon,ALP,IND+LNP,LNP,4341.0,0.2967596390484003,,WANNON,IND+LNP,positive_recipients_validated_against_3cp,False,3,LNP+IND+ALP
Wannon,ALP,IND+LNP,IND,10287.0,0.7032403609515997,,WANNON,IND+LNP,positive_recipients_validated_against_3cp,False,3,LNP+IND+ALP
Wannon,GRN,ALP+IND+LNP+ON,ALP,1262.0,0.291320406278855,,WANNON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+IND+ALP
Wannon,GRN,ALP+IND+LNP+ON,LNP,347.0,0.080101569713758,,WANNON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+IND+ALP
Wannon,GRN,ALP+IND+LNP+ON,ON,341.0,0.0787165281625115,,WANNON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+IND+ALP
Wannon,GRN,ALP+IND+LNP+ON,IND,2382.0,0.5498614958448753,,WANNON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+IND+ALP
Wannon,ON,ALP+IND+LNP,ALP,996.0,0.1346127855115556,,WANNON,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4,LNP+IND+ALP
Wannon,ON,ALP+IND+LNP,LNP,4302.0,0.5814299229625625,,WANNON,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4,LNP+IND+ALP
Wannon,ON,ALP+IND+LNP,IND,2101.0,0.2839572915258819,,WANNON,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4,LNP+IND+ALP
Wannon,OTH,ALP+GRN+IND+LNP+ON,ALP,748.0,0.1054412179306456,,WANNON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,LNP+IND+ALP
Wannon,OTH,ALP+GRN+IND+LNP+ON,LNP,1349.0,0.1901606991824076,,WANNON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,LNP+IND+ALP
Wannon,OTH,ALP+GRN+IND+LNP+ON,GRN,863.0,0.1216521003665069,,WANNON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,LNP+IND+ALP
Wannon,OTH,ALP+GRN+IND+LNP+ON,ON,2447.0,0.3449393853961094,,WANNON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,LNP+IND+ALP
Wannon,OTH,ALP+GRN+IND+LNP+ON,IND,1687.0,0.2378065971243304,,WANNON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,LNP+IND+ALP
Brisbane,GRN,ALP+LNP,ALP,27897.0,0.9140563564875492,,BRISBANE,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Brisbane,GRN,ALP+LNP,LNP,2623.0,0.0859436435124508,,BRISBANE,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Brisbane,ON,ALP+GRN+LNP,ALP,966.0,0.1802575107296137,,BRISBANE,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Brisbane,ON,ALP+GRN+LNP,LNP,3649.0,0.6809106176525471,,BRISBANE,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Brisbane,ON,ALP+GRN+LNP,GRN,744.0,0.1388318716178391,,BRISBANE,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Brisbane,OTH,ALP+GRN+LNP+ON,ALP,825.0,0.1440796367446734,,BRISBANE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Brisbane,OTH,ALP+GRN+LNP+ON,LNP,1227.0,0.2142857142857142,,BRISBANE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Brisbane,OTH,ALP+GRN+LNP+ON,GRN,1113.0,0.1943765281173594,,BRISBANE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Brisbane,OTH,ALP+GRN+LNP+ON,ON,2561.0,0.4472581208522528,,BRISBANE,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Lilley,GRN,ALP+LNP,ALP,17163.0,0.884189377157282,,LILLEY,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Lilley,GRN,ALP+LNP,LNP,2248.0,0.115810622842718,,LILLEY,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Lilley,ON,ALP+GRN+LNP,ALP,1195.0,0.1598020861192832,,LILLEY,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Lilley,ON,ALP+GRN+LNP,LNP,4929.0,0.6591334581438888,,LILLEY,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Lilley,ON,ALP+GRN+LNP,GRN,1354.0,0.181064455736828,,LILLEY,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Lilley,OTH,ALP+GRN+LNP+ON,ALP,1090.0,0.1855635001702417,,LILLEY,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Lilley,OTH,ALP+GRN+LNP+ON,LNP,1028.0,0.1750085120871637,,LILLEY,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Lilley,OTH,ALP+GRN+LNP+ON,GRN,763.0,0.1298944501191692,,LILLEY,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Lilley,OTH,ALP+GRN+LNP+ON,ON,2993.0,0.5095335376234252,,LILLEY,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
