Seat,Eliminated,AliveSet,Recipient,Votes,Share, 
Mackellar*,ON,ALP|GRN|IND|LNP,LNP,3467.0,0.6176732585070372,
Mackellar*,ON,ALP|GRN|IND|LNP,GRN,857.0,0.15268127561019063,
Mackellar*,ON,ALP|GRN|IND|LNP,IND,957.0,0.17049706039551044,
Mackellar*,OTH,ALP|GRN|IND|LNP|ON,ALP,439.0,0.06716646266829865,
Mackellar*,OTH,ALP|GRN|IND|LNP|ON,LNP,1385.0,0.2119033047735618,
Mackellar*,OTH,ALP|GRN|IND|LNP|ON,GRN,537.0,0.08216034271725826,
Mackellar*,OTH,ALP|GRN|IND|LNP|ON,ON,2788.0,0.4265605875152999,
Mackellar*,OTH,ALP|GRN|IND|LNP|ON,IND,1387.0,0.21220930232558138,
Mitchell,GRN,ALP|LNP,ALP,12795.0,0.7932915865831731,
Mitchell,GRN,ALP|LNP,LNP,3334.0,0.20670841341682683,
Mitchell,ON,ALP|GRN|LNP,ALP,1051.0,0.1740354363305183,
Mitchell,ON,ALP|GRN|LNP,LNP,4174.0,0.6911740354363305,
Mitchell,ON,ALP|GRN|LNP,GRN,814.0,0.13479052823315119,
Mitchell,OTH,ALP|GRN|LNP|ON,ALP,362.0,0.13532710280373833,
Mitchell,OTH,ALP|GRN|LNP|ON,LNP,683.0,0.2553271028037383,
Mitchell,OTH,ALP|GRN|LNP|ON,GRN,271.0,0.10130841121495326,
Mitchell,OTH,ALP|GRN|LNP|ON,ON,1359.0,0.5080373831775701,
Chifley,GRN,ALP|LNP,ALP,10990.0,0.7911597437189547,
Chifley,GRN,ALP|LNP,LNP,2901.0,0.20884025628104527,
Chifley,ON,ALP|GRN|LNP,ALP,1825.0,0.22302334107295613,
Chifley,ON,ALP|GRN|LNP,LNP,4629.0,0.5656849566173775,
Chifley,ON,ALP|GRN|LNP,GRN,1729.0,0.21129170230966637,
Chifley,IND,ALP|GRN|LNP|ON|OTH,ALP,301.0,0.19815668202764977,
Chifley,IND,ALP|GRN|LNP|ON|OTH,LNP,151.0,0.09940750493745885,
Chifley,IND,ALP|GRN|LNP|ON|OTH,GRN,214.0,0.14088215931533904,
Chifley,IND,ALP|GRN|LNP|ON|OTH,ON,151.0,0.09940750493745885,
Chifley,IND,ALP|GRN|LNP|ON|OTH,OTH,702.0,0.4621461487820935,
Chifley,OTH,ALP|GRN|LNP|ON,ALP,2246.0,0.22815928484355952,
Chifley,OTH,ALP|GRN|LNP|ON,LNP,1680.0,0.17066233238520925,
Chifley,OTH,ALP|GRN|LNP|ON,GRN,3224.0,0.32750914262494923,
Chifley,OTH,ALP|GRN|LNP|ON,ON,2694.0,0.273669240146282,
Fowler,LNP,ALP|IND,ALP,4183.0,0.304705710955711,
Fowler,LNP,ALP|IND,IND,9545.0,0.695294289044289,
Fowler,GRN,ALP|IND|LNP,ALP,3760.0,0.5015339469120982,
Fowler,GRN,ALP|IND|LNP,LNP,642.0,0.08563425370148059,
Fowler,GRN,ALP|IND|LNP,IND,3095.0,0.4128317993864212,
Fowler,ON,ALP|GRN|IND|LNP|OTH,ALP,489.0,0.12152087475149105,
Fowler,ON,ALP|GRN|IND|LNP|OTH,LNP,895.0,0.2224155069582505,
Fowler,ON,ALP|GRN|IND|LNP|OTH,GRN,405.0,0.10064612326043737,
Fowler,ON,ALP|GRN|IND|LNP|OTH,IND,1165.0,0.28951292246520877,
Fowler,ON,ALP|GRN|IND|LNP|OTH,OTH,1070.0,0.2659045725646123,
Fowler,OTH,ALP|GRN|IND|LNP,ALP,664.0,0.10352354225132522,
Fowler,OTH,ALP|GRN|IND|LNP,LNP,829.0,0.12924851886498284,
Fowler,OTH,ALP|GRN|IND|LNP,GRN,823.0,0.12831306516994076,
Fowler,OTH,ALP|GRN|IND|LNP,IND,4098.0,0.6389148737137512,
Greenway,GRN,ALP|LNP,ALP,10609.0,0.7577315906006714,
Greenway,GRN,ALP|LNP,LNP,3392.0,0.24226840939932862,
