division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_pct,division,winner,runner_up,final_two,winner_pct,winner_match,runner_up_match,final_two_match,winner_diff_pp
BURT,ALP,ON,ALP+ON,60.589,Burt,ALP,ON,ALP+ON,0.6188219624425311,True,True,True,1.2931962442531102
GORTON,ALP,ON,ALP+ON,56.0268,Gorton,ALP,ON,ALP+ON,0.5724709932098442,True,True,True,1.2202993209844166
COWPER,LNP,IND,IND+LNP,51.2441,Cowper,LNP,IND,IND+LNP,0.524428565803576,True,True,True,1.1987565803575961
BRAND,ALP,ON,ALP+ON,60.2546,Brand,ALP,ON,ALP+ON,0.6143470912224663,True,True,True,1.180109122246627
FAIRFAX,LNP,ALP,ALP+LNP,57.6867,Fairfax,LNP,ALP,ALP+LNP,0.5886636516540539,True,True,True,1.179665165405389
WERRIWA,ALP,LNP,ALP+LNP,54.7276,Werriwa,ALP,ON,ALP+ON,0.5590056851003368,True,False,False,1.1729685100336766
CALARE,ON,IND,IND+ON,50.6838,Calare,IND,ON,IND+ON,0.5183419605829748,False,False,True,1.1503960582974813
MONCRIEFF,LNP,ALP,ALP+LNP,60.1565,Moncrieff,LNP,ALP,ALP+LNP,0.5900801293640958,True,True,True,1.1484870635904159
WARRINGAH,IND,LNP,IND+LNP,60.8459,Warringah,IND,LNP,IND+LNP,0.6196225397502897,True,True,True,1.1163539750289715
CHISHOLM,ALP,LNP,ALP+LNP,55.0457,Chisholm,ALP,LNP,ALP+LNP,0.5615130709772774,True,True,True,1.1056070977277486
DAWSON,LNP,ON,LNP+ON,51.7289,Dawson,LNP,ON,LNP+ON,0.5277820307263799,True,True,True,1.0493030726379828
MCMAHON,ALP,ON,ALP+ON,56.845,McMahon,ALP,ON,ALP+ON,0.578174742443959,True,True,True,0.9724742443959045
DOBELL,ALP,ON,ALP+ON,53.7111,Dobell,ALP,ON,ALP+ON,0.5274246721926266,True,True,True,0.9686327807373445
CAPRICORNIA,ON,ALP,ALP+ON,60.0421,Capricornia,ON,ALP,ALP+ON,0.6100525877233003,True,True,True,0.9631587723300328
ISAACS,ALP,ON,ALP+ON,61.7935,Isaacs,ALP,ON,ALP+ON,0.6270349362932536,True,True,True,0.9099936293253563
CLARK,IND,GRN,GRN+IND,68.8768,Clark,IND,GRN,GRN+IND,0.6976580763928222,True,True,True,0.8890076392822124
BRUCE,ALP,ON,ALP+ON,56.7583,Bruce,ALP,ON,ALP+ON,0.5761893438893282,True,True,True,0.860634388932823
LA TROBE,LNP,ALP,ALP+LNP,55.5296,La Trobe,LNP,ALP,ALP+LNP,0.547064541389629,True,True,True,0.8231458610370979
DUNKLEY,ALP,ON,ALP+ON,55.2569,Dunkley,ALP,ON,ALP+ON,0.5607213565577653,True,True,True,0.815235655776533
BLAIR,ON,ALP,ALP+ON,52.5598,Blair,ON,ALP,ALP+ON,0.5337389694227489,True,True,True,0.8140969422748867
GIPPSLAND,LNP,ON,LNP+ON,57.9957,Gippsland,LNP,ON,LNP+ON,0.5880755747404816,True,True,True,0.8118574740481534
BOWMAN,LNP,ALP,ALP+LNP,55.1023,Bowman,LNP,ALP,ALP+LNP,0.5429619471197269,True,True,True,0.806105288027311
MONASH,IND,LNP,IND+LNP,50.139,Monash,IND,ON,IND+ON,0.5088979951920216,True,False,False,0.750799519202161
SYDNEY,ALP,GRN,ALP+GRN,63.56,Sydney,ALP,GRN,ALP+GRN,0.6282274702515915,True,True,True,0.7372529748408496
SHORTLAND,ALP,ON,ALP+ON,54.9604,Shortland,ALP,ON,ALP+ON,0.5424165324635732,True,True,True,0.7187467536426766
WILLS,GRN,ALP,ALP+GRN,53.2178,Wills,GRN,ALP,ALP+GRN,0.5392003012381791,True,True,True,0.7022301238179125
BENNELONG,ALP,LNP,ALP+LNP,56.3856,Bennelong,ALP,LNP,ALP+LNP,0.5572032576562811,True,True,True,0.6652742343718856
GRIFFITH,GRN,ALP,ALP+GRN,51.4899,Griffith,GRN,ALP,ALP+GRN,0.52074055407066,True,True,True,0.5841554070659996
MITCHELL,LNP,ALP,ALP+LNP,56.9098,Mitchell,LNP,ALP,ALP+LNP,0.5633489483239419,True,True,True,0.5749051676058059
DURACK,LNP,ON,LNP+ON,50.3651,Durack,ON,OTH,ON+OTH,0.5088905590409775,False,False,False,0.5239559040977468
TANGNEY,ALP,LNP,ALP+LNP,54.7348,Tangney,ALP,LNP,ALP+LNP,0.5523150935641914,True,True,True,0.4967093564191387
MCPHERSON,LNP,ALP,ALP+LNP,57.182,McPherson,LNP,ALP,ALP+LNP,0.5766170163113822,True,True,True,0.4797016311382123
MACNAMARA,ALP,LNP,ALP+LNP,63.3623,Macnamara,ALP,LNP,ALP+LNP,0.6289896592623475,True,True,True,0.46333407376524605
DEAKIN,ALP,LNP,ALP+LNP,50.5546,Deakin,ALP,LNP,ALP+LNP,0.5009188060049732,True,True,True,0.4627193995026815
PETRIE,LNP,ALP,ALP+LNP,52.0378,Petrie,LNP,ALP,ALP+LNP,0.5158053805064953,True,True,True,0.4572619493504675
MALLEE,LNP,ON,LNP+ON,55.0831,Mallee,LNP,ON,LNP+ON,0.5553154221324675,True,True,True,0.44844221324675004
LINDSAY,LNP,ALP,ALP+LNP,54.3576,Lindsay,LNP,ALP,ALP+LNP,0.5391492938635004,True,True,True,0.44267061364995897
HOLT,ALP,ON,ALP+ON,57.0745,Holt,ALP,ON,ALP+ON,0.5750037652628783,True,True,True,0.4258765262878299
WHITLAM,ALP,ON,ALP+ON,51.883,Whitlam,ALP,ON,ALP+ON,0.5227218644227428,True,True,True,0.3891864422742799
BENDIGO,LNP,ALP,ALP+LNP,50.6749,Bendigo,LNP,ALP,ALP+LNP,0.5029376758216415,True,True,True,0.3811324178358504
WANNON,LNP,IND,IND+LNP,53.8732,Wannon,LNP,IND,IND+LNP,0.5350020298622633,True,True,True,0.37299701377367
LONGMAN,ON,ALP,ALP+ON,54.2654,Longman,ON,ALP,ALP+ON,0.5462472498621267,True,True,True,0.35932498621266973
PAGE,LNP,ALP,ALP+LNP,61.5702,Page,LNP,ALP,ALP+LNP,0.612247590736199,True,True,True,0.3454409263800926
BANKS,LNP,ALP,ALP+LNP,50.4975,Banks,LNP,ALP,ALP+LNP,0.508329869647022,True,True,True,0.3354869647021985
O'CONNOR,LNP,ON,LNP+ON,50.9127,O'Connor,ON,LNP,LNP+ON,0.5058385381856779,False,False,True,0.3288461814322119
COOK,LNP,ALP,ALP+LNP,60.0113,Cook,LNP,ALP,ALP+LNP,0.5968563799936673,True,True,True,0.32566200063327244
CANNING,LNP,ALP,ALP+LNP,55.9055,Canning,LNP,ALP,ALP+LNP,0.5622430859225662,True,True,True,0.31880859225661595
MARANOA,LNP,ON,LNP+ON,55.6908,Maranoa,LNP,ON,LNP+ON,0.5600634628805576,True,True,True,0.31554628805576357
MOORE,LNP,ALP,ALP+LNP,50.8176,Moore,ALP,LNP,ALP+LNP,0.5052896583965595,False,False,True,0.28863416034405276
HUGHES,LNP,ALP,ALP+LNP,50.4409,Hughes,ALP,LNP,ALP+LNP,0.5015413334319081,False,False,True,0.286766656809192
FORREST,LNP,IND,IND+LNP,50.4318,Forrest,ON,IND,IND+ON,0.5071349055427623,False,True,False,0.28169055427623135
